job_rule,amr_rule,m,eta,instances,clean,nu_per_episode,ideal,executed,penalty_pct,penalty_ci95,omega_q_pct,omega_r_pct,queue_share_pct
lpt,earliest_available,8,1.6,30,30,0.0,585.6,619.6,5.83,0.84,6.74,2.64,71.8
lpt,earliest_available,12,2.4,30,30,0.0,407.5,454.4,11.63,1.66,13.4,3.92,77.3
lpt,earliest_available,16,3.2,30,30,0.0,318.9,380.6,19.49,1.83,21.48,5.1,80.8
lpt,earliest_available,20,4.0,30,30,0.0,297.1,342.3,15.43,2.37,32.53,6.35,83.7
lpt,earliest_available,24,4.8,30,30,0.0,250.3,319.7,28.16,2.91,44.91,7.28,86.1
lpt,earliest_completion,8,1.6,30,30,0.0,569.7,603.4,5.95,0.94,6.65,2.69,71.2
lpt,earliest_completion,12,2.4,30,30,0.0,395.5,442.5,12.08,1.85,13.35,4.11,76.4
lpt,earliest_completion,16,3.2,30,30,0.0,319.1,380.8,19.62,2.21,26.4,5.39,83.0
lpt,earliest_completion,20,4.0,30,30,0.0,301.7,359.7,19.22,1.51,45.72,6.42,87.7
lpt,earliest_completion,24,4.8,30,30,0.0,292.7,350.4,19.83,1.74,64.76,6.84,90.4
lpt,least_loaded,8,1.6,30,30,0.0,585.2,621.9,6.3,0.82,7.06,2.67,72.6
lpt,least_loaded,12,2.4,30,30,0.0,392.1,457.4,16.77,1.68,13.7,3.89,77.9
lpt,least_loaded,16,3.2,30,30,0.0,312.9,382.7,22.38,1.98,22.16,5.14,81.2
lpt,least_loaded,20,4.0,30,29,0.033,245.7,351.6,43.29,2.86,34.0,6.23,84.5
lpt,least_loaded,24,4.8,30,30,0.0,238.7,321.1,34.68,2.88,46.36,7.4,86.2
lpt,material_match,8,1.6,30,30,0.0,576.9,604.8,4.88,0.83,5.96,2.69,68.9
lpt,material_match,12,2.4,30,30,0.0,399.3,444.6,11.48,1.58,12.18,4.15,74.6
lpt,material_match,16,3.2,30,30,0.0,325.9,383.6,17.99,2.05,24.15,5.55,81.3
lpt,material_match,20,4.0,30,29,0.033,306.3,360.4,17.81,1.95,41.9,6.34,86.9
lpt,material_match,24,4.8,30,30,0.0,296.7,353.6,19.29,1.73,54.06,6.59,89.1
lpt,nearest_amr,8,1.6,30,30,0.0,719.1,916.3,27.7,4.82,54.14,3.9,93.3
lpt,nearest_amr,12,2.4,30,30,0.0,537.9,665.8,24.38,3.19,52.19,5.1,91.1
lpt,nearest_amr,16,3.2,30,30,0.0,404.9,516.7,28.44,4.79,50.0,6.09,89.1
lpt,nearest_amr,20,4.0,30,30,0.0,346.5,452.3,31.46,3.82,52.33,6.67,88.7
lpt,nearest_amr,24,4.8,30,30,0.0,291.2,408.7,41.03,5.36,61.95,7.3,89.5
lpt,random,8,1.6,30,30,0.0,846.0,1324.3,58.11,6.7,111.31,3.48,97.0
lpt,random,12,2.4,30,30,0.0,637.1,1033.1,64.3,9.11,131.26,4.53,96.7
lpt,random,16,3.2,30,30,0.0,526.9,968.7,86.74,11.98,161.5,5.55,96.7
lpt,random,20,4.0,30,30,0.0,467.5,859.5,87.41,11.7,171.67,6.33,96.4
lpt,random,24,4.8,30,30,0.0,461.5,805.9,79.83,11.99,178.7,6.48,96.5
