job_rule,m,eta,instances,clean,nu_per_episode,ideal,executed,penalty_pct,penalty_ci95,omega_q_pct,omega_r_pct,queue_share_pct
lpt,8,1.6,30,30,0.0,569.7,603.4,5.95,0.94,6.65,2.69,71.2
lpt,12,2.4,30,30,0.0,395.5,442.5,12.08,1.85,13.35,4.11,76.4
lpt,16,3.2,30,30,0.0,319.1,380.8,19.62,2.21,26.4,5.39,83.0
lpt,20,4.0,30,30,0.0,301.7,359.7,19.22,1.51,45.72,6.42,87.7
lpt,24,4.8,30,30,0.0,292.7,350.4,19.83,1.74,64.76,6.84,90.4
milk_run,8,1.6,30,30,0.0,409.5,445.0,8.77,1.36,5.14,2.79,64.8
milk_run,12,2.4,30,30,0.0,308.2,362.8,18.0,2.46,17.9,4.75,79.0
milk_run,16,3.2,30,30,0.0,284.9,342.1,20.19,3.02,38.66,5.14,88.3
milk_run,20,4.0,30,30,0.0,280.9,341.9,22.3,3.54,49.52,5.14,90.6
milk_run,24,4.8,30,30,0.0,281.2,345.0,23.61,4.45,50.82,5.18,90.8
