job_rule,amr_rule,m,eta,instances,clean,nu_per_episode,ideal,executed,penalty_pct,penalty_ci95,omega_q_pct,omega_r_pct,queue_share_pct
lpt,earliest_available,8,1.6,100,100,0.0,580.5,613.7,5.74,0.48,6.67,2.63,71.7
lpt,earliest_available,12,2.4,100,100,0.0,409.1,454.1,11.16,0.92,13.25,3.98,76.9
lpt,earliest_available,16,3.2,100,100,0.0,324.2,380.3,17.49,1.08,22.01,5.19,80.9
lpt,earliest_available,20,4.0,100,100,0.0,289.6,345.4,19.49,1.41,33.11,6.53,83.5
lpt,earliest_available,24,4.8,100,99,0.01,248.5,323.1,30.49,2.01,45.79,7.7,85.6
lpt,earliest_completion,8,1.6,100,100,0.0,568.1,599.9,5.63,0.51,6.43,2.7,70.5
lpt,earliest_completion,12,2.4,100,100,0.0,397.7,443.9,11.78,0.97,14.06,4.2,77.0
lpt,earliest_completion,16,3.2,100,100,0.0,316.5,381.2,20.64,1.18,26.73,5.54,82.8
lpt,earliest_completion,20,4.0,100,100,0.0,296.2,357.0,20.53,1.06,45.72,6.55,87.5
lpt,earliest_completion,24,4.8,100,100,0.0,284.6,351.9,23.95,1.54,64.9,6.99,90.3
lpt,least_loaded,8,1.6,100,100,0.0,580.1,614.0,5.87,0.49,6.8,2.64,72.1
lpt,least_loaded,12,2.4,100,100,0.0,387.9,458.7,18.3,0.95,13.85,4.01,77.5
lpt,least_loaded,16,3.2,100,100,0.0,312.8,382.6,22.45,1.27,22.74,5.23,81.3
lpt,least_loaded,20,4.0,100,100,0.0,244.2,350.0,43.42,1.68,33.8,6.56,83.7
lpt,least_loaded,24,4.8,100,99,0.01,239.1,327.1,36.91,1.92,47.39,7.71,86.0
lpt,material_match,8,1.6,100,100,0.0,570.3,602.2,5.62,0.48,6.03,2.72,68.9
lpt,material_match,12,2.4,100,100,0.0,398.3,445.8,12.11,1.04,12.76,4.25,75.0
lpt,material_match,16,3.2,100,100,0.0,326.3,384.2,17.91,1.08,24.8,5.58,81.6
