job_rule,m,eta,instances,clean,nu_per_episode,ideal,executed,penalty_pct,penalty_ci95,omega_q_pct,omega_r_pct,queue_share_pct
lpt,8,1.6,100,100,0.0,568.1,599.9,5.63,0.51,6.43,2.7,70.5
lpt,12,2.4,100,100,0.0,397.7,443.9,11.78,0.97,14.06,4.2,77.0
lpt,16,3.2,100,100,0.0,316.5,381.2,20.64,1.18,26.73,5.54,82.8
lpt,20,4.0,100,100,0.0,296.2,357.0,20.53,1.06,45.72,6.55,87.5
lpt,24,4.8,100,100,0.0,284.6,351.9,23.95,1.54,64.9,6.99,90.3
milk_run,8,1.6,100,100,0.0,403.7,439.9,9.11,1.06,6.28,3.02,67.5
milk_run,12,2.4,100,100,0.0,308.1,362.3,17.82,1.63,19.83,4.79,80.6
milk_run,16,3.2,100,100,0.0,290.4,350.6,20.93,1.9,39.23,5.39,87.9
milk_run,20,4.0,100,100,0.0,283.6,350.2,24.03,2.43,48.79,5.43,90.0
milk_run,24,4.8,100,100,0.0,281.4,349.9,25.21,2.8,50.13,5.44,90.2
