n_jobs,scheduler,family,seed_averaged,instances,clean,makespan_mean,makespan_sd,makespan_ci95,makespan_min,makespan_max,lambda_pct_mean,lambda_pct_sd,solve_s_mean,solve_s_sd,select_s_mean,eval_s_mean,total_s_mean,total_s_sd
20,milk_run+earliest_completion,rule,no,100,100,186.38,24.06,4.72,145.0,235.0,24.65,16.77,0.032,0.0018,0.0,0.0157,0.0476,0.004
20,milk_run+earliest_available,rule,no,100,100,187.38,23.66,4.64,143.0,237.0,23.44,16.01,0.0318,0.0016,0.0,0.0157,0.0475,0.0036
20,material_match+earliest_completion,rule,no,100,100,166.37,14.56,2.85,148.0,225.0,10.47,6.64,0.0248,0.0014,0.0,0.0296,0.0544,0.0046
20,milk_run+least_loaded,rule,no,100,100,187.06,23.6,4.62,143.0,237.0,23.85,15.77,0.0317,0.0011,0.0,0.0158,0.0475,0.0037
20,earliest_completion_job+earliest_completion,rule,no,100,100,166.32,14.39,2.82,148.0,225.0,10.51,6.58,0.0245,0.0007,0.0,0.0297,0.0542,0.0048
20,earliest_completion_job+material_match,rule,no,100,100,166.2,14.42,2.83,146.0,229.0,9.73,6.44,0.0248,0.0015,0.0,0.0305,0.0553,0.0048
20,extend_GNN greedy (3 seeds),policy,yes,100,100,169.19,15.34,3.01,143.7,213.0,29.95,16.63,0.0847,0.0071,0.0,0.0269,0.1117,0.0097
20,extend_GNN greedy _s42,policy,no,100,100,172.99,16.65,3.26,141.0,217.0,35.81,22.04,0.0856,0.0202,0.0,0.0262,0.1119,0.0246
20,extend_GNN greedy _s43,policy,no,100,100,170.22,18.55,3.64,132.0,214.0,32.49,21.02,0.0837,0.005,0.0,0.0266,0.1102,0.0087
20,extend_GNN greedy _s44,policy,no,100,100,164.36,19.67,3.85,136.0,227.0,21.54,19.32,0.0849,0.006,0.0,0.028,0.1129,0.0101
20,extend_GNN best-of-8 s42,policy,no,100,100,163.38,13.86,2.72,142.0,213.0,28.65,17.76,0.7265,0.0256,0.2207,0.0268,0.9741,0.0429
20,extend_GNN best-of-16 s42,policy,no,100,100,160.67,13.57,2.66,142.0,208.0,27.45,18.61,1.4759,0.0293,0.4268,0.0267,1.9294,0.06
40,milk_run+earliest_completion,rule,no,100,100,272.33,30.9,6.06,201.0,361.0,25.5,11.91,0.1314,0.0031,0.0,0.0307,0.1621,0.0063
40,milk_run+earliest_available,rule,no,100,100,271.51,34.52,6.77,202.0,397.0,24.64,11.87,0.1312,0.003,0.0,0.0311,0.1624,0.0057
40,material_match+earliest_completion,rule,no,100,99,258.24,18.95,3.73,230.0,326.0,13.79,5.02,0.102,0.0031,0.0,0.0553,0.1572,0.0059
40,milk_run+least_loaded,rule,no,100,100,271.04,34.36,6.73,202.0,401.0,25.76,12.45,0.1318,0.0033,0.0,0.0313,0.1631,0.0061
40,earliest_completion_job+earliest_completion,rule,no,100,99,258.38,19.17,3.78,230.0,326.0,13.73,5.06,0.1017,0.003,0.0,0.0548,0.1565,0.0057
40,earliest_completion_job+material_match,rule,no,100,100,257.74,18.8,3.68,229.0,332.0,12.26,5.04,0.1014,0.0029,0.0,0.0579,0.1593,0.0066
40,extend_GNN greedy (3 seeds),policy,yes,100,100,255.0,17.44,3.42,223.7,329.7,27.64,8.83,0.2498,0.0088,0.0,0.0465,0.2963,0.0099
40,extend_GNN greedy _s42,policy,no,100,100,257.77,20.54,4.03,223.0,325.0,31.4,12.33,0.2489,0.022,0.0,0.046,0.2948,0.0245
40,extend_GNN greedy _s43,policy,no,100,100,258.47,22.78,4.47,219.0,334.0,31.28,14.57,0.2486,0.0071,0.0,0.0454,0.294,0.0103
40,extend_GNN greedy _s44,policy,no,100,100,248.76,20.65,4.05,217.0,330.0,20.23,11.13,0.2521,0.0088,0.0,0.0481,0.3002,0.0112
40,extend_GNN best-of-8 s42,policy,no,100,100,245.7,17.43,3.42,214.0,318.0,27.06,9.94,2.0735,0.031,0.3665,0.0436,2.4837,0.0466
40,extend_GNN best-of-16 s42,policy,no,100,100,242.36,15.81,3.1,214.0,318.0,25.34,10.47,4.1372,0.0352,0.7356,0.0439,4.9167,0.0699
60,milk_run+earliest_completion,rule,no,100,100,348.41,31.87,6.25,290.0,452.0,21.63,10.74,0.2996,0.0041,0.0,0.0459,0.3455,0.0076
60,milk_run+earliest_available,rule,no,100,100,347.4,32.99,6.47,282.0,475.0,20.45,9.39,0.2987,0.0038,0.0,0.0489,0.3476,0.0064
60,material_match+earliest_completion,rule,no,100,100,349.3,18.35,3.6,312.0,407.0,14.43,4.11,0.2303,0.003,0.0,0.0816,0.3119,0.0075
60,milk_run+least_loaded,rule,no,100,100,346.87,33.1,6.49,287.0,475.0,22.93,11.39,0.3006,0.0034,0.0,0.0481,0.3487,0.0066
60,earliest_completion_job+earliest_completion,rule,no,100,100,349.61,18.23,3.57,312.0,407.0,14.49,4.04,0.2302,0.003,0.0,0.0816,0.3118,0.008
60,earliest_completion_job+material_match,rule,no,100,100,349.65,18.01,3.53,320.0,399.0,12.99,3.59,0.2299,0.0034,0.0,0.0846,0.3145,0.008
60,extend_GNN greedy (3 seeds),policy,yes,100,100,341.14,17.78,3.49,305.7,410.3,26.34,6.92,0.5109,0.01,0.0,0.0651,0.576,0.0109
60,extend_GNN greedy _s42,policy,no,100,100,345.06,22.47,4.4,302.0,425.0,30.11,9.53,0.5071,0.0246,0.0,0.0637,0.5708,0.026
60,extend_GNN greedy _s43,policy,no,100,100,344.65,21.86,4.29,297.0,409.0,28.13,10.15,0.5084,0.0137,0.0,0.0642,0.5726,0.0153
60,extend_GNN greedy _s44,policy,no,100,100,333.71,22.7,4.45,285.0,402.0,20.78,8.94,0.5173,0.0129,0.0,0.0674,0.5847,0.0158
60,extend_GNN best-of-8 s42,policy,no,100,100,330.1,15.4,3.02,303.0,409.0,23.72,7.94,4.2656,0.0343,0.503,0.0617,4.8304,0.0544
60,extend_GNN best-of-16 s42,policy,no,100,100,325.08,13.69,2.68,303.0,375.0,22.59,6.72,8.4725,0.0478,1.0142,0.0599,9.5465,0.0811
80,milk_run+earliest_completion,rule,no,100,100,426.24,36.83,7.22,365.0,573.0,20.43,9.13,0.5372,0.0048,0.0,0.0621,0.5993,0.0088
80,milk_run+earliest_available,rule,no,100,100,430.85,36.67,7.19,351.0,583.0,22.04,11.01,0.5369,0.0044,0.0,0.0667,0.6036,0.0075
80,material_match+earliest_completion,rule,no,100,100,446.83,24.29,4.76,401.0,544.0,11.51,3.2,0.414,0.0038,0.0,0.1065,0.5205,0.0095
80,milk_run+least_loaded,rule,no,100,100,431.82,38.0,7.45,358.0,581.0,25.71,11.61,0.5402,0.0042,0.0,0.0652,0.6054,0.0079
80,earliest_completion_job+earliest_completion,rule,no,100,100,447.27,24.38,4.78,401.0,530.0,11.67,3.47,0.4142,0.0037,0.0,0.1065,0.5207,0.0091
80,earliest_completion_job+material_match,rule,no,100,100,447.91,23.2,4.55,401.0,524.0,11.18,2.86,0.4135,0.0039,0.0,0.109,0.5225,0.0096
80,extend_GNN greedy (3 seeds),policy,yes,100,97,430.95,19.17,3.82,388.7,505.7,26.29,4.89,0.8699,0.0097,0.0,0.0837,0.9536,0.0117
80,extend_GNN greedy _s42,policy,no,100,99,434.29,23.86,4.7,375.0,495.0,28.14,7.33,0.8612,0.0247,0.0,0.0803,0.9416,0.0263
80,extend_GNN greedy _s43,policy,no,100,98,438.11,26.01,5.15,375.0,517.0,29.95,9.0,0.8671,0.0132,0.0,0.0838,0.951,0.0164
80,extend_GNN greedy _s44,policy,no,100,100,420.86,24.68,4.84,380.0,530.0,20.66,7.65,0.8809,0.0137,0.0,0.0871,0.968,0.0178
80,extend_GNN best-of-8 s42,policy,no,100,100,418.19,17.18,3.37,387.0,483.0,23.46,6.62,7.1746,0.0513,0.6677,0.0801,7.9224,0.0597
80,extend_GNN best-of-16 s42,policy,no,100,100,412.97,16.5,3.23,387.0,479.0,22.71,5.14,14.1327,0.0529,1.3129,0.0793,15.525,0.084
100,milk_run+earliest_completion,rule,no,100,100,505.64,42.62,8.35,426.0,622.0,22.57,9.48,0.846,0.0052,0.0,0.0783,0.9243,0.0102
100,milk_run+earliest_available,rule,no,100,100,501.5,38.2,7.49,422.0,625.0,22.88,7.52,0.8452,0.0044,0.0,0.0857,0.9309,0.009
100,material_match+earliest_completion,rule,no,100,100,535.72,22.9,4.49,488.0,614.0,11.09,2.96,0.6526,0.0045,0.0,0.1325,0.7851,0.0113
100,milk_run+least_loaded,rule,no,100,100,505.29,36.74,7.2,415.0,588.0,27.87,9.29,0.8497,0.0056,0.0,0.0841,0.9339,0.0096
100,earliest_completion_job+earliest_completion,rule,no,100,100,535.67,23.62,4.63,488.0,614.0,11.06,2.98,0.6515,0.0048,0.0,0.1332,0.7847,0.0117
100,earliest_completion_job+material_match,rule,no,100,100,532.73,23.28,4.56,492.0,607.0,10.07,2.86,0.6542,0.0071,0.0,0.1362,0.7904,0.0122
100,extend_GNN greedy (3 seeds),policy,yes,100,98,523.76,22.57,4.47,484.3,595.3,27.26,5.15,1.351,0.012,0.0,0.1017,1.4527,0.0141
100,extend_GNN greedy _s42,policy,no,100,100,530.36,25.49,5.0,474.0,604.0,29.39,6.99,1.3364,0.0257,0.0,0.0983,1.4347,0.0285
