n_jobs,policy,rule,is_best_rule_at_n,n_pairs,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,losses,win_rate_pct,perm_p,significant
20,extend_GNN greedy (3 seeds),milk_run+earliest_completion,no,100,-17.19,4.19,-9.22,-21.46,-13.03,78,20,78.0,0.0001,yes
20,extend_GNN greedy (3 seeds),milk_run+earliest_available,no,100,-18.19,3.89,-9.71,-22.13,-14.36,80,19,80.0,0.0001,yes
20,extend_GNN greedy (3 seeds),material_match+earliest_completion,no,100,2.82,2.56,1.7,0.29,5.38,46,54,46.0,0.0353,yes
20,extend_GNN greedy (3 seeds),milk_run+least_loaded,no,100,-17.87,3.89,-9.55,-21.83,-14.04,80,19,80.0,0.0001,yes
20,extend_GNN greedy (3 seeds),earliest_completion_job+earliest_completion,no,100,2.87,2.52,1.73,0.37,5.37,46,54,46.0,0.0294,yes
20,extend_GNN greedy (3 seeds),earliest_completion_job+material_match,yes,100,2.99,2.48,1.8,0.57,5.45,43,56,43.0,0.0208,yes
20,extend_GNN greedy _s42,milk_run+earliest_completion,no,100,-13.39,4.31,-7.18,-17.86,-9.03,73,24,73.0,0.0001,yes
20,extend_GNN greedy _s42,milk_run+earliest_available,no,100,-14.39,3.91,-7.68,-18.35,-10.53,78,20,78.0,0.0001,yes
20,extend_GNN greedy _s42,material_match+earliest_completion,no,100,6.62,3.08,3.98,3.58,9.64,36,61,36.0,0.0001,yes
20,extend_GNN greedy _s42,milk_run+least_loaded,no,100,-14.07,3.92,-7.52,-18.08,-10.19,78,20,78.0,0.0001,yes
20,extend_GNN greedy _s42,earliest_completion_job+earliest_completion,no,100,6.67,3.04,4.01,3.65,9.66,36,61,36.0,0.0001,yes
20,extend_GNN greedy _s42,earliest_completion_job+material_match,yes,100,6.79,3.0,4.09,3.83,9.75,36,63,36.0,0.0001,yes
20,extend_GNN greedy _s43,milk_run+earliest_completion,no,100,-16.16,4.91,-8.67,-21.02,-11.18,74,25,74.0,0.0001,yes
20,extend_GNN greedy _s43,milk_run+earliest_available,no,100,-17.16,4.83,-9.16,-21.96,-12.38,74,24,74.0,0.0001,yes
20,extend_GNN greedy _s43,material_match+earliest_completion,no,100,3.85,3.53,2.31,0.44,7.41,44,55,44.0,0.0345,yes
20,extend_GNN greedy _s43,milk_run+least_loaded,no,100,-16.84,4.81,-9.0,-21.64,-12.08,74,24,74.0,0.0001,yes
20,extend_GNN greedy _s43,earliest_completion_job+earliest_completion,no,100,3.9,3.5,2.34,0.52,7.46,43,56,43.0,0.0319,yes
20,extend_GNN greedy _s43,earliest_completion_job+material_match,yes,100,4.02,3.52,2.42,0.59,7.6,42,56,42.0,0.0275,yes
20,extend_GNN greedy _s44,milk_run+earliest_completion,no,100,-22.02,4.63,-11.81,-26.78,-17.43,87,12,87.0,0.0001,yes
20,extend_GNN greedy _s44,milk_run+earliest_available,no,100,-23.02,4.29,-12.29,-27.41,-18.8,86,12,86.0,0.0001,yes
20,extend_GNN greedy _s44,material_match+earliest_completion,no,100,-2.01,3.05,-1.21,-5.03,1.09,61,38,61.0,0.2037,no
20,extend_GNN greedy _s44,milk_run+least_loaded,no,100,-22.7,4.3,-12.14,-27.12,-18.47,86,12,86.0,0.0001,yes
20,extend_GNN greedy _s44,earliest_completion_job+earliest_completion,no,100,-1.96,3.04,-1.18,-4.94,1.13,61,38,61.0,0.214,no
20,extend_GNN greedy _s44,earliest_completion_job+material_match,yes,100,-1.84,2.94,-1.11,-4.73,1.18,55,44,55.0,0.2302,no
20,extend_GNN best-of-8 s42,milk_run+earliest_completion,no,100,-23.0,4.14,-12.34,-27.23,-18.89,89,11,89.0,0.0001,yes
20,extend_GNN best-of-8 s42,milk_run+earliest_available,no,100,-24.0,3.89,-12.81,-27.95,-20.15,92,7,92.0,0.0001,yes
20,extend_GNN best-of-8 s42,material_match+earliest_completion,no,100,-2.99,2.11,-1.8,-5.09,-0.87,63,33,63.0,0.0085,yes
20,extend_GNN best-of-8 s42,milk_run+least_loaded,no,100,-23.68,3.91,-12.66,-27.66,-19.79,91,7,91.0,0.0001,yes
20,extend_GNN best-of-8 s42,earliest_completion_job+earliest_completion,no,100,-2.94,2.1,-1.77,-5.03,-0.83,63,33,63.0,0.0091,yes
