n_jobs,job_rule,amr_rule,combo,executed,ideal,penalty_pct,clean,instances
20,earliest_completion_job,material_match,earliest_completion_job+material_match,160.0,148.6,7.92,10,10
20,material_match,material_match,material_match+material_match,160.4,149.2,7.79,10,10
20,earliest_completion_job,earliest_completion,earliest_completion_job+earliest_completion,160.9,149.2,7.92,10,10
20,earliest_completion_job,nearest_amr,earliest_completion_job+nearest_amr,160.9,149.2,7.92,10,10
20,material_match,earliest_completion,material_match+earliest_completion,161.3,149.8,7.79,10,10
20,material_match,nearest_amr,material_match+nearest_amr,161.3,149.8,7.79,10,10
20,earliest_completion_job,random,earliest_completion_job+random,161.5,151.6,6.58,10,10
20,material_match,random,material_match+random,161.5,151.6,6.58,10,10
20,earliest_completion_job,earliest_available,earliest_completion_job+earliest_available,163.1,150.6,8.68,10,10
20,earliest_completion_job,least_loaded,earliest_completion_job+least_loaded,163.1,150.6,8.68,10,10
20,material_match,earliest_available,material_match+earliest_available,163.1,150.6,8.68,10,10
20,material_match,least_loaded,material_match+least_loaded,163.1,150.6,8.68,10,10
20,most_congested_station,material_match,most_congested_station+material_match,166.2,149.6,11.03,10,10
20,most_congested_station,earliest_available,most_congested_station+earliest_available,166.4,151.2,10.09,10,10
20,most_congested_station,least_loaded,most_congested_station+least_loaded,166.4,151.2,10.09,10,10
20,most_congested_station,earliest_completion,most_congested_station+earliest_completion,166.8,149.0,11.91,10,10
20,spt,earliest_completion,spt+earliest_completion,170.1,150.6,12.83,10,10
20,spt,material_match,spt+material_match,171.6,153.8,11.72,10,10
20,lpt,earliest_completion,lpt+earliest_completion,172.7,151.2,14.06,10,10
20,lpt,material_match,lpt+material_match,173.0,151.2,14.25,10,10
20,spt,earliest_available,spt+earliest_available,173.1,155.4,11.44,10,10
20,spt,least_loaded,spt+least_loaded,173.1,155.4,11.44,10,10
20,lpt,earliest_available,lpt+earliest_available,174.6,154.2,13.36,10,10
20,lpt,least_loaded,lpt+least_loaded,174.6,154.2,13.36,10,10
20,milk_run,material_match,milk_run+material_match,176.1,144.6,23.37,10,10
20,milk_run,least_loaded,milk_run+least_loaded,176.8,143.4,24.48,10,10
20,milk_run,earliest_available,milk_run+earliest_available,177.0,146.4,22.25,10,10
20,spt,nearest_amr,spt+nearest_amr,177.2,151.4,17.22,10,10
20,fifo,earliest_completion,fifo+earliest_completion,178.2,156.2,14.06,10,10
20,milk_run,earliest_completion,milk_run+earliest_completion,178.4,146.4,23.88,10,10
20,milk_run,nearest_amr,milk_run+nearest_amr,178.4,146.4,23.88,10,10
20,fifo,material_match,fifo+material_match,178.7,157.6,13.5,10,10
20,milk_run,random,milk_run+random,179.5,147.2,24.4,10,10
20,fifo,earliest_available,fifo+earliest_available,181.4,157.2,15.72,10,10
20,fifo,least_loaded,fifo+least_loaded,181.4,157.2,15.72,10,10
20,lpt,nearest_amr,lpt+nearest_amr,182.5,146.2,24.75,10,10
20,fifo,nearest_amr,fifo+nearest_amr,188.3,155.4,21.99,10,10
20,most_congested_station,nearest_amr,most_congested_station+nearest_amr,188.8,156.4,21.21,10,10
20,least_congested_station,earliest_available,least_congested_station+earliest_available,194.3,155.4,25.35,10,10
20,least_congested_station,least_loaded,least_congested_station+least_loaded,194.3,155.4,25.35,10,10
20,least_congested_station,earliest_completion,least_congested_station+earliest_completion,207.1,158.2,31.14,10,10
20,least_congested_station,material_match,least_congested_station+material_match,210.1,166.2,26.97,10,10
20,least_congested_station,nearest_amr,least_congested_station+nearest_amr,213.2,166.2,29.8,10,10
20,random,random,random+random,235.6,165.0,44.88,10,10
20,random,earliest_available,random+earliest_available,244.6,162.2,54.88,10,10
20,random,earliest_completion,random+earliest_completion,244.6,162.2,54.88,10,10
20,random,least_loaded,random+least_loaded,244.6,162.2,54.88,10,10
20,random,material_match,random+material_match,244.6,162.2,54.88,10,10
20,random,nearest_amr,random+nearest_amr,244.6,162.2,54.88,10,10
20,nearest_station,material_match,nearest_station+material_match,287.5,228.8,27.35,10,10
20,nearest_station,random,nearest_station+random,291.9,228.0,30.1,10,10
20,nearest_station,earliest_available,nearest_station+earliest_available,295.2,223.0,37.67,10,10
20,nearest_station,earliest_completion,nearest_station+earliest_completion,297.1,226.4,34.63,10,10
20,nearest_station,nearest_amr,nearest_station+nearest_amr,297.1,226.4,34.63,10,10
20,nearest_station,least_loaded,nearest_station+least_loaded,299.0,224.8,36.6,10,10
20,spt,random,spt+random,316.9,236.4,37.72,10,10
20,lpt,random,lpt+random,376.1,261.0,46.89,10,10
20,fifo,random,fifo+random,377.2,278.4,36.59,10,10
20,most_congested_station,random,most_congested_station+random,378.2,277.0,39.19,10,10
20,least_congested_station,random,least_congested_station+random,455.6,283.0,62.71,10,10
40,earliest_completion_job,earliest_completion,earliest_completion_job+earliest_completion,258.1,227.6,13.36,10,10
40,earliest_completion_job,nearest_amr,earliest_completion_job+nearest_amr,258.1,227.6,13.36,10,10
40,material_match,earliest_completion,material_match+earliest_completion,258.1,227.6,13.36,10,10
40,material_match,nearest_amr,material_match+nearest_amr,258.1,227.6,13.36,10,10
40,earliest_completion_job,earliest_available,earliest_completion_job+earliest_available,260.0,228.4,13.77,10,10
40,earliest_completion_job,least_loaded,earliest_completion_job+least_loaded,260.0,228.4,13.77,10,10
40,earliest_completion_job,random,earliest_completion_job+random,260.0,227.6,14.2,10,10
