n_jobs,run_key,n_pairs,policy_mean,rule_mean,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,ties,losses,win_rate_pct,perm_p,better,significant
20,ppo_gc1_s42_best,10,167.5,178.4,-10.9,14.58,-6.11,-24.4,3.3,8,0,2,80.0,0.1822,policy,no
20,ppo_gc1_s43_best,10,171.8,178.4,-6.6,13.85,-3.7,-19.8,6.6,7,0,3,70.0,0.3837,policy,no
20,ppo_gc1_s44_best,10,162.7,178.4,-15.7,13.92,-8.8,-28.7,-1.9,8,0,2,80.0,0.054,policy,yes
40,ppo_gc1_s42_best,10,252.9,272.1,-19.2,10.24,-7.06,-29.4,-10.1,8,1,1,80.0,0.0068,policy,yes
40,ppo_gc1_s43_best,10,251.5,272.1,-20.6,14.52,-7.57,-34.7,-7.9,7,1,2,70.0,0.0198,policy,yes
40,ppo_gc1_s44_best,10,242.7,272.1,-29.4,11.54,-10.8,-39.5,-18.1,9,0,1,90.0,0.0056,policy,yes
60,ppo_gc1_s42_best,10,343.0,335.6,7.4,22.27,2.21,-13.3,29.4,4,0,6,40.0,0.5372,rule,no
60,ppo_gc1_s43_best,10,340.9,335.6,5.3,13.2,1.58,-7.1,18.0,4,0,6,40.0,0.471,rule,no
60,ppo_gc1_s44_best,10,336.7,335.6,1.1,22.63,0.33,-19.8,23.0,5,0,5,50.0,0.9085,rule,no
80,ppo_gc1_s42_best,10,438.5,416.3,22.2,13.1,5.33,9.7,34.5,1,0,9,10.0,0.0194,rule,yes
80,ppo_gc1_s43_best,10,441.8,416.3,25.5,19.43,6.13,6.6,43.0,3,0,7,30.0,0.0333,rule,yes
80,ppo_gc1_s44_best,10,421.0,416.3,4.7,21.55,1.13,-16.1,24.6,4,0,6,40.0,0.6857,rule,no
100,ppo_gc1_s42_best,10,514.2,515.1,-0.9,27.86,-0.17,-27.5,25.1,5,0,5,50.0,0.9393,policy,no
100,ppo_gc1_s43_best,10,522.8,515.1,7.7,29.88,1.49,-19.0,37.2,6,0,4,60.0,0.6351,rule,no
100,ppo_gc1_s44_best,10,511.4,515.1,-3.7,30.81,-0.72,-32.3,26.0,6,0,4,60.0,0.8081,policy,no
