job_rule,amr_rule,combo,executed,executed_sd,ideal,penalty_pct,omega_q_pct,omega_r_pct,clean,instances,unroutable,solve_s,eval_s
milk_run,earliest_available,milk_run+earliest_available,347.17,34.81,287.8,21.02,36.96,5.73,100,100,0,0.3066,0.0517
milk_run,random,milk_run+random,348.67,31.25,291.66,19.83,32.94,5.62,100,100,0,0.3092,0.0493
milk_run,least_loaded,milk_run+least_loaded,348.69,35.76,280.82,24.57,35.96,5.73,100,100,0,0.3089,0.0502
milk_run,material_match,milk_run+material_match,349.65,34.34,300.72,16.3,28.81,5.46,100,100,0,0.307,0.0489
milk_run,earliest_completion,milk_run+earliest_completion,350.6,34.17,290.38,20.93,39.23,5.39,100,100,0,0.3071,0.0466
milk_run,nearest_amr,milk_run+nearest_amr,350.6,34.17,290.38,20.93,39.23,5.39,100,100,0,0.3061,0.0472
material_match,earliest_available,material_match+earliest_available,353.46,19.87,311.1,13.71,4.84,4.97,100,100,0,0.2348,0.0896
material_match,least_loaded,material_match+least_loaded,353.46,19.87,311.1,13.71,4.84,4.97,100,100,0,0.2364,0.0896
earliest_completion_job,earliest_available,earliest_completion_job+earliest_available,353.48,19.79,311.42,13.59,4.87,4.99,100,100,0,0.2344,0.0881
earliest_completion_job,least_loaded,earliest_completion_job+least_loaded,353.48,19.79,311.42,13.59,4.87,4.99,100,100,0,0.2355,0.0883
material_match,earliest_completion,material_match+earliest_completion,354.1,21.46,309.64,14.47,5.15,5.16,100,100,0,0.2359,0.0847
material_match,nearest_amr,material_match+nearest_amr,354.1,21.46,309.64,14.47,5.15,5.16,100,100,0,0.2343,0.0847
material_match,random,material_match+random,354.1,20.22,312.6,13.35,4.78,5.0,100,100,0,0.2358,0.0887
earliest_completion_job,earliest_completion,earliest_completion_job+earliest_completion,354.22,21.19,309.76,14.47,5.17,5.16,100,100,0,0.2349,0.0837
earliest_completion_job,nearest_amr,earliest_completion_job+nearest_amr,354.22,21.19,309.76,14.47,5.17,5.16,100,100,0,0.2332,0.0841
earliest_completion_job,random,earliest_completion_job+random,354.24,20.35,312.92,13.28,4.76,5.01,100,100,0,0.2353,0.0874
earliest_completion_job,material_match,earliest_completion_job+material_match,355.38,20.69,316.36,12.4,4.63,5.01,100,100,0,0.2339,0.0874
material_match,material_match,material_match+material_match,355.38,20.85,316.32,12.42,4.59,5.0,100,100,0,0.2343,0.0897
most_congested_station,earliest_completion,most_congested_station+earliest_completion,369.98,23.85,315.04,17.69,23.79,5.12,100,100,0,0.236,0.0848
most_congested_station,material_match,most_congested_station+material_match,371.94,23.24,321.45,15.9,22.04,5.38,99,100,1,0.2353,0.089
most_congested_station,earliest_available,most_congested_station+earliest_available,376.89,18.51,326.28,15.74,20.72,5.03,100,100,0,0.2354,0.0973
most_congested_station,least_loaded,most_congested_station+least_loaded,377.99,19.46,314.38,20.29,21.36,5.09,99,100,1,0.2367,0.0971
lpt,earliest_available,lpt+earliest_available,380.26,18.03,324.24,17.49,22.01,5.19,100,100,0,0.232,0.0995
lpt,earliest_completion,lpt+earliest_completion,381.2,24.39,316.46,20.64,26.73,5.54,100,100,0,0.2329,0.0873
lpt,least_loaded,lpt+least_loaded,382.62,17.35,312.76,22.45,22.74,5.23,100,100,0,0.234,0.0989
lpt,material_match,lpt+material_match,384.18,23.07,326.32,17.91,24.8,5.58,100,100,0,0.2317,0.0938
spt,earliest_completion,spt+earliest_completion,386.01,23.77,322.32,19.98,17.19,5.86,100,100,0,0.2326,0.0864
spt,earliest_available,spt+earliest_available,386.73,20.16,318.58,21.51,17.05,5.39,100,100,0,0.2327,0.0981
fifo,earliest_available,fifo+earliest_available,386.83,18.53,325.58,18.95,19.93,5.48,100,100,0,0.2307,0.0966
spt,least_loaded,spt+least_loaded,387.47,21.41,317.56,22.12,17.23,5.42,100,100,0,0.234,0.0978
fifo,earliest_completion,fifo+earliest_completion,388.13,23.03,320.74,21.13,22.5,5.83,100,100,0,0.2313,0.0854
spt,material_match,spt+material_match,388.33,25.27,328.56,18.37,15.44,5.64,100,100,0,0.2321,0.0927
fifo,least_loaded,fifo+least_loaded,389.17,19.56,322.44,20.83,20.65,5.51,99,100,1,0.2329,0.0967
fifo,material_match,fifo+material_match,389.73,23.65,329.4,18.44,20.19,5.8,100,100,0,0.2309,0.0922
least_congested_station,earliest_available,least_congested_station+earliest_available,522.91,22.1,348.55,50.44,45.24,9.15,99,100,1,0.2301,0.1052
lpt,nearest_amr,lpt+nearest_amr,529.17,89.72,411.68,28.86,51.23,6.04,100,100,0,0.2326,0.0724
least_congested_station,least_loaded,least_congested_station+least_loaded,545.07,24.39,321.8,69.52,52.08,9.32,99,100,1,0.2328,0.1028
fifo,nearest_amr,fifo+nearest_amr,557.18,98.23,436.44,28.45,48.47,6.07,100,100,0,0.2313,0.0702
spt,nearest_amr,spt+nearest_amr,566.2,98.84,442.42,28.15,44.47,5.91,100,100,0,0.2321,0.0712
most_congested_station,nearest_amr,most_congested_station+nearest_amr,569.03,112.11,433.2,31.55,57.37,5.83,100,100,0,0.2353,0.0705
least_congested_station,earliest_completion,least_congested_station+earliest_completion,632.26,42.3,454.74,39.88,65.74,7.3,100,100,0,0.232,0.0905
least_congested_station,material_match,least_congested_station+material_match,635.38,43.55,494.9,28.69,44.01,6.7,100,100,0,0.2324,0.0945
random,random,random+random,646.16,67.34,344.04,89.96,161.2,20.2,100,100,0,0.1092,0.0646
random,earliest_available,random+earliest_available,652.23,62.63,357.42,85.45,161.79,20.29,100,100,0,0.1095,0.0652
random,earliest_completion,random+earliest_completion,652.23,62.63,357.42,85.45,161.79,20.29,100,100,0,0.1104,0.0641
random,least_loaded,random+least_loaded,652.23,62.63,357.42,85.45,161.79,20.29,100,100,0,0.1112,0.0648
random,material_match,random+material_match,652.23,62.63,357.42,85.45,161.79,20.29,100,100,0,0.1092,0.0646
random,nearest_amr,random+nearest_amr,652.23,62.63,357.42,85.45,161.79,20.29,100,100,0,0.1096,0.0649
least_congested_station,nearest_amr,least_congested_station+nearest_amr,684.67,70.6,449.84,54.1,88.07,8.48,100,100,0,0.231,0.0809
most_congested_station,random,most_congested_station+random,903.04,115.25,553.66,65.56,148.8,5.41,100,100,0,0.2374,0.0904
lpt,random,lpt+random,930.6,100.14,555.74,69.22,154.18,5.59,100,100,0,0.2344,0.0908
fifo,random,fifo+random,936.17,102.35,538.04,76.5,149.7,5.58,100,100,0,0.2338,0.0897
spt,random,spt+random,955.76,121.4,538.8,79.46,144.6,5.44,100,100,0,0.2351,0.0901
nearest_station,earliest_available,nearest_station+earliest_available,999.73,177.87,495.3,110.96,334.12,11.13,100,100,0,0.1174,0.0462
nearest_station,material_match,nearest_station+material_match,1002.05,172.02,503.84,107.84,334.43,11.01,100,100,0,0.1176,0.0467
nearest_station,least_loaded,nearest_station+least_loaded,1003.45,178.03,486.78,115.72,338.57,11.32,100,100,0,0.1191,0.0452
nearest_station,earliest_completion,nearest_station+earliest_completion,1006.52,188.71,512.46,104.77,336.64,10.87,100,100,0,0.1179,0.0459
nearest_station,nearest_amr,nearest_station+nearest_amr,1006.52,188.71,512.46,104.77,336.64,10.87,100,100,0,0.1178,0.0455
nearest_station,random,nearest_station+random,1009.23,165.89,480.02,119.21,341.1,11.31,100,100,0,0.1193,0.0459
least_congested_station,random,least_congested_station+random,1226.66,117.17,549.38,127.39,226.15,7.96,100,100,0,0.2333,0.0932
