n_jobs,slice,instances,candidates,c_tilde_tau_b,c_tilde_tau_b_ci95,c_tilde_gamma,c_tilde_comparable_pairs,c_tilde_inv_comparable_pct,c_tilde_inv_allpairs_pct,psi_hat_tau_b,psi_hat_tau_b_ci95,psi_hat_gamma,psi_hat_comparable_pairs,psi_hat_inv_comparable_pct,psi_hat_inv_allpairs_pct,c_tilde_regret_optimistic_pct,c_tilde_regret_expected_pct,c_tilde_regret_as_coded_pct,c_tilde_regret_pessimistic_pct,c_tilde_hit_expected,c_tilde_hit_as_coded,c_tilde_tie_rate_pct,c_tilde_consequential_tie_pct,c_tilde_argmin_set_size,psi_hat_regret_optimistic_pct,psi_hat_regret_expected_pct,psi_hat_regret_as_coded_pct,psi_hat_regret_pessimistic_pct,psi_hat_hit_expected,psi_hat_hit_as_coded,psi_hat_tie_rate_pct,psi_hat_consequential_tie_pct,psi_hat_argmin_set_size,c_tilde_s,psi_hat_s,phi_s
20,"all19 -- 12 rules + 6 policy cells (A-F, seed 44, greedy) + GA",100,18.98,0.257,0.036,0.275,152.7,36.25,32.48,0.674,0.025,0.702,160.5,14.91,14.02,15.093,16.263,16.083,17.435,6.67,9,19.0,19.0,1.21,3.57,3.659,3.622,3.751,41.6,43,14.0,6.0,1.25,6.2e-05,0.000147,0.034988
40,"all19 -- 12 rules + 6 policy cells (A-F, seed 44, greedy) + GA",100,18.97,0.13,0.03,0.136,159.3,43.22,40.37,0.723,0.019,0.739,165.0,13.04,12.61,38.324,38.566,38.617,38.804,1.33,2,2.0,2.0,1.03,2.692,2.692,2.692,2.692,54.0,54,4.0,0,1.06,0.000107,0.000272,0.067361
60,"all19 -- 12 rules + 6 policy cells (A-F, seed 44, greedy) + GA",100,18.91,0.225,0.025,0.232,161.6,38.4,36.64,0.741,0.018,0.754,165.5,12.28,12.0,30.338,30.486,30.635,30.635,1.0,1,1.0,1.0,1.01,3.189,3.202,3.189,3.209,45.33,46,5.0,1.0,1.07,0.00015,0.000399,0.100863
80,"all19 -- 12 rules + 6 policy cells (A-F, seed 44, greedy) + GA",100,18.93,0.293,0.025,0.301,163.0,34.96,33.54,0.767,0.017,0.779,166.3,11.06,10.84,25.965,26.736,27.507,27.507,19.0,18,3.0,3.0,1.03,2.654,2.654,2.654,2.654,44.0,44,1.0,0,1.01,0.000192,0.000527,0.138536
100,"all19 -- 12 rules + 6 policy cells (A-F, seed 44, greedy) + GA",100,18.95,0.364,0.024,0.372,164.2,31.39,30.28,0.798,0.014,0.81,166.9,9.5,9.31,9.214,9.323,9.411,9.431,33.5,33,3.0,3.0,1.03,1.277,1.277,1.277,1.277,64.0,64,2.0,0,1.02,0.000227,0.000643,0.170635
20,rules12 -- the 12 rule combinations alone (comparable with Table IV),100,12,0.329,0.058,0.374,54.8,31.3,26.17,0.635,0.036,0.694,58.0,15.28,13.39,7.026,8.268,8.51,9.643,22.44,21,45.0,38.0,1.74,1.804,2.201,2.304,2.624,41.15,40,55.0,27.0,2.21,5e-05,0.000137,0.035098
40,rules12 -- the 12 rule combinations alone (comparable with Table IV),100,11.97,0.355,0.044,0.381,59.1,30.93,27.94,0.685,0.03,0.72,61.4,14.02,13.05,6.95,7.458,7.861,8.113,21.8,20,21.0,16.0,1.32,1.416,1.626,1.607,1.835,58.5,57,60.0,17.0,1.86,9e-05,0.000259,0.070616
60,rules12 -- the 12 rule combinations alone (comparable with Table IV),100,11.97,0.484,0.037,0.509,61.2,24.55,22.85,0.74,0.023,0.769,62.7,11.55,11.01,4.093,4.292,4.471,4.53,39.7,39,14.0,6.0,1.19,0.929,0.945,0.929,0.962,68.5,69,42.0,1.0,1.42,0.000128,0.000384,0.106759
80,rules12 -- the 12 rule combinations alone (comparable with Table IV),100,11.95,0.549,0.04,0.573,61.6,21.36,20.04,0.779,0.022,0.803,63.2,9.83,9.49,2.311,2.418,2.412,2.529,48.0,48,7.0,6.0,1.08,0.747,0.807,0.747,0.867,67.0,69,20.0,4.0,1.22,0.000167,0.000512,0.146257
100,rules12 -- the 12 rule combinations alone (comparable with Table IV),100,11.98,0.662,0.029,0.688,62.6,15.58,14.86,0.803,0.019,0.828,63.6,8.61,8.32,1.606,1.641,1.621,1.677,59.0,59,2.0,2.0,1.02,0.425,0.425,0.425,0.425,80.0,80,10.0,0,1.1,0.000196,0.000623,0.179052
