n_jobs,job_rule,amr_rule,instances,decisions,legal_actions_avg,amr_by_name_pct,amr_tie_size_avg,job_by_index_pct,job_tie_size_avg,rev_amr_moves_pct,rev_amr_mean_delta_pct,rev_amr_meanabs_pct,rev_amr_absmax_pct,rev_both_moves_pct,rev_both_mean_delta_pct,rev_both_meanabs_pct,rev_both_absmax_pct,makespan_mean
20,fifo,earliest_available,10,400,159.9,31.8,6.28,95.0,11,80.0,-1.44,2.44,6.25,90.0,-3.95,5.83,16.92,181.4
20,fifo,earliest_completion,10,400,159.9,8.2,2.06,95.0,11,50.0,0.46,0.7,2.38,100.0,-3.94,6.6,16.13,178.2
20,fifo,least_loaded,10,400,159.9,31.8,6.28,95.0,11,80.0,-1.44,2.44,6.25,90.0,-3.95,5.83,16.92,181.4
20,fifo,nearest_amr,10,400,159.9,6.8,2.04,95.0,11,50.0,-0.27,0.49,2.6,100.0,-0.92,5.51,14.89,188.3
20,spt,earliest_available,10,400,159.9,30.0,4.94,85.0,4.84,60.0,-0.76,1.17,5.7,90.0,0.29,4.0,6.55,173.1
20,spt,earliest_completion,10,400,159.9,6.5,2.12,85.0,4.84,50.0,0.71,0.95,5.1,100.0,1.53,5.51,12.76,170.1
20,spt,least_loaded,10,400,159.9,30.0,4.94,85.0,4.84,60.0,-0.76,1.17,5.7,90.0,0.29,4.0,6.55,173.1
20,spt,nearest_amr,10,400,159.9,10.0,2.02,85.0,4.84,80.0,-0.11,1.22,2.81,90.0,5.96,9.15,30.9,177.2
20,lpt,earliest_available,10,400,159.9,31.8,6.87,85.0,4.84,70.0,-0.71,1.49,5.03,100.0,-3.73,6.09,24.89,174.6
20,lpt,earliest_completion,10,400,159.9,9.0,2.03,85.0,4.84,50.0,0.22,0.65,1.85,90.0,-1.62,6.11,23.5,172.7
20,lpt,least_loaded,10,400,159.9,31.8,6.87,85.0,4.84,70.0,-0.71,1.49,5.03,100.0,-3.73,6.09,24.89,174.6
20,lpt,nearest_amr,10,400,159.9,9.5,2.13,85.0,4.84,70.0,-0.74,1.17,2.45,100.0,-0.53,10.92,32.63,182.5
20,milk_run,earliest_available,10,400,153.7,20.2,7.84,13.8,2.29,90.0,0.26,2.22,4.76,90.0,0.63,4.04,13.76,177.0
20,milk_run,earliest_completion,10,400,153.7,6.5,2,13.2,2.3,60.0,-0.43,1.26,5.19,70.0,0.73,3.08,11.8,178.4
20,milk_run,least_loaded,10,400,153.7,20.2,7.84,13.8,2.29,80.0,-0.39,2.11,4.76,90.0,0.74,3.94,13.76,176.8
20,milk_run,nearest_amr,10,400,153.7,6.5,2,13.2,2.3,60.0,-0.43,1.26,5.19,70.0,0.73,3.08,11.8,178.4
