   -> training feature mask L3 installed: {'amr': (9,), 'dock': (2, 3, 4, 5, 6), 'action': (2,)}
Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260827_081945_v10_A_s43
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Second checkpoint protocol: Val C~ selects checkpoints_v10/v10_A_s43_bestideal.pth
Epoch [1/4000] | Avg Makespan: 342.75 | Actor Loss: -0.0055 | Critic Loss: 0.8533 | Grad Norm: 1.2737 | Clipped: 2/4
   -> Validation | Samples: 280 | Makespan: 595.20 | Invalid Jobs: 0.01 | Score: 602.34
   -> Val Score 602.34 (warming up 1/5, no selection yet)
   -> Val C~ 452.60 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260827_081945_v10_A_s43/chart.png
Epoch [2/4000] | Avg Makespan: 320.25 | Actor Loss: -0.0030 | Critic Loss: 0.2051 | Grad Norm: 1.0288 | Clipped: 2/4
Epoch [3/4000] | Avg Makespan: 357.75 | Actor Loss: -0.0004 | Critic Loss: 0.2577 | Grad Norm: 1.8541 | Clipped: 3/4
Epoch [4/4000] | Avg Makespan: 351.50 | Actor Loss: -0.0024 | Critic Loss: 0.6494 | Grad Norm: 1.5090 | Clipped: 2/4
Epoch [5/4000] | Avg Makespan: 325.00 | Actor Loss: -0.0003 | Critic Loss: 0.6300 | Grad Norm: 0.9022 | Clipped: 1/4
Epoch [6/4000] | Avg Makespan: 348.25 | Actor Loss: 0.0001 | Critic Loss: 1.6979 | Grad Norm: 2.1448 | Clipped: 4/4
Epoch [7/4000] | Avg Makespan: 352.00 | Actor Loss: -0.0030 | Critic Loss: 0.8772 | Grad Norm: 0.7731 | Clipped: 1/4
Epoch [8/4000] | Avg Makespan: 320.00 | Actor Loss: -0.0016 | Critic Loss: 1.3697 | Grad Norm: 2.8770 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 344.00 | Actor Loss: -0.0026 | Critic Loss: 1.1188 | Grad Norm: 0.3836 | Clipped: 0/4
Epoch [10/4000] | Avg Makespan: 346.25 | Actor Loss: 0.0002 | Critic Loss: 1.7344 | Grad Norm: 0.4801 | Clipped: 0/4
Epoch [11/4000] | Avg Makespan: 334.50 | Actor Loss: -0.0047 | Critic Loss: 1.0026 | Grad Norm: 0.7787 | Clipped: 0/4
Epoch [12/4000] | Avg Makespan: 325.00 | Actor Loss: -0.0013 | Critic Loss: 0.6326 | Grad Norm: 0.5192 | Clipped: 0/4
