   -> training feature mask L3 installed: {'amr': (9,), 'dock': (2, 3, 4, 5, 6), 'action': (2,)}
Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260819_162724_v10_A_s44
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 347.25 | Actor Loss: -0.0039 | Critic Loss: 1.0155 | Grad Norm: 2.5836 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 2195.01 | Invalid Jobs: 0.02 | Score: 2212.87
   -> Val Score 2212.87 (warming up 1/5, no selection yet)
   -> Val C~ 1198.71 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260819_162724_v10_A_s44/chart.png
Epoch [2/4000] | Avg Makespan: 333.00 | Actor Loss: -0.0016 | Critic Loss: 1.0420 | Grad Norm: 2.4350 | Clipped: 3/4
Epoch [3/4000] | Avg Makespan: 339.75 | Actor Loss: -0.0006 | Critic Loss: 0.6440 | Grad Norm: 1.1959 | Clipped: 3/4
Epoch [4/4000] | Avg Makespan: 347.25 | Actor Loss: -0.0019 | Critic Loss: 0.6525 | Grad Norm: 0.8179 | Clipped: 1/4
Epoch [5/4000] | Avg Makespan: 345.50 | Actor Loss: -0.0010 | Critic Loss: 1.1148 | Grad Norm: 0.6293 | Clipped: 0/4
Epoch [6/4000] | Avg Makespan: 319.00 | Actor Loss: -0.0008 | Critic Loss: 0.7047 | Grad Norm: 0.9488 | Clipped: 2/4
Epoch [7/4000] | Avg Makespan: 339.00 | Actor Loss: -0.0003 | Critic Loss: 0.9993 | Grad Norm: 2.2238 | Clipped: 4/4
Epoch [8/4000] | Avg Makespan: 339.00 | Actor Loss: -0.0000 | Critic Loss: 1.3469 | Grad Norm: 0.9027 | Clipped: 2/4
Epoch [9/4000] | Avg Makespan: 322.25 | Actor Loss: -0.0009 | Critic Loss: 0.7903 | Grad Norm: 1.8011 | Clipped: 4/4
Epoch [10/4000] | Avg Makespan: 345.75 | Actor Loss: -0.0003 | Critic Loss: 0.2526 | Grad Norm: 0.3925 | Clipped: 0/4
Epoch [11/4000] | Avg Makespan: 315.50 | Actor Loss: -0.0014 | Critic Loss: 0.6144 | Grad Norm: 1.5574 | Clipped: 4/4
Epoch [12/4000] | Avg Makespan: 327.25 | Actor Loss: -0.0016 | Critic Loss: 0.8470 | Grad Norm: 0.3698 | Clipped: 0/4
Epoch [13/4000] | Avg Makespan: 322.25 | Actor Loss: -0.0011 | Critic Loss: 1.7867 | Grad Norm: 0.3424 | Clipped: 0/4
Epoch [14/4000] | Avg Makespan: 386.50 | Actor Loss: -0.0004 | Critic Loss: 3.4301 | Grad Norm: 2.6864 | Clipped: 4/4
Epoch [15/4000] | Avg Makespan: 337.75 | Actor Loss: -0.0018 | Critic Loss: 0.7782 | Grad Norm: 0.8409 | Clipped: 0/4
Epoch [16/4000] | Avg Makespan: 330.75 | Actor Loss: -0.0002 | Critic Loss: 0.7524 | Grad Norm: 0.8058 | Clipped: 1/4
Epoch [17/4000] | Avg Makespan: 355.00 | Actor Loss: -0.0003 | Critic Loss: 1.1645 | Grad Norm: 0.8507 | Clipped: 0/4
Epoch [18/4000] | Avg Makespan: 297.75 | Actor Loss: -0.0018 | Critic Loss: 0.7363 | Grad Norm: 1.3587 | Clipped: 4/4
Epoch [19/4000] | Avg Makespan: 339.25 | Actor Loss: -0.0016 | Critic Loss: 0.5214 | Grad Norm: 0.5502 | Clipped: 0/4
Epoch [20/4000] | Avg Makespan: 316.50 | Actor Loss: -0.0047 | Critic Loss: 0.7821 | Grad Norm: 0.3864 | Clipped: 0/4
Epoch [21/4000] | Avg Makespan: 346.50 | Actor Loss: -0.0035 | Critic Loss: 1.2185 | Grad Norm: 0.8774 | Clipped: 0/4
Epoch [22/4000] | Avg Makespan: 333.75 | Actor Loss: -0.0026 | Critic Loss: 0.5789 | Grad Norm: 0.2669 | Clipped: 0/4
Epoch [23/4000] | Avg Makespan: 345.75 | Actor Loss: -0.0009 | Critic Loss: 0.2121 | Grad Norm: 0.2561 | Clipped: 0/4
Epoch [24/4000] | Avg Makespan: 330.25 | Actor Loss: -0.0023 | Critic Loss: 1.4424 | Grad Norm: 0.7288 | Clipped: 0/4
Epoch [25/4000] | Avg Makespan: 308.75 | Actor Loss: -0.0017 | Critic Loss: 0.6233 | Grad Norm: 0.9689 | Clipped: 1/4
Epoch [26/4000] | Avg Makespan: 323.50 | Actor Loss: -0.0012 | Critic Loss: 0.5581 | Grad Norm: 0.3746 | Clipped: 0/4
Epoch [27/4000] | Avg Makespan: 310.50 | Actor Loss: -0.0026 | Critic Loss: 0.4618 | Grad Norm: 0.2072 | Clipped: 0/4
Epoch [28/4000] | Avg Makespan: 325.25 | Actor Loss: -0.0054 | Critic Loss: 0.8597 | Grad Norm: 0.6436 | Clipped: 0/4
Epoch [29/4000] | Avg Makespan: 307.50 | Actor Loss: -0.0020 | Critic Loss: 0.3918 | Grad Norm: 0.8814 | Clipped: 0/4
Epoch [30/4000] | Avg Makespan: 331.75 | Actor Loss: -0.0019 | Critic Loss: 0.9069 | Grad Norm: 0.8339 | Clipped: 0/4
