Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260827_084425_v10_B_s42
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Second checkpoint protocol: Val C~ selects checkpoints_v10/v10_B_s42_bestideal.pth
Epoch [1/4000] | Avg Makespan: 360.75 | Actor Loss: -0.0040 | Critic Loss: 0.9321 | Grad Norm: 1.8798 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 601.81 | Invalid Jobs: 0.01 | Score: 608.95
   -> Val Score 608.95 (warming up 1/5, no selection yet)
   -> Val C~ 434.36 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260827_084425_v10_B_s42/chart.png
Epoch [2/4000] | Avg Makespan: 350.00 | Actor Loss: -0.0017 | Critic Loss: 0.9716 | Grad Norm: 1.0782 | Clipped: 2/4
Epoch [3/4000] | Avg Makespan: 328.25 | Actor Loss: -0.0023 | Critic Loss: 0.7280 | Grad Norm: 0.3792 | Clipped: 0/4
Epoch [4/4000] | Avg Makespan: 342.25 | Actor Loss: -0.0026 | Critic Loss: 0.2719 | Grad Norm: 0.8417 | Clipped: 1/4
Epoch [5/4000] | Avg Makespan: 340.75 | Actor Loss: -0.0010 | Critic Loss: 1.1071 | Grad Norm: 0.4949 | Clipped: 0/4
Epoch [6/4000] | Avg Makespan: 326.25 | Actor Loss: -0.0015 | Critic Loss: 0.4853 | Grad Norm: 0.4427 | Clipped: 0/4
Epoch [7/4000] | Avg Makespan: 346.75 | Actor Loss: -0.0006 | Critic Loss: 0.7885 | Grad Norm: 1.6849 | Clipped: 3/4
Epoch [8/4000] | Avg Makespan: 320.00 | Actor Loss: -0.0011 | Critic Loss: 0.6648 | Grad Norm: 2.1983 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 347.25 | Actor Loss: -0.0020 | Critic Loss: 1.0827 | Grad Norm: 0.7496 | Clipped: 0/4
Epoch [10/4000] | Avg Makespan: 338.25 | Actor Loss: -0.0006 | Critic Loss: 0.9869 | Grad Norm: 0.4320 | Clipped: 0/4
Epoch [11/4000] | Avg Makespan: 341.50 | Actor Loss: -0.0014 | Critic Loss: 1.2648 | Grad Norm: 0.2919 | Clipped: 0/4
Epoch [12/4000] | Avg Makespan: 327.25 | Actor Loss: -0.0015 | Critic Loss: 0.4370 | Grad Norm: 0.5246 | Clipped: 0/4
