Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260819_162727_v10_B_s44
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 330.00 | Actor Loss: -0.0044 | Critic Loss: 1.0276 | Grad Norm: 2.6985 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 3136.47 | Invalid Jobs: 0.00 | Score: 3136.47
   -> Val Score 3136.47 (warming up 1/5, no selection yet)
   -> Val C~ 2800.49 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260819_162727_v10_B_s44/chart.png
Epoch [2/4000] | Avg Makespan: 326.00 | Actor Loss: -0.0033 | Critic Loss: 0.7927 | Grad Norm: 1.9651 | Clipped: 3/4
Epoch [3/4000] | Avg Makespan: 367.50 | Actor Loss: -0.0022 | Critic Loss: 1.6461 | Grad Norm: 3.3577 | Clipped: 4/4
Epoch [4/4000] | Avg Makespan: 316.00 | Actor Loss: -0.0001 | Critic Loss: 0.5950 | Grad Norm: 2.7962 | Clipped: 4/4
Epoch [5/4000] | Avg Makespan: 348.00 | Actor Loss: -0.0030 | Critic Loss: 1.3430 | Grad Norm: 0.8832 | Clipped: 1/4
Epoch [6/4000] | Avg Makespan: 338.75 | Actor Loss: -0.0031 | Critic Loss: 1.0980 | Grad Norm: 0.7785 | Clipped: 0/4
Epoch [7/4000] | Avg Makespan: 329.00 | Actor Loss: -0.0017 | Critic Loss: 0.3981 | Grad Norm: 0.5281 | Clipped: 0/4
Epoch [8/4000] | Avg Makespan: 357.25 | Actor Loss: -0.0006 | Critic Loss: 0.9899 | Grad Norm: 2.2378 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 345.75 | Actor Loss: -0.0014 | Critic Loss: 0.7583 | Grad Norm: 0.6634 | Clipped: 0/4
Epoch [10/4000] | Avg Makespan: 387.25 | Actor Loss: -0.0015 | Critic Loss: 1.1238 | Grad Norm: 1.6553 | Clipped: 4/4
Epoch [11/4000] | Avg Makespan: 333.25 | Actor Loss: -0.0011 | Critic Loss: 1.6639 | Grad Norm: 3.7000 | Clipped: 4/4
Epoch [12/4000] | Avg Makespan: 335.50 | Actor Loss: -0.0002 | Critic Loss: 0.7230 | Grad Norm: 2.1923 | Clipped: 4/4
Epoch [13/4000] | Avg Makespan: 344.50 | Actor Loss: -0.0026 | Critic Loss: 0.3969 | Grad Norm: 0.7137 | Clipped: 0/4
Epoch [14/4000] | Avg Makespan: 344.75 | Actor Loss: -0.0048 | Critic Loss: 1.0126 | Grad Norm: 0.6430 | Clipped: 0/4
Epoch [15/4000] | Avg Makespan: 353.75 | Actor Loss: 0.0000 | Critic Loss: 0.2218 | Grad Norm: 0.2580 | Clipped: 0/4
Epoch [16/4000] | Avg Makespan: 344.25 | Actor Loss: -0.0015 | Critic Loss: 1.3317 | Grad Norm: 0.7945 | Clipped: 0/4
Epoch [17/4000] | Avg Makespan: 364.00 | Actor Loss: -0.0020 | Critic Loss: 0.5827 | Grad Norm: 0.6270 | Clipped: 0/4
Epoch [18/4000] | Avg Makespan: 353.75 | Actor Loss: -0.0031 | Critic Loss: 0.7062 | Grad Norm: 0.3093 | Clipped: 0/4
Epoch [19/4000] | Avg Makespan: 336.25 | Actor Loss: 0.0001 | Critic Loss: 1.0946 | Grad Norm: 0.7551 | Clipped: 0/4
Epoch [20/4000] | Avg Makespan: 314.50 | Actor Loss: -0.0012 | Critic Loss: 0.6229 | Grad Norm: 0.9525 | Clipped: 2/4
Epoch [21/4000] | Avg Makespan: 342.50 | Actor Loss: -0.0010 | Critic Loss: 1.0406 | Grad Norm: 1.1610 | Clipped: 3/4
Epoch [22/4000] | Avg Makespan: 334.50 | Actor Loss: -0.0046 | Critic Loss: 0.4353 | Grad Norm: 0.4613 | Clipped: 0/4
Epoch [23/4000] | Avg Makespan: 330.25 | Actor Loss: -0.0012 | Critic Loss: 1.0070 | Grad Norm: 0.6550 | Clipped: 0/4
Epoch [24/4000] | Avg Makespan: 338.25 | Actor Loss: -0.0013 | Critic Loss: 0.5440 | Grad Norm: 0.2909 | Clipped: 0/4
Epoch [25/4000] | Avg Makespan: 338.25 | Actor Loss: -0.0004 | Critic Loss: 1.2245 | Grad Norm: 0.2524 | Clipped: 0/4
Epoch [26/4000] | Avg Makespan: 322.50 | Actor Loss: -0.0013 | Critic Loss: 0.7981 | Grad Norm: 0.7663 | Clipped: 0/4
Epoch [27/4000] | Avg Makespan: 339.25 | Actor Loss: -0.0015 | Critic Loss: 0.4280 | Grad Norm: 0.5417 | Clipped: 0/4
Epoch [28/4000] | Avg Makespan: 335.25 | Actor Loss: 0.0002 | Critic Loss: 0.7913 | Grad Norm: 0.1906 | Clipped: 0/4
Epoch [29/4000] | Avg Makespan: 355.50 | Actor Loss: -0.0007 | Critic Loss: 1.7933 | Grad Norm: 0.5266 | Clipped: 0/4
Epoch [30/4000] | Avg Makespan: 332.75 | Actor Loss: -0.0000 | Critic Loss: 1.2554 | Grad Norm: 1.1653 | Clipped: 4/4
Epoch [31/4000] | Avg Makespan: 366.00 | Actor Loss: -0.0010 | Critic Loss: 0.9407 | Grad Norm: 0.5164 | Clipped: 0/4
Epoch [32/4000] | Avg Makespan: 340.00 | Actor Loss: -0.0008 | Critic Loss: 0.4919 | Grad Norm: 0.6906 | Clipped: 0/4
Epoch [33/4000] | Avg Makespan: 326.50 | Actor Loss: -0.0013 | Critic Loss: 0.6112 | Grad Norm: 0.6903 | Clipped: 1/4
Epoch [34/4000] | Avg Makespan: 326.50 | Actor Loss: -0.0022 | Critic Loss: 0.8377 | Grad Norm: 0.2978 | Clipped: 0/4
Epoch [35/4000] | Avg Makespan: 333.50 | Actor Loss: -0.0019 | Critic Loss: 1.2922 | Grad Norm: 0.5458 | Clipped: 0/4
Epoch [36/4000] | Avg Makespan: 351.75 | Actor Loss: -0.0007 | Critic Loss: 1.1018 | Grad Norm: 0.5312 | Clipped: 0/4
Epoch [37/4000] | Avg Makespan: 297.75 | Actor Loss: -0.0002 | Critic Loss: 2.0037 | Grad Norm: 2.8969 | Clipped: 4/4
Epoch [38/4000] | Avg Makespan: 329.75 | Actor Loss: -0.0010 | Critic Loss: 1.0946 | Grad Norm: 0.5431 | Clipped: 0/4
Epoch [39/4000] | Avg Makespan: 329.75 | Actor Loss: -0.0014 | Critic Loss: 0.6425 | Grad Norm: 0.1875 | Clipped: 0/4
Epoch [40/4000] | Avg Makespan: 333.00 | Actor Loss: -0.0020 | Critic Loss: 1.0988 | Grad Norm: 0.3358 | Clipped: 0/4
Epoch [41/4000] | Avg Makespan: 313.50 | Actor Loss: -0.0014 | Critic Loss: 0.4801 | Grad Norm: 0.5899 | Clipped: 0/4
Epoch [42/4000] | Avg Makespan: 328.75 | Actor Loss: -0.0013 | Critic Loss: 0.5142 | Grad Norm: 0.2009 | Clipped: 0/4
Epoch [43/4000] | Avg Makespan: 330.75 | Actor Loss: -0.0033 | Critic Loss: 0.9829 | Grad Norm: 0.2724 | Clipped: 0/4
Epoch [44/4000] | Avg Makespan: 327.00 | Actor Loss: -0.0024 | Critic Loss: 0.3654 | Grad Norm: 0.2310 | Clipped: 0/4
Epoch [45/4000] | Avg Makespan: 307.25 | Actor Loss: -0.0038 | Critic Loss: 0.5245 | Grad Norm: 0.7209 | Clipped: 0/4
Epoch [46/4000] | Avg Makespan: 306.00 | Actor Loss: -0.0020 | Critic Loss: 0.3823 | Grad Norm: 0.2842 | Clipped: 0/4
Epoch [47/4000] | Avg Makespan: 314.75 | Actor Loss: -0.0017 | Critic Loss: 0.4682 | Grad Norm: 0.5745 | Clipped: 0/4
Epoch [48/4000] | Avg Makespan: 316.75 | Actor Loss: -0.0028 | Critic Loss: 1.0569 | Grad Norm: 0.2660 | Clipped: 0/4
Epoch [49/4000] | Avg Makespan: 318.50 | Actor Loss: -0.0012 | Critic Loss: 2.0387 | Grad Norm: 0.2208 | Clipped: 0/4
Epoch [50/4000] | Avg Makespan: 337.00 | Actor Loss: -0.0029 | Critic Loss: 0.4396 | Grad Norm: 0.4199 | Clipped: 0/4
Epoch [51/4000] | Avg Makespan: 344.25 | Actor Loss: -0.0020 | Critic Loss: 0.4534 | Grad Norm: 0.2659 | Clipped: 0/4
Epoch [52/4000] | Avg Makespan: 305.50 | Actor Loss: -0.0008 | Critic Loss: 1.8693 | Grad Norm: 1.7540 | Clipped: 4/4
Epoch [53/4000] | Avg Makespan: 312.00 | Actor Loss: -0.0030 | Critic Loss: 0.5971 | Grad Norm: 0.6785 | Clipped: 0/4
Epoch [54/4000] | Avg Makespan: 319.00 | Actor Loss: -0.0045 | Critic Loss: 0.4790 | Grad Norm: 0.3445 | Clipped: 0/4
Epoch [55/4000] | Avg Makespan: 312.75 | Actor Loss: -0.0030 | Critic Loss: 0.4031 | Grad Norm: 0.2371 | Clipped: 0/4
Epoch [56/4000] | Avg Makespan: 322.75 | Actor Loss: -0.0017 | Critic Loss: 0.8790 | Grad Norm: 0.3705 | Clipped: 0/4
Epoch [57/4000] | Avg Makespan: 311.50 | Actor Loss: -0.0049 | Critic Loss: 0.1748 | Grad Norm: 0.3920 | Clipped: 0/4
Epoch [58/4000] | Avg Makespan: 327.00 | Actor Loss: -0.0043 | Critic Loss: 1.2428 | Grad Norm: 0.3011 | Clipped: 0/4
Epoch [59/4000] | Avg Makespan: 320.50 | Actor Loss: -0.0007 | Critic Loss: 0.9374 | Grad Norm: 0.2292 | Clipped: 0/4
Epoch [60/4000] | Avg Makespan: 295.00 | Actor Loss: -0.0045 | Critic Loss: 0.6475 | Grad Norm: 0.7667 | Clipped: 0/4
Epoch [61/4000] | Avg Makespan: 310.00 | Actor Loss: -0.0038 | Critic Loss: 0.5414 | Grad Norm: 0.3441 | Clipped: 0/4
Epoch [62/4000] | Avg Makespan: 310.00 | Actor Loss: -0.0055 | Critic Loss: 0.5724 | Grad Norm: 0.4648 | Clipped: 0/4
Epoch [63/4000] | Avg Makespan: 321.00 | Actor Loss: -0.0032 | Critic Loss: 0.6674 | Grad Norm: 0.3779 | Clipped: 0/4
Epoch [64/4000] | Avg Makespan: 297.75 | Actor Loss: -0.0041 | Critic Loss: 0.4455 | Grad Norm: 0.5100 | Clipped: 0/4
Epoch [65/4000] | Avg Makespan: 336.25 | Actor Loss: -0.0039 | Critic Loss: 0.9688 | Grad Norm: 0.5498 | Clipped: 0/4
Epoch [66/4000] | Avg Makespan: 318.25 | Actor Loss: -0.0041 | Critic Loss: 0.2084 | Grad Norm: 0.4291 | Clipped: 0/4
Epoch [67/4000] | Avg Makespan: 306.00 | Actor Loss: -0.0063 | Critic Loss: 0.6390 | Grad Norm: 0.7443 | Clipped: 1/4
Epoch [68/4000] | Avg Makespan: 316.00 | Actor Loss: -0.0032 | Critic Loss: 0.6401 | Grad Norm: 0.2728 | Clipped: 0/4
Epoch [69/4000] | Avg Makespan: 304.50 | Actor Loss: -0.0034 | Critic Loss: 0.2352 | Grad Norm: 0.2432 | Clipped: 0/4
Epoch [70/4000] | Avg Makespan: 324.75 | Actor Loss: -0.0046 | Critic Loss: 0.8216 | Grad Norm: 0.6087 | Clipped: 0/4
Epoch [71/4000] | Avg Makespan: 333.00 | Actor Loss: -0.0006 | Critic Loss: 1.0035 | Grad Norm: 0.6788 | Clipped: 0/4
Epoch [72/4000] | Avg Makespan: 334.25 | Actor Loss: -0.0011 | Critic Loss: 0.6900 | Grad Norm: 0.3318 | Clipped: 0/4
Epoch [73/4000] | Avg Makespan: 342.00 | Actor Loss: -0.0046 | Critic Loss: 0.4997 | Grad Norm: 0.3585 | Clipped: 0/4
Epoch [74/4000] | Avg Makespan: 306.50 | Actor Loss: -0.0038 | Critic Loss: 0.8197 | Grad Norm: 1.1325 | Clipped: 3/4
