   -> training feature mask L3 installed: {'amr': (9,), 'dock': (2, 3, 4, 5, 6), 'action': (2,)}
Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260828_031837_v10_C_s42
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 653.25 | Actor Loss: -0.0033 | Critic Loss: 0.9380 | Grad Norm: 1.6104 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 773.78 | Invalid Jobs: 0.00 | Score: 777.35
   -> Val Score 777.35 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260828_031837_v10_C_s42/chart.png
Epoch [2/4000] | Avg Makespan: 652.75 | Actor Loss: -0.0032 | Critic Loss: 1.0215 | Grad Norm: 0.8296 | Clipped: 1/4
Epoch [3/4000] | Avg Makespan: 638.88 | Actor Loss: -0.0014 | Critic Loss: 0.5542 | Grad Norm: 0.3965 | Clipped: 0/4
Epoch [4/4000] | Avg Makespan: 669.75 | Actor Loss: -0.0014 | Critic Loss: 0.7974 | Grad Norm: 1.2035 | Clipped: 2/4
Epoch [5/4000] | Avg Makespan: 677.62 | Actor Loss: -0.0018 | Critic Loss: 0.5513 | Grad Norm: 0.4871 | Clipped: 0/4
Epoch [6/4000] | Avg Makespan: 688.12 | Actor Loss: -0.0019 | Critic Loss: 1.1688 | Grad Norm: 0.5241 | Clipped: 0/4
Epoch [7/4000] | Avg Makespan: 683.50 | Actor Loss: -0.0032 | Critic Loss: 0.4902 | Grad Norm: 0.4455 | Clipped: 0/4
Epoch [8/4000] | Avg Makespan: 634.75 | Actor Loss: -0.0004 | Critic Loss: 0.4420 | Grad Norm: 2.3450 | Clipped: 4/4
