   -> training feature mask L3 installed: {'amr': (9,), 'dock': (2, 3, 4, 5, 6), 'action': (2,)}
Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260825_013806_v10_E_s44
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Second checkpoint protocol: Val Psi-hat selects checkpoints_v10/v10_E_s44_bestsurr.pth
Epoch [1/4000] | Avg Makespan: 687.22 | Actor Loss: -0.0044 | Critic Loss: 1.0246 | Grad Norm: 2.7473 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 843.64 | Invalid Jobs: 0.01 | Score: 850.78
   -> Val Score 850.78 (warming up 1/5, no selection yet)
   -> Val Psi-hat 879.97 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260825_013806_v10_E_s44/chart.png
Epoch [2/4000] | Avg Makespan: 642.26 | Actor Loss: -0.0011 | Critic Loss: 0.8326 | Grad Norm: 3.5004 | Clipped: 4/4
Epoch [3/4000] | Avg Makespan: 704.03 | Actor Loss: -0.0029 | Critic Loss: 1.3171 | Grad Norm: 2.9276 | Clipped: 4/4
Epoch [4/4000] | Avg Makespan: 656.22 | Actor Loss: -0.0031 | Critic Loss: 0.4962 | Grad Norm: 1.1742 | Clipped: 3/4
Epoch [5/4000] | Avg Makespan: 626.01 | Actor Loss: -0.0018 | Critic Loss: 0.6816 | Grad Norm: 0.8286 | Clipped: 1/4
Epoch [6/4000] | Avg Makespan: 622.40 | Actor Loss: -0.0015 | Critic Loss: 0.6361 | Grad Norm: 0.9210 | Clipped: 2/4
Epoch [7/4000] | Avg Makespan: 684.87 | Actor Loss: -0.0007 | Critic Loss: 1.6414 | Grad Norm: 1.9509 | Clipped: 3/4
Epoch [8/4000] | Avg Makespan: 679.92 | Actor Loss: -0.0012 | Critic Loss: 1.5072 | Grad Norm: 2.4435 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 654.18 | Actor Loss: -0.0015 | Critic Loss: 0.6887 | Grad Norm: 1.2397 | Clipped: 2/4
Epoch [10/4000] | Avg Makespan: 641.08 | Actor Loss: -0.0017 | Critic Loss: 0.4230 | Grad Norm: 0.7291 | Clipped: 0/4
Epoch [11/4000] | Avg Makespan: 651.81 | Actor Loss: -0.0009 | Critic Loss: 0.4834 | Grad Norm: 0.4865 | Clipped: 0/4
Epoch [12/4000] | Avg Makespan: 667.60 | Actor Loss: -0.0034 | Critic Loss: 0.7072 | Grad Norm: 0.3572 | Clipped: 0/4
Epoch [13/4000] | Avg Makespan: 668.77 | Actor Loss: -0.0015 | Critic Loss: 0.5035 | Grad Norm: 0.2443 | Clipped: 0/4
Epoch [14/4000] | Avg Makespan: 604.35 | Actor Loss: 0.0002 | Critic Loss: 0.6912 | Grad Norm: 1.8117 | Clipped: 4/4
Epoch [15/4000] | Avg Makespan: 629.10 | Actor Loss: -0.0038 | Critic Loss: 0.6833 | Grad Norm: 0.9685 | Clipped: 3/4
Epoch [16/4000] | Avg Makespan: 608.25 | Actor Loss: -0.0017 | Critic Loss: 0.5877 | Grad Norm: 0.4136 | Clipped: 0/4
Epoch [17/4000] | Avg Makespan: 672.82 | Actor Loss: -0.0022 | Critic Loss: 1.1975 | Grad Norm: 1.6984 | Clipped: 3/4
Epoch [18/4000] | Avg Makespan: 639.77 | Actor Loss: -0.0002 | Critic Loss: 0.7335 | Grad Norm: 2.8567 | Clipped: 4/4
Epoch [19/4000] | Avg Makespan: 611.29 | Actor Loss: -0.0009 | Critic Loss: 0.6244 | Grad Norm: 1.5114 | Clipped: 3/4
Epoch [20/4000] | Avg Makespan: 627.77 | Actor Loss: -0.0010 | Critic Loss: 0.5247 | Grad Norm: 1.0536 | Clipped: 3/4
Epoch [21/4000] | Avg Makespan: 649.73 | Actor Loss: -0.0017 | Critic Loss: 0.8105 | Grad Norm: 1.3169 | Clipped: 3/4
Epoch [22/4000] | Avg Makespan: 615.28 | Actor Loss: -0.0035 | Critic Loss: 0.5487 | Grad Norm: 0.8332 | Clipped: 0/4
Epoch [23/4000] | Avg Makespan: 644.64 | Actor Loss: -0.0009 | Critic Loss: 0.3655 | Grad Norm: 0.2582 | Clipped: 0/4
Epoch [24/4000] | Avg Makespan: 647.15 | Actor Loss: -0.0019 | Critic Loss: 0.4292 | Grad Norm: 0.2607 | Clipped: 0/4
Epoch [25/4000] | Avg Makespan: 658.24 | Actor Loss: -0.0013 | Critic Loss: 0.9607 | Grad Norm: 0.3739 | Clipped: 0/4
Epoch [26/4000] | Avg Makespan: 681.75 | Actor Loss: -0.0032 | Critic Loss: 1.9646 | Grad Norm: 0.6103 | Clipped: 0/4
Epoch [27/4000] | Avg Makespan: 590.27 | Actor Loss: 0.0002 | Critic Loss: 1.5176 | Grad Norm: 3.6510 | Clipped: 4/4
Epoch [28/4000] | Avg Makespan: 612.86 | Actor Loss: -0.0009 | Critic Loss: 0.6042 | Grad Norm: 1.4230 | Clipped: 2/4
Epoch [29/4000] | Avg Makespan: 601.90 | Actor Loss: -0.0010 | Critic Loss: 0.2786 | Grad Norm: 0.9332 | Clipped: 3/4
Epoch [30/4000] | Avg Makespan: 606.12 | Actor Loss: -0.0049 | Critic Loss: 0.4429 | Grad Norm: 0.5678 | Clipped: 0/4
Epoch [31/4000] | Avg Makespan: 610.04 | Actor Loss: -0.0013 | Critic Loss: 0.6418 | Grad Norm: 0.4272 | Clipped: 0/4
Epoch [32/4000] | Avg Makespan: 603.69 | Actor Loss: -0.0053 | Critic Loss: 0.6273 | Grad Norm: 0.3958 | Clipped: 0/4
Epoch [33/4000] | Avg Makespan: 546.85 | Actor Loss: -0.0079 | Critic Loss: 0.3402 | Grad Norm: 0.9685 | Clipped: 2/4
Epoch [34/4000] | Avg Makespan: 571.55 | Actor Loss: -0.0017 | Critic Loss: 0.8702 | Grad Norm: 1.7205 | Clipped: 4/4
Epoch [35/4000] | Avg Makespan: 533.05 | Actor Loss: -0.0024 | Critic Loss: 0.2476 | Grad Norm: 0.4020 | Clipped: 0/4
Epoch [36/4000] | Avg Makespan: 547.75 | Actor Loss: -0.0029 | Critic Loss: 0.4133 | Grad Norm: 0.6041 | Clipped: 0/4
Epoch [37/4000] | Avg Makespan: 553.42 | Actor Loss: -0.0003 | Critic Loss: 0.5709 | Grad Norm: 0.5974 | Clipped: 0/4
Epoch [38/4000] | Avg Makespan: 545.54 | Actor Loss: -0.0011 | Critic Loss: 0.3835 | Grad Norm: 0.6246 | Clipped: 0/4
Epoch [39/4000] | Avg Makespan: 532.65 | Actor Loss: -0.0023 | Critic Loss: 0.3613 | Grad Norm: 0.3933 | Clipped: 0/4
Epoch [40/4000] | Avg Makespan: 529.29 | Actor Loss: -0.0026 | Critic Loss: 0.1887 | Grad Norm: 0.4005 | Clipped: 0/4
Epoch [41/4000] | Avg Makespan: 504.46 | Actor Loss: -0.0045 | Critic Loss: 0.1563 | Grad Norm: 0.6730 | Clipped: 0/4
Epoch [42/4000] | Avg Makespan: 521.02 | Actor Loss: -0.0027 | Critic Loss: 0.1574 | Grad Norm: 0.6164 | Clipped: 0/4
Epoch [43/4000] | Avg Makespan: 475.81 | Actor Loss: -0.0027 | Critic Loss: 0.1945 | Grad Norm: 0.8821 | Clipped: 0/4
