Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260825_013759_v10_F_s42
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Second checkpoint protocol: Val Psi-hat selects checkpoints_v10/v10_F_s42_bestsurr.pth
Epoch [1/4000] | Avg Makespan: 679.87 | Actor Loss: -0.0042 | Critic Loss: 0.9212 | Grad Norm: 1.7176 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 580.85 | Invalid Jobs: 0.01 | Score: 595.14
   -> Val Score 595.14 (warming up 1/5, no selection yet)
   -> Val Psi-hat 566.58 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260825_013759_v10_F_s42/chart.png
Epoch [2/4000] | Avg Makespan: 692.15 | Actor Loss: -0.0031 | Critic Loss: 0.6785 | Grad Norm: 0.7810 | Clipped: 0/4
Epoch [3/4000] | Avg Makespan: 680.88 | Actor Loss: -0.0052 | Critic Loss: 0.6537 | Grad Norm: 0.5047 | Clipped: 0/4
Epoch [4/4000] | Avg Makespan: 669.18 | Actor Loss: -0.0025 | Critic Loss: 0.4688 | Grad Norm: 0.7252 | Clipped: 2/4
Epoch [5/4000] | Avg Makespan: 679.80 | Actor Loss: -0.0035 | Critic Loss: 0.8512 | Grad Norm: 1.3482 | Clipped: 3/4
Epoch [6/4000] | Avg Makespan: 646.29 | Actor Loss: -0.0024 | Critic Loss: 0.3116 | Grad Norm: 1.8858 | Clipped: 4/4
Epoch [7/4000] | Avg Makespan: 674.08 | Actor Loss: -0.0026 | Critic Loss: 0.6138 | Grad Norm: 1.4654 | Clipped: 3/4
Epoch [8/4000] | Avg Makespan: 674.75 | Actor Loss: -0.0005 | Critic Loss: 0.4393 | Grad Norm: 1.3349 | Clipped: 3/4
Epoch [9/4000] | Avg Makespan: 685.33 | Actor Loss: -0.0023 | Critic Loss: 0.4690 | Grad Norm: 0.9022 | Clipped: 2/4
Epoch [10/4000] | Avg Makespan: 644.00 | Actor Loss: -0.0007 | Critic Loss: 0.9989 | Grad Norm: 2.4306 | Clipped: 4/4
Epoch [11/4000] | Avg Makespan: 653.68 | Actor Loss: -0.0018 | Critic Loss: 0.6491 | Grad Norm: 2.6792 | Clipped: 3/4
Epoch [12/4000] | Avg Makespan: 616.34 | Actor Loss: 0.0001 | Critic Loss: 0.7660 | Grad Norm: 5.7435 | Clipped: 4/4
Epoch [13/4000] | Avg Makespan: 632.68 | Actor Loss: -0.0017 | Critic Loss: 0.8065 | Grad Norm: 1.4947 | Clipped: 3/4
Epoch [14/4000] | Avg Makespan: 621.05 | Actor Loss: -0.0019 | Critic Loss: 0.4439 | Grad Norm: 0.8067 | Clipped: 2/4
Epoch [15/4000] | Avg Makespan: 602.10 | Actor Loss: -0.0026 | Critic Loss: 0.4792 | Grad Norm: 1.0873 | Clipped: 2/4
Epoch [16/4000] | Avg Makespan: 602.80 | Actor Loss: -0.0030 | Critic Loss: 0.2796 | Grad Norm: 1.1701 | Clipped: 3/4
Epoch [17/4000] | Avg Makespan: 609.10 | Actor Loss: -0.0028 | Critic Loss: 0.2833 | Grad Norm: 0.8430 | Clipped: 1/4
Epoch [18/4000] | Avg Makespan: 602.38 | Actor Loss: -0.0023 | Critic Loss: 0.3458 | Grad Norm: 0.9034 | Clipped: 2/4
Epoch [19/4000] | Avg Makespan: 590.01 | Actor Loss: -0.0034 | Critic Loss: 0.5309 | Grad Norm: 0.8367 | Clipped: 0/4
Epoch [20/4000] | Avg Makespan: 591.42 | Actor Loss: -0.0021 | Critic Loss: 0.3119 | Grad Norm: 1.5323 | Clipped: 4/4
Epoch [21/4000] | Avg Makespan: 593.85 | Actor Loss: -0.0017 | Critic Loss: 0.3726 | Grad Norm: 1.8747 | Clipped: 4/4
Epoch [22/4000] | Avg Makespan: 606.55 | Actor Loss: -0.0003 | Critic Loss: 0.3072 | Grad Norm: 5.2536 | Clipped: 4/4
Epoch [23/4000] | Avg Makespan: 576.98 | Actor Loss: -0.0015 | Critic Loss: 0.3597 | Grad Norm: 5.2748 | Clipped: 4/4
Epoch [24/4000] | Avg Makespan: 590.64 | Actor Loss: -0.0008 | Critic Loss: 0.4742 | Grad Norm: 3.7818 | Clipped: 4/4
Epoch [25/4000] | Avg Makespan: 540.81 | Actor Loss: -0.0008 | Critic Loss: 0.5006 | Grad Norm: 3.6419 | Clipped: 3/4
Epoch [26/4000] | Avg Makespan: 597.34 | Actor Loss: -0.0010 | Critic Loss: 0.7902 | Grad Norm: 6.4655 | Clipped: 4/4
Epoch [27/4000] | Avg Makespan: 580.64 | Actor Loss: -0.0002 | Critic Loss: 0.4620 | Grad Norm: 6.1529 | Clipped: 4/4
Epoch [28/4000] | Avg Makespan: 543.58 | Actor Loss: -0.0023 | Critic Loss: 0.3147 | Grad Norm: 2.3255 | Clipped: 4/4
Epoch [29/4000] | Avg Makespan: 538.76 | Actor Loss: -0.0026 | Critic Loss: 0.2086 | Grad Norm: 1.3439 | Clipped: 2/4
Epoch [30/4000] | Avg Makespan: 546.71 | Actor Loss: -0.0008 | Critic Loss: 0.3904 | Grad Norm: 0.6889 | Clipped: 1/4
Epoch [31/4000] | Avg Makespan: 543.81 | Actor Loss: -0.0012 | Critic Loss: 0.4001 | Grad Norm: 0.5683 | Clipped: 0/4
Epoch [32/4000] | Avg Makespan: 547.33 | Actor Loss: -0.0033 | Critic Loss: 0.1577 | Grad Norm: 0.5954 | Clipped: 0/4
Epoch [33/4000] | Avg Makespan: 544.78 | Actor Loss: -0.0046 | Critic Loss: 0.1755 | Grad Norm: 1.0315 | Clipped: 2/4
Epoch [34/4000] | Avg Makespan: 536.12 | Actor Loss: -0.0032 | Critic Loss: 0.1847 | Grad Norm: 1.1586 | Clipped: 2/4
Epoch [35/4000] | Avg Makespan: 546.24 | Actor Loss: -0.0014 | Critic Loss: 0.1885 | Grad Norm: 0.5668 | Clipped: 0/4
Epoch [36/4000] | Avg Makespan: 521.08 | Actor Loss: -0.0004 | Critic Loss: 0.2692 | Grad Norm: 1.4740 | Clipped: 4/4
Epoch [37/4000] | Avg Makespan: 536.51 | Actor Loss: 0.0034 | Critic Loss: 0.2172 | Grad Norm: 2.0505 | Clipped: 4/4
Epoch [38/4000] | Avg Makespan: 516.68 | Actor Loss: 0.0029 | Critic Loss: 0.2176 | Grad Norm: 1.8808 | Clipped: 4/4
Epoch [39/4000] | Avg Makespan: 562.91 | Actor Loss: 0.0137 | Critic Loss: 0.3109 | Grad Norm: 3.7055 | Clipped: 4/4
Epoch [40/4000] | Avg Makespan: 504.64 | Actor Loss: 0.0158 | Critic Loss: 0.8945 | Grad Norm: 7.3186 | Clipped: 4/4
Epoch [41/4000] | Avg Makespan: 540.07 | Actor Loss: -0.0003 | Critic Loss: 0.2763 | Grad Norm: 2.1360 | Clipped: 4/4
Epoch [42/4000] | Avg Makespan: 507.49 | Actor Loss: -0.0036 | Critic Loss: 0.1562 | Grad Norm: 0.4760 | Clipped: 0/4
Epoch [43/4000] | Avg Makespan: 518.50 | Actor Loss: -0.0010 | Critic Loss: 0.2306 | Grad Norm: 1.1038 | Clipped: 3/4
Epoch [44/4000] | Avg Makespan: 499.01 | Actor Loss: -0.0019 | Critic Loss: 0.3261 | Grad Norm: 1.3096 | Clipped: 3/4
Epoch [45/4000] | Avg Makespan: 482.51 | Actor Loss: -0.0032 | Critic Loss: 0.2540 | Grad Norm: 0.8229 | Clipped: 1/4
Epoch [46/4000] | Avg Makespan: 485.36 | Actor Loss: -0.0038 | Critic Loss: 0.1121 | Grad Norm: 0.6432 | Clipped: 0/4
Epoch [47/4000] | Avg Makespan: 477.36 | Actor Loss: -0.0043 | Critic Loss: 0.1457 | Grad Norm: 0.5093 | Clipped: 0/4
Epoch [48/4000] | Avg Makespan: 467.87 | Actor Loss: -0.0034 | Critic Loss: 0.0983 | Grad Norm: 0.7834 | Clipped: 1/4
Epoch [49/4000] | Avg Makespan: 471.11 | Actor Loss: -0.0046 | Critic Loss: 0.1363 | Grad Norm: 0.8953 | Clipped: 2/4
Epoch [50/4000] | Avg Makespan: 475.85 | Actor Loss: -0.0034 | Critic Loss: 0.0932 | Grad Norm: 0.8429 | Clipped: 0/4
Epoch [51/4000] | Avg Makespan: 466.00 | Actor Loss: -0.0040 | Critic Loss: 0.1291 | Grad Norm: 0.5876 | Clipped: 0/4
Epoch [52/4000] | Avg Makespan: 474.98 | Actor Loss: -0.0025 | Critic Loss: 0.1509 | Grad Norm: 1.4132 | Clipped: 4/4
Epoch [53/4000] | Avg Makespan: 464.78 | Actor Loss: -0.0058 | Critic Loss: 0.0256 | Grad Norm: 0.8651 | Clipped: 1/4
Epoch [54/4000] | Avg Makespan: 446.47 | Actor Loss: -0.0012 | Critic Loss: 0.0739 | Grad Norm: 1.4861 | Clipped: 3/4
Epoch [55/4000] | Avg Makespan: 457.42 | Actor Loss: 0.0008 | Critic Loss: 0.1402 | Grad Norm: 1.8513 | Clipped: 4/4
Epoch [56/4000] | Avg Makespan: 453.30 | Actor Loss: 0.0004 | Critic Loss: 0.0367 | Grad Norm: 1.0689 | Clipped: 2/4
Epoch [57/4000] | Avg Makespan: 461.00 | Actor Loss: 0.0062 | Critic Loss: 0.1001 | Grad Norm: 1.4234 | Clipped: 3/4
Epoch [58/4000] | Avg Makespan: 463.29 | Actor Loss: -0.0008 | Critic Loss: 0.0471 | Grad Norm: 1.1807 | Clipped: 2/4
Epoch [59/4000] | Avg Makespan: 446.55 | Actor Loss: -0.0011 | Critic Loss: 0.0816 | Grad Norm: 1.4367 | Clipped: 4/4
Epoch [60/4000] | Avg Makespan: 443.45 | Actor Loss: -0.0024 | Critic Loss: 0.1544 | Grad Norm: 1.1922 | Clipped: 3/4
Epoch [61/4000] | Avg Makespan: 444.67 | Actor Loss: -0.0041 | Critic Loss: 0.0884 | Grad Norm: 0.7952 | Clipped: 0/4
Epoch [62/4000] | Avg Makespan: 460.82 | Actor Loss: 0.0014 | Critic Loss: 0.1462 | Grad Norm: 1.0348 | Clipped: 3/4
Epoch [63/4000] | Avg Makespan: 450.29 | Actor Loss: 0.0018 | Critic Loss: 0.0902 | Grad Norm: 0.9911 | Clipped: 1/4
Epoch [64/4000] | Avg Makespan: 448.37 | Actor Loss: -0.0036 | Critic Loss: 0.0588 | Grad Norm: 0.7335 | Clipped: 1/4
Epoch [65/4000] | Avg Makespan: 444.79 | Actor Loss: 0.0010 | Critic Loss: 0.0513 | Grad Norm: 1.1341 | Clipped: 3/4
Epoch [66/4000] | Avg Makespan: 442.21 | Actor Loss: -0.0041 | Critic Loss: 0.0773 | Grad Norm: 0.4805 | Clipped: 0/4
Epoch [67/4000] | Avg Makespan: 450.96 | Actor Loss: -0.0010 | Critic Loss: 0.0543 | Grad Norm: 0.5081 | Clipped: 0/4
Epoch [68/4000] | Avg Makespan: 441.76 | Actor Loss: -0.0027 | Critic Loss: 0.0374 | Grad Norm: 0.5500 | Clipped: 0/4
Epoch [69/4000] | Avg Makespan: 444.50 | Actor Loss: -0.0089 | Critic Loss: 0.0413 | Grad Norm: 0.6957 | Clipped: 0/4
Epoch [70/4000] | Avg Makespan: 437.70 | Actor Loss: -0.0053 | Critic Loss: 0.0388 | Grad Norm: 0.8197 | Clipped: 1/4
Epoch [71/4000] | Avg Makespan: 450.66 | Actor Loss: -0.0022 | Critic Loss: 0.0658 | Grad Norm: 0.7645 | Clipped: 0/4
Epoch [72/4000] | Avg Makespan: 439.40 | Actor Loss: -0.0080 | Critic Loss: 0.0763 | Grad Norm: 0.6673 | Clipped: 0/4
Epoch [73/4000] | Avg Makespan: 444.35 | Actor Loss: -0.0047 | Critic Loss: 0.1704 | Grad Norm: 0.8815 | Clipped: 1/4
Epoch [74/4000] | Avg Makespan: 424.08 | Actor Loss: -0.0029 | Critic Loss: 0.1190 | Grad Norm: 1.0806 | Clipped: 2/4
Epoch [75/4000] | Avg Makespan: 447.18 | Actor Loss: 0.0011 | Critic Loss: 0.1252 | Grad Norm: 1.2548 | Clipped: 3/4
Epoch [76/4000] | Avg Makespan: 414.24 | Actor Loss: 0.0056 | Critic Loss: 0.1242 | Grad Norm: 1.4920 | Clipped: 4/4
Epoch [77/4000] | Avg Makespan: 454.69 | Actor Loss: 0.0053 | Critic Loss: 0.0678 | Grad Norm: 1.2764 | Clipped: 4/4
Epoch [78/4000] | Avg Makespan: 416.50 | Actor Loss: 0.0105 | Critic Loss: 0.1047 | Grad Norm: 1.7228 | Clipped: 4/4
Epoch [79/4000] | Avg Makespan: 441.52 | Actor Loss: 0.0061 | Critic Loss: 0.0681 | Grad Norm: 1.5803 | Clipped: 4/4
Epoch [80/4000] | Avg Makespan: 441.70 | Actor Loss: -0.0016 | Critic Loss: 0.0486 | Grad Norm: 0.8684 | Clipped: 1/4
Epoch [81/4000] | Avg Makespan: 438.03 | Actor Loss: -0.0018 | Critic Loss: 0.0671 | Grad Norm: 0.9215 | Clipped: 1/4
Epoch [82/4000] | Avg Makespan: 450.88 | Actor Loss: -0.0029 | Critic Loss: 0.0517 | Grad Norm: 0.8228 | Clipped: 1/4
Epoch [83/4000] | Avg Makespan: 458.90 | Actor Loss: -0.0002 | Critic Loss: 0.0619 | Grad Norm: 1.1146 | Clipped: 2/4
Epoch [84/4000] | Avg Makespan: 480.16 | Actor Loss: -0.0019 | Critic Loss: 0.1623 | Grad Norm: 0.7607 | Clipped: 1/4
Epoch [85/4000] | Avg Makespan: 430.84 | Actor Loss: -0.0013 | Critic Loss: 0.1742 | Grad Norm: 1.5967 | Clipped: 4/4
Epoch [86/4000] | Avg Makespan: 431.99 | Actor Loss: -0.0015 | Critic Loss: 0.0818 | Grad Norm: 1.2041 | Clipped: 3/4
Epoch [87/4000] | Avg Makespan: 439.53 | Actor Loss: 0.0025 | Critic Loss: 0.1523 | Grad Norm: 1.3159 | Clipped: 4/4
Epoch [88/4000] | Avg Makespan: 439.33 | Actor Loss: 0.0050 | Critic Loss: 0.0309 | Grad Norm: 0.9719 | Clipped: 2/4
Epoch [89/4000] | Avg Makespan: 450.91 | Actor Loss: 0.0010 | Critic Loss: 0.1313 | Grad Norm: 1.0404 | Clipped: 2/4
Epoch [90/4000] | Avg Makespan: 447.90 | Actor Loss: -0.0025 | Critic Loss: 0.0982 | Grad Norm: 0.5595 | Clipped: 0/4
Epoch [91/4000] | Avg Makespan: 454.22 | Actor Loss: -0.0017 | Critic Loss: 0.0827 | Grad Norm: 0.8395 | Clipped: 2/4
Epoch [92/4000] | Avg Makespan: 428.13 | Actor Loss: 0.0019 | Critic Loss: 0.1163 | Grad Norm: 1.1756 | Clipped: 2/4
Epoch [93/4000] | Avg Makespan: 427.57 | Actor Loss: -0.0040 | Critic Loss: 0.0256 | Grad Norm: 0.6734 | Clipped: 0/4
Epoch [94/4000] | Avg Makespan: 424.12 | Actor Loss: -0.0053 | Critic Loss: 0.0441 | Grad Norm: 0.7260 | Clipped: 1/4
Epoch [95/4000] | Avg Makespan: 448.10 | Actor Loss: -0.0051 | Critic Loss: 0.1012 | Grad Norm: 0.9228 | Clipped: 2/4
Epoch [96/4000] | Avg Makespan: 444.45 | Actor Loss: 0.0034 | Critic Loss: 0.0430 | Grad Norm: 1.3413 | Clipped: 3/4
Epoch [97/4000] | Avg Makespan: 437.44 | Actor Loss: -0.0048 | Critic Loss: 0.0855 | Grad Norm: 0.8540 | Clipped: 1/4
Epoch [98/4000] | Avg Makespan: 450.28 | Actor Loss: -0.0014 | Critic Loss: 0.1804 | Grad Norm: 0.9947 | Clipped: 1/4
Epoch [99/4000] | Avg Makespan: 415.97 | Actor Loss: -0.0057 | Critic Loss: 0.0774 | Grad Norm: 0.7980 | Clipped: 0/4
Epoch [100/4000] | Avg Makespan: 431.03 | Actor Loss: -0.0029 | Critic Loss: 0.0837 | Grad Norm: 0.9189 | Clipped: 2/4
   -> Validation | Samples: 280 | Makespan: 485.67 | Invalid Jobs: 0.00 | Score: 485.67
   -> Val Score 485.67 (warming up 2/5, no selection yet)
   -> Val Psi-hat 447.18 (warming up 2/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260825_013759_v10_F_s42/chart.png
Epoch [101/4000] | Avg Makespan: 438.74 | Actor Loss: -0.0004 | Critic Loss: 0.1449 | Grad Norm: 0.6868 | Clipped: 0/4
Epoch [102/4000] | Avg Makespan: 436.63 | Actor Loss: -0.0037 | Critic Loss: 0.1244 | Grad Norm: 0.5833 | Clipped: 0/4
Epoch [103/4000] | Avg Makespan: 446.08 | Actor Loss: -0.0023 | Critic Loss: 0.1657 | Grad Norm: 0.5190 | Clipped: 0/4
Epoch [104/4000] | Avg Makespan: 437.43 | Actor Loss: -0.0036 | Critic Loss: 0.1417 | Grad Norm: 0.4483 | Clipped: 0/4
Epoch [105/4000] | Avg Makespan: 419.02 | Actor Loss: -0.0049 | Critic Loss: 0.0529 | Grad Norm: 0.6608 | Clipped: 0/4
Epoch [106/4000] | Avg Makespan: 417.76 | Actor Loss: -0.0024 | Critic Loss: 0.0313 | Grad Norm: 0.6193 | Clipped: 0/4
Epoch [107/4000] | Avg Makespan: 435.53 | Actor Loss: -0.0006 | Critic Loss: 0.2674 | Grad Norm: 1.0186 | Clipped: 3/4
Epoch [108/4000] | Avg Makespan: 416.33 | Actor Loss: 0.0036 | Critic Loss: 0.1192 | Grad Norm: 0.9505 | Clipped: 0/4
Epoch [109/4000] | Avg Makespan: 417.58 | Actor Loss: -0.0027 | Critic Loss: 0.1144 | Grad Norm: 0.6080 | Clipped: 0/4
Epoch [110/4000] | Avg Makespan: 421.98 | Actor Loss: -0.0022 | Critic Loss: 0.0388 | Grad Norm: 0.6127 | Clipped: 0/4
Epoch [111/4000] | Avg Makespan: 417.42 | Actor Loss: -0.0044 | Critic Loss: 0.1377 | Grad Norm: 0.8571 | Clipped: 1/4
Epoch [112/4000] | Avg Makespan: 417.63 | Actor Loss: 0.0033 | Critic Loss: 0.0733 | Grad Norm: 0.9113 | Clipped: 1/4
Epoch [113/4000] | Avg Makespan: 415.68 | Actor Loss: -0.0028 | Critic Loss: 0.0340 | Grad Norm: 0.6352 | Clipped: 0/4
Epoch [114/4000] | Avg Makespan: 413.40 | Actor Loss: -0.0060 | Critic Loss: 0.0412 | Grad Norm: 0.8336 | Clipped: 1/4
Epoch [115/4000] | Avg Makespan: 414.86 | Actor Loss: -0.0010 | Critic Loss: 0.1196 | Grad Norm: 0.8201 | Clipped: 1/4
Epoch [116/4000] | Avg Makespan: 435.27 | Actor Loss: -0.0064 | Critic Loss: 0.0383 | Grad Norm: 0.7666 | Clipped: 1/4
Epoch [117/4000] | Avg Makespan: 395.19 | Actor Loss: -0.0042 | Critic Loss: 0.1967 | Grad Norm: 1.2649 | Clipped: 3/4
Epoch [118/4000] | Avg Makespan: 408.44 | Actor Loss: -0.0038 | Critic Loss: 0.0353 | Grad Norm: 1.0134 | Clipped: 2/4
Epoch [119/4000] | Avg Makespan: 396.34 | Actor Loss: -0.0013 | Critic Loss: 0.1316 | Grad Norm: 0.6443 | Clipped: 0/4
Epoch [120/4000] | Avg Makespan: 423.29 | Actor Loss: -0.0043 | Critic Loss: 0.1114 | Grad Norm: 0.8426 | Clipped: 0/4
Epoch [121/4000] | Avg Makespan: 421.22 | Actor Loss: -0.0054 | Critic Loss: 0.0490 | Grad Norm: 0.5789 | Clipped: 0/4
Epoch [122/4000] | Avg Makespan: 419.16 | Actor Loss: -0.0052 | Critic Loss: 0.0734 | Grad Norm: 0.8516 | Clipped: 0/4
Epoch [123/4000] | Avg Makespan: 408.88 | Actor Loss: -0.0032 | Critic Loss: 0.0651 | Grad Norm: 0.7206 | Clipped: 1/4
Epoch [124/4000] | Avg Makespan: 409.70 | Actor Loss: -0.0005 | Critic Loss: 0.0380 | Grad Norm: 0.6244 | Clipped: 0/4
Epoch [125/4000] | Avg Makespan: 406.57 | Actor Loss: -0.0027 | Critic Loss: 0.0281 | Grad Norm: 0.6100 | Clipped: 0/4
Epoch [126/4000] | Avg Makespan: 415.34 | Actor Loss: -0.0024 | Critic Loss: 0.1904 | Grad Norm: 0.6177 | Clipped: 1/4
Epoch [127/4000] | Avg Makespan: 424.53 | Actor Loss: -0.0027 | Critic Loss: 0.0716 | Grad Norm: 0.8076 | Clipped: 1/4
Epoch [128/4000] | Avg Makespan: 407.35 | Actor Loss: -0.0023 | Critic Loss: 0.0443 | Grad Norm: 0.9977 | Clipped: 1/4
Epoch [129/4000] | Avg Makespan: 415.11 | Actor Loss: -0.0060 | Critic Loss: 0.0786 | Grad Norm: 0.9639 | Clipped: 2/4
Epoch [130/4000] | Avg Makespan: 405.19 | Actor Loss: 0.0008 | Critic Loss: 0.0423 | Grad Norm: 0.6319 | Clipped: 0/4
Epoch [131/4000] | Avg Makespan: 421.30 | Actor Loss: -0.0044 | Critic Loss: 0.0520 | Grad Norm: 0.7512 | Clipped: 1/4
Epoch [132/4000] | Avg Makespan: 413.15 | Actor Loss: -0.0024 | Critic Loss: 0.1562 | Grad Norm: 0.6852 | Clipped: 1/4
Epoch [133/4000] | Avg Makespan: 402.16 | Actor Loss: -0.0023 | Critic Loss: 0.0999 | Grad Norm: 0.8183 | Clipped: 1/4
Epoch [134/4000] | Avg Makespan: 416.04 | Actor Loss: -0.0025 | Critic Loss: 0.1836 | Grad Norm: 0.9021 | Clipped: 1/4
Epoch [135/4000] | Avg Makespan: 383.41 | Actor Loss: -0.0004 | Critic Loss: 0.1017 | Grad Norm: 0.9000 | Clipped: 2/4
Epoch [136/4000] | Avg Makespan: 398.18 | Actor Loss: -0.0012 | Critic Loss: 0.0394 | Grad Norm: 0.5736 | Clipped: 0/4
Epoch [137/4000] | Avg Makespan: 407.15 | Actor Loss: -0.0056 | Critic Loss: 0.1209 | Grad Norm: 0.6585 | Clipped: 0/4
Epoch [138/4000] | Avg Makespan: 391.65 | Actor Loss: -0.0034 | Critic Loss: 0.0813 | Grad Norm: 0.8644 | Clipped: 1/4
Epoch [139/4000] | Avg Makespan: 411.83 | Actor Loss: 0.0016 | Critic Loss: 0.0700 | Grad Norm: 1.0948 | Clipped: 2/4
Epoch [140/4000] | Avg Makespan: 405.56 | Actor Loss: -0.0028 | Critic Loss: 0.0283 | Grad Norm: 0.4956 | Clipped: 0/4
Epoch [141/4000] | Avg Makespan: 419.45 | Actor Loss: -0.0021 | Critic Loss: 0.1170 | Grad Norm: 0.5482 | Clipped: 0/4
Epoch [142/4000] | Avg Makespan: 407.32 | Actor Loss: -0.0041 | Critic Loss: 0.0669 | Grad Norm: 0.5561 | Clipped: 0/4
Epoch [143/4000] | Avg Makespan: 403.71 | Actor Loss: -0.0061 | Critic Loss: 0.0493 | Grad Norm: 0.9913 | Clipped: 1/4
Epoch [144/4000] | Avg Makespan: 406.72 | Actor Loss: -0.0073 | Critic Loss: 0.1006 | Grad Norm: 0.7476 | Clipped: 1/4
Epoch [145/4000] | Avg Makespan: 400.48 | Actor Loss: -0.0006 | Critic Loss: 0.0475 | Grad Norm: 1.0138 | Clipped: 2/4
Epoch [146/4000] | Avg Makespan: 416.13 | Actor Loss: -0.0019 | Critic Loss: 0.0568 | Grad Norm: 1.0699 | Clipped: 3/4
Epoch [147/4000] | Avg Makespan: 389.10 | Actor Loss: -0.0060 | Critic Loss: 0.1606 | Grad Norm: 0.9624 | Clipped: 2/4
Epoch [148/4000] | Avg Makespan: 405.24 | Actor Loss: -0.0039 | Critic Loss: 0.0857 | Grad Norm: 1.0591 | Clipped: 2/4
Epoch [149/4000] | Avg Makespan: 398.97 | Actor Loss: -0.0031 | Critic Loss: 0.0703 | Grad Norm: 1.1110 | Clipped: 2/4
Epoch [150/4000] | Avg Makespan: 399.85 | Actor Loss: -0.0041 | Critic Loss: 0.0488 | Grad Norm: 0.6485 | Clipped: 0/4
Epoch [151/4000] | Avg Makespan: 411.88 | Actor Loss: -0.0065 | Critic Loss: 0.0562 | Grad Norm: 0.8696 | Clipped: 1/4
Epoch [152/4000] | Avg Makespan: 409.19 | Actor Loss: -0.0079 | Critic Loss: 0.0138 | Grad Norm: 0.5724 | Clipped: 0/4
Epoch [153/4000] | Avg Makespan: 404.33 | Actor Loss: -0.0059 | Critic Loss: 0.0334 | Grad Norm: 0.7843 | Clipped: 1/4
Epoch [154/4000] | Avg Makespan: 407.59 | Actor Loss: -0.0046 | Critic Loss: 0.1325 | Grad Norm: 0.8280 | Clipped: 1/4
