Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260818_204332_mix_s42
Loaded 715 dispatch events from test_case/v3/mix/train_mix_20.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_40.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_60.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_80.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_100.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_120.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_140.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 670.25 | Actor Loss: -0.4710 | Critic Loss: 0.6523 | Grad Norm: 1.6835 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 1320.91 | Invalid Jobs: 0.00 | Score: 1320.91
   -> Val Score 1320.91 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260818_204332_mix_s42/chart.png
Epoch [2/4000] | Avg Makespan: 660.62 | Actor Loss: -0.3495 | Critic Loss: 0.3589 | Grad Norm: 1.1728 | Clipped: 2/4
Epoch [3/4000] | Avg Makespan: 1095.62 | Actor Loss: -0.2218 | Critic Loss: 0.2866 | Grad Norm: 1.0679 | Clipped: 2/4
Epoch [4/4000] | Avg Makespan: 906.25 | Actor Loss: -0.2474 | Critic Loss: 0.1673 | Grad Norm: 1.8662 | Clipped: 3/4
Epoch [5/4000] | Avg Makespan: 736.75 | Actor Loss: -0.1111 | Critic Loss: 0.1238 | Grad Norm: 1.3138 | Clipped: 3/4
Epoch [6/4000] | Avg Makespan: 1026.88 | Actor Loss: -0.0740 | Critic Loss: 0.1604 | Grad Norm: 1.2376 | Clipped: 3/4
Epoch [7/4000] | Avg Makespan: 837.25 | Actor Loss: -0.4567 | Critic Loss: 0.1601 | Grad Norm: 1.6439 | Clipped: 4/4
Epoch [8/4000] | Avg Makespan: 762.12 | Actor Loss: 0.0562 | Critic Loss: 0.0868 | Grad Norm: 1.3510 | Clipped: 3/4
Epoch [9/4000] | Avg Makespan: 858.12 | Actor Loss: -0.2150 | Critic Loss: 0.1248 | Grad Norm: 1.0963 | Clipped: 2/4
Epoch [10/4000] | Avg Makespan: 1050.25 | Actor Loss: -0.1904 | Critic Loss: 0.1200 | Grad Norm: 1.7870 | Clipped: 4/4
Epoch [11/4000] | Avg Makespan: 709.25 | Actor Loss: -0.1917 | Critic Loss: 0.0875 | Grad Norm: 1.7527 | Clipped: 3/4
Epoch [12/4000] | Avg Makespan: 943.88 | Actor Loss: -0.1015 | Critic Loss: 0.0949 | Grad Norm: 1.1777 | Clipped: 3/4
Epoch [13/4000] | Avg Makespan: 1026.75 | Actor Loss: -0.2772 | Critic Loss: 0.1333 | Grad Norm: 1.5942 | Clipped: 4/4
Epoch [14/4000] | Avg Makespan: 1054.62 | Actor Loss: -0.1038 | Critic Loss: 0.1290 | Grad Norm: 2.0684 | Clipped: 4/4
Epoch [15/4000] | Avg Makespan: 583.88 | Actor Loss: 0.0485 | Critic Loss: 0.0503 | Grad Norm: 0.6472 | Clipped: 0/4
Epoch [16/4000] | Avg Makespan: 1139.25 | Actor Loss: -0.2015 | Critic Loss: 0.1230 | Grad Norm: 1.9382 | Clipped: 3/4
Epoch [17/4000] | Avg Makespan: 809.25 | Actor Loss: -0.2133 | Critic Loss: 0.1511 | Grad Norm: 2.2976 | Clipped: 3/4
Epoch [18/4000] | Avg Makespan: 867.50 | Actor Loss: -0.0882 | Critic Loss: 0.1170 | Grad Norm: 2.2658 | Clipped: 3/4
Epoch [19/4000] | Avg Makespan: 1053.88 | Actor Loss: -0.0791 | Critic Loss: 0.1177 | Grad Norm: 1.2265 | Clipped: 3/4
Epoch [20/4000] | Avg Makespan: 839.00 | Actor Loss: -0.3622 | Critic Loss: 0.0805 | Grad Norm: 0.9330 | Clipped: 1/4
Epoch [21/4000] | Avg Makespan: 659.62 | Actor Loss: -0.2988 | Critic Loss: 0.0606 | Grad Norm: 0.6118 | Clipped: 0/4
Epoch [22/4000] | Avg Makespan: 975.38 | Actor Loss: 0.0114 | Critic Loss: 0.0972 | Grad Norm: 0.8387 | Clipped: 1/4
Epoch [23/4000] | Avg Makespan: 1019.62 | Actor Loss: -0.1372 | Critic Loss: 0.0703 | Grad Norm: 0.5710 | Clipped: 0/4
Epoch [24/4000] | Avg Makespan: 825.12 | Actor Loss: -0.1054 | Critic Loss: 0.0645 | Grad Norm: 0.6070 | Clipped: 0/4
Epoch [25/4000] | Avg Makespan: 774.50 | Actor Loss: -0.1754 | Critic Loss: 0.0675 | Grad Norm: 0.5066 | Clipped: 0/4
Epoch [26/4000] | Avg Makespan: 577.62 | Actor Loss: -0.0111 | Critic Loss: 0.0536 | Grad Norm: 0.5025 | Clipped: 0/4
Epoch [27/4000] | Avg Makespan: 1059.88 | Actor Loss: -0.1046 | Critic Loss: 0.0954 | Grad Norm: 0.6080 | Clipped: 0/4
Epoch [28/4000] | Avg Makespan: 844.75 | Actor Loss: -0.2031 | Critic Loss: 0.0749 | Grad Norm: 0.4344 | Clipped: 0/4
Epoch [29/4000] | Avg Makespan: 759.12 | Actor Loss: -0.0676 | Critic Loss: 0.0561 | Grad Norm: 0.6143 | Clipped: 0/4
Epoch [30/4000] | Avg Makespan: 792.75 | Actor Loss: -0.1877 | Critic Loss: 0.0411 | Grad Norm: 0.4568 | Clipped: 0/4
Epoch [31/4000] | Avg Makespan: 821.50 | Actor Loss: -0.2159 | Critic Loss: 0.0533 | Grad Norm: 0.4123 | Clipped: 0/4
