Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260818_204338_only60_s43
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 654.62 | Actor Loss: -0.0068 | Critic Loss: 0.8858 | Grad Norm: 1.7163 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 1023.09 | Invalid Jobs: 0.00 | Score: 1026.66
   -> Val Score 1026.66 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260818_204338_only60_s43/chart.png
Epoch [2/4000] | Avg Makespan: 636.25 | Actor Loss: -0.0038 | Critic Loss: 0.9298 | Grad Norm: 1.4295 | Clipped: 3/4
Epoch [3/4000] | Avg Makespan: 648.00 | Actor Loss: -0.0025 | Critic Loss: 1.3062 | Grad Norm: 1.6770 | Clipped: 3/4
Epoch [4/4000] | Avg Makespan: 650.12 | Actor Loss: -0.0035 | Critic Loss: 0.7006 | Grad Norm: 0.9285 | Clipped: 2/4
Epoch [5/4000] | Avg Makespan: 626.00 | Actor Loss: -0.0012 | Critic Loss: 0.7965 | Grad Norm: 2.1955 | Clipped: 3/4
Epoch [6/4000] | Avg Makespan: 613.12 | Actor Loss: -0.0026 | Critic Loss: 0.5852 | Grad Norm: 1.0893 | Clipped: 2/4
Epoch [7/4000] | Avg Makespan: 683.12 | Actor Loss: 0.0000 | Critic Loss: 1.3727 | Grad Norm: 2.7258 | Clipped: 3/4
Epoch [8/4000] | Avg Makespan: 635.00 | Actor Loss: -0.0011 | Critic Loss: 1.4687 | Grad Norm: 5.2095 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 612.75 | Actor Loss: -0.0013 | Critic Loss: 1.1871 | Grad Norm: 2.8605 | Clipped: 4/4
Epoch [10/4000] | Avg Makespan: 601.12 | Actor Loss: -0.0029 | Critic Loss: 0.5802 | Grad Norm: 0.7792 | Clipped: 1/4
Epoch [11/4000] | Avg Makespan: 594.38 | Actor Loss: -0.0027 | Critic Loss: 0.1096 | Grad Norm: 0.5431 | Clipped: 0/4
Epoch [12/4000] | Avg Makespan: 629.00 | Actor Loss: -0.0020 | Critic Loss: 0.4701 | Grad Norm: 0.7903 | Clipped: 1/4
Epoch [13/4000] | Avg Makespan: 636.00 | Actor Loss: -0.0034 | Critic Loss: 0.9981 | Grad Norm: 0.6176 | Clipped: 0/4
Epoch [14/4000] | Avg Makespan: 640.25 | Actor Loss: -0.0045 | Critic Loss: 0.1705 | Grad Norm: 0.3422 | Clipped: 0/4
Epoch [15/4000] | Avg Makespan: 661.00 | Actor Loss: -0.0007 | Critic Loss: 0.3299 | Grad Norm: 0.7882 | Clipped: 2/4
Epoch [16/4000] | Avg Makespan: 598.50 | Actor Loss: -0.0008 | Critic Loss: 1.4199 | Grad Norm: 3.6708 | Clipped: 4/4
Epoch [17/4000] | Avg Makespan: 592.25 | Actor Loss: 0.0002 | Critic Loss: 1.5261 | Grad Norm: 2.2342 | Clipped: 4/4
Epoch [18/4000] | Avg Makespan: 613.62 | Actor Loss: -0.0015 | Critic Loss: 0.2117 | Grad Norm: 0.3712 | Clipped: 0/4
Epoch [19/4000] | Avg Makespan: 600.38 | Actor Loss: -0.0018 | Critic Loss: 1.6887 | Grad Norm: 0.3574 | Clipped: 0/4
Epoch [20/4000] | Avg Makespan: 607.12 | Actor Loss: 0.0002 | Critic Loss: 0.6300 | Grad Norm: 0.2900 | Clipped: 0/4
Epoch [21/4000] | Avg Makespan: 607.88 | Actor Loss: -0.0018 | Critic Loss: 0.2689 | Grad Norm: 0.2131 | Clipped: 0/4
Epoch [22/4000] | Avg Makespan: 557.12 | Actor Loss: -0.0022 | Critic Loss: 1.3157 | Grad Norm: 1.6750 | Clipped: 4/4
Epoch [23/4000] | Avg Makespan: 584.38 | Actor Loss: -0.0014 | Critic Loss: 0.5223 | Grad Norm: 0.9420 | Clipped: 2/4
Epoch [24/4000] | Avg Makespan: 554.62 | Actor Loss: -0.0048 | Critic Loss: 0.2132 | Grad Norm: 0.4361 | Clipped: 0/4
Epoch [25/4000] | Avg Makespan: 594.88 | Actor Loss: -0.0020 | Critic Loss: 0.4151 | Grad Norm: 1.0216 | Clipped: 2/4
Epoch [26/4000] | Avg Makespan: 602.50 | Actor Loss: -0.0012 | Critic Loss: 0.6368 | Grad Norm: 0.3951 | Clipped: 0/4
Epoch [27/4000] | Avg Makespan: 550.75 | Actor Loss: -0.0006 | Critic Loss: 1.1470 | Grad Norm: 1.8044 | Clipped: 4/4
Epoch [28/4000] | Avg Makespan: 582.25 | Actor Loss: -0.0013 | Critic Loss: 0.2199 | Grad Norm: 0.3077 | Clipped: 0/4
Epoch [29/4000] | Avg Makespan: 537.38 | Actor Loss: -0.0004 | Critic Loss: 0.3208 | Grad Norm: 0.8112 | Clipped: 1/4
Epoch [30/4000] | Avg Makespan: 559.62 | Actor Loss: -0.0016 | Critic Loss: 0.1521 | Grad Norm: 0.5482 | Clipped: 0/4
Epoch [31/4000] | Avg Makespan: 551.88 | Actor Loss: -0.0013 | Critic Loss: 0.7057 | Grad Norm: 0.3944 | Clipped: 0/4
Epoch [32/4000] | Avg Makespan: 537.12 | Actor Loss: -0.0038 | Critic Loss: 0.7442 | Grad Norm: 0.4811 | Clipped: 0/4
Epoch [33/4000] | Avg Makespan: 527.75 | Actor Loss: -0.0036 | Critic Loss: 0.2969 | Grad Norm: 0.4272 | Clipped: 0/4
Epoch [34/4000] | Avg Makespan: 506.88 | Actor Loss: -0.0019 | Critic Loss: 0.2094 | Grad Norm: 0.3148 | Clipped: 0/4
Epoch [35/4000] | Avg Makespan: 508.50 | Actor Loss: -0.0013 | Critic Loss: 0.0812 | Grad Norm: 0.5142 | Clipped: 0/4
Epoch [36/4000] | Avg Makespan: 488.12 | Actor Loss: -0.0020 | Critic Loss: 0.3212 | Grad Norm: 0.2323 | Clipped: 0/4
Epoch [37/4000] | Avg Makespan: 498.50 | Actor Loss: -0.0024 | Critic Loss: 0.2884 | Grad Norm: 0.3414 | Clipped: 0/4
Epoch [38/4000] | Avg Makespan: 491.88 | Actor Loss: -0.0060 | Critic Loss: 0.0791 | Grad Norm: 0.3494 | Clipped: 0/4
Epoch [39/4000] | Avg Makespan: 473.88 | Actor Loss: -0.0028 | Critic Loss: 0.1524 | Grad Norm: 0.4107 | Clipped: 0/4
Epoch [40/4000] | Avg Makespan: 484.62 | Actor Loss: -0.0055 | Critic Loss: 0.1157 | Grad Norm: 0.6926 | Clipped: 0/4
Epoch [41/4000] | Avg Makespan: 489.25 | Actor Loss: -0.0014 | Critic Loss: 0.1453 | Grad Norm: 0.4819 | Clipped: 0/4
Epoch [42/4000] | Avg Makespan: 478.25 | Actor Loss: -0.0036 | Critic Loss: 0.1145 | Grad Norm: 0.3964 | Clipped: 0/4
Epoch [43/4000] | Avg Makespan: 458.00 | Actor Loss: -0.0029 | Critic Loss: 0.2393 | Grad Norm: 0.5856 | Clipped: 0/4
Epoch [44/4000] | Avg Makespan: 487.62 | Actor Loss: -0.0011 | Critic Loss: 0.1782 | Grad Norm: 0.6753 | Clipped: 0/4
Epoch [45/4000] | Avg Makespan: 477.50 | Actor Loss: -0.0051 | Critic Loss: 0.1636 | Grad Norm: 0.4622 | Clipped: 0/4
Epoch [46/4000] | Avg Makespan: 471.75 | Actor Loss: -0.0036 | Critic Loss: 0.0947 | Grad Norm: 0.3021 | Clipped: 0/4
Epoch [47/4000] | Avg Makespan: 477.50 | Actor Loss: -0.0037 | Critic Loss: 0.1352 | Grad Norm: 0.3708 | Clipped: 0/4
Epoch [48/4000] | Avg Makespan: 463.75 | Actor Loss: -0.0046 | Critic Loss: 0.2272 | Grad Norm: 0.3304 | Clipped: 0/4
Epoch [49/4000] | Avg Makespan: 468.12 | Actor Loss: -0.0057 | Critic Loss: 0.0564 | Grad Norm: 0.4015 | Clipped: 0/4
Epoch [50/4000] | Avg Makespan: 447.12 | Actor Loss: -0.0049 | Critic Loss: 0.0427 | Grad Norm: 0.3511 | Clipped: 0/4
Epoch [51/4000] | Avg Makespan: 452.62 | Actor Loss: -0.0024 | Critic Loss: 0.1219 | Grad Norm: 0.5170 | Clipped: 0/4
Epoch [52/4000] | Avg Makespan: 444.75 | Actor Loss: -0.0023 | Critic Loss: 0.0876 | Grad Norm: 0.3096 | Clipped: 0/4
Epoch [53/4000] | Avg Makespan: 423.38 | Actor Loss: -0.0055 | Critic Loss: 0.0721 | Grad Norm: 0.5953 | Clipped: 0/4
Epoch [54/4000] | Avg Makespan: 425.25 | Actor Loss: -0.0064 | Critic Loss: 0.0605 | Grad Norm: 0.3302 | Clipped: 0/4
Epoch [55/4000] | Avg Makespan: 437.50 | Actor Loss: -0.0000 | Critic Loss: 0.2240 | Grad Norm: 0.7158 | Clipped: 0/4
