Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1000] | Sampled: 875.06 | Baseline: 678.44 | Improvement: -196.62 | Win Rate: 0.00% | Actor Loss: -0.4597 | Entropy: 4.2394
   -> Saved new best model (Makespan: 875.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/1000] | Sampled: 950.69 | Baseline: 667.38 | Improvement: -283.31 | Win Rate: 0.00% | Actor Loss: -0.2874 | Entropy: 4.1622
Epoch [3/1000] | Sampled: 1403.75 | Baseline: 683.38 | Improvement: -720.38 | Win Rate: 0.00% | Actor Loss: 13.7430 | Entropy: 3.7951
Epoch [4/1000] | Sampled: 1492.50 | Baseline: 693.94 | Improvement: -798.56 | Win Rate: 0.00% | Actor Loss: 15.7443 | Entropy: 3.6584
Epoch [5/1000] | Sampled: 1472.00 | Baseline: 693.00 | Improvement: -779.00 | Win Rate: 0.00% | Actor Loss: 12.3468 | Entropy: 3.6967
Epoch [6/1000] | Sampled: 1537.69 | Baseline: 682.69 | Improvement: -855.00 | Win Rate: 0.00% | Actor Loss: 14.6658 | Entropy: 3.6657
Epoch [7/1000] | Sampled: 1486.62 | Baseline: 688.25 | Improvement: -798.38 | Win Rate: 0.00% | Actor Loss: 12.1256 | Entropy: 3.7107
Epoch [8/1000] | Sampled: 1208.00 | Baseline: 683.31 | Improvement: -524.69 | Win Rate: 0.00% | Actor Loss: 3.1677 | Entropy: 3.8580
Epoch [9/1000] | Sampled: 1172.00 | Baseline: 691.88 | Improvement: -480.12 | Win Rate: 0.00% | Actor Loss: 6.7047 | Entropy: 3.9061
Epoch [10/1000] | Sampled: 1131.19 | Baseline: 679.56 | Improvement: -451.62 | Win Rate: 0.00% | Actor Loss: 4.7252 | Entropy: 3.8852
Epoch [11/1000] | Sampled: 1150.88 | Baseline: 691.44 | Improvement: -459.44 | Win Rate: 0.00% | Actor Loss: 5.6251 | Entropy: 3.8883
Epoch [12/1000] | Sampled: 1138.38 | Baseline: 682.62 | Improvement: -455.75 | Win Rate: 0.00% | Actor Loss: 2.0214 | Entropy: 3.9436
Epoch [13/1000] | Sampled: 1114.44 | Baseline: 676.62 | Improvement: -437.81 | Win Rate: 0.00% | Actor Loss: 3.3590 | Entropy: 3.9064
Epoch [14/1000] | Sampled: 1166.56 | Baseline: 677.44 | Improvement: -489.12 | Win Rate: 0.00% | Actor Loss: 4.0167 | Entropy: 3.8641
Epoch [15/1000] | Sampled: 1301.69 | Baseline: 699.31 | Improvement: -602.38 | Win Rate: 0.00% | Actor Loss: 5.8080 | Entropy: 3.7591
Epoch [16/1000] | Sampled: 1525.12 | Baseline: 691.38 | Improvement: -833.75 | Win Rate: 0.00% | Actor Loss: 10.7926 | Entropy: 3.5869
Epoch [17/1000] | Sampled: 1917.81 | Baseline: 688.62 | Improvement: -1229.19 | Win Rate: 0.00% | Actor Loss: 12.1641 | Entropy: 3.3067
Epoch [18/1000] | Sampled: 2079.56 | Baseline: 703.12 | Improvement: -1376.44 | Win Rate: 0.00% | Actor Loss: 9.8905 | Entropy: 3.2010
Epoch [19/1000] | Sampled: 2053.81 | Baseline: 693.75 | Improvement: -1360.06 | Win Rate: 0.00% | Actor Loss: 11.5555 | Entropy: 3.2054
Epoch [20/1000] | Sampled: 2032.25 | Baseline: 673.88 | Improvement: -1358.38 | Win Rate: 0.00% | Actor Loss: 9.8432 | Entropy: 3.1918
Epoch [21/1000] | Sampled: 2046.12 | Baseline: 681.94 | Improvement: -1364.19 | Win Rate: 0.00% | Actor Loss: 9.8507 | Entropy: 3.1872
Epoch [22/1000] | Sampled: 2074.88 | Baseline: 672.56 | Improvement: -1402.31 | Win Rate: 0.00% | Actor Loss: 8.2597 | Entropy: 3.1802
Epoch [23/1000] | Sampled: 2067.38 | Baseline: 691.00 | Improvement: -1376.38 | Win Rate: 0.00% | Actor Loss: 10.2465 | Entropy: 3.1807
Epoch [24/1000] | Sampled: 2087.19 | Baseline: 717.44 | Improvement: -1369.75 | Win Rate: 0.00% | Actor Loss: 10.7848 | Entropy: 3.1831
Epoch [25/1000] | Sampled: 2090.00 | Baseline: 703.00 | Improvement: -1387.00 | Win Rate: 0.00% | Actor Loss: 8.0486 | Entropy: 3.1711
Epoch [26/1000] | Sampled: 2090.12 | Baseline: 693.62 | Improvement: -1396.50 | Win Rate: 0.00% | Actor Loss: 9.0497 | Entropy: 3.1782
Epoch [27/1000] | Sampled: 2048.31 | Baseline: 695.75 | Improvement: -1352.56 | Win Rate: 0.00% | Actor Loss: 9.2677 | Entropy: 3.1808
Epoch [28/1000] | Sampled: 2062.06 | Baseline: 673.12 | Improvement: -1388.94 | Win Rate: 0.00% | Actor Loss: 10.4490 | Entropy: 3.1702
Epoch [29/1000] | Sampled: 2050.31 | Baseline: 692.69 | Improvement: -1357.62 | Win Rate: 0.00% | Actor Loss: 11.0460 | Entropy: 3.1678
Epoch [30/1000] | Sampled: 2070.56 | Baseline: 680.62 | Improvement: -1389.94 | Win Rate: 0.00% | Actor Loss: 8.6885 | Entropy: 3.1644
Epoch [31/1000] | Sampled: 2067.69 | Baseline: 677.31 | Improvement: -1390.38 | Win Rate: 0.00% | Actor Loss: 9.3645 | Entropy: 3.1581
