Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1000] | Sampled: 902.81 | Baseline: 691.31 | Improvement: -211.50 | Win Rate: 0.00% | Actor Loss: -0.5778 | Entropy: 4.2384
   -> Saved new best model (Makespan: 902.81)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/1000] | Sampled: 978.88 | Baseline: 684.00 | Improvement: -294.88 | Win Rate: 0.00% | Actor Loss: 3.9944 | Entropy: 4.1578
Epoch [3/1000] | Sampled: 1391.75 | Baseline: 679.88 | Improvement: -711.88 | Win Rate: 0.00% | Actor Loss: 14.4888 | Entropy: 3.8433
Epoch [4/1000] | Sampled: 1195.38 | Baseline: 679.06 | Improvement: -516.31 | Win Rate: 0.00% | Actor Loss: 10.4484 | Entropy: 3.9238
Epoch [5/1000] | Sampled: 1238.12 | Baseline: 689.19 | Improvement: -548.94 | Win Rate: 0.00% | Actor Loss: 7.0861 | Entropy: 3.9317
Epoch [6/1000] | Sampled: 1280.69 | Baseline: 687.12 | Improvement: -593.56 | Win Rate: 0.00% | Actor Loss: 6.3049 | Entropy: 3.8442
Epoch [7/1000] | Sampled: 1409.88 | Baseline: 691.31 | Improvement: -718.56 | Win Rate: 0.00% | Actor Loss: 12.1539 | Entropy: 3.7097
Epoch [8/1000] | Sampled: 1408.25 | Baseline: 696.06 | Improvement: -712.19 | Win Rate: 0.00% | Actor Loss: 10.1467 | Entropy: 3.6907
Epoch [9/1000] | Sampled: 1357.25 | Baseline: 680.44 | Improvement: -676.81 | Win Rate: 0.00% | Actor Loss: 11.0797 | Entropy: 3.7492
Epoch [10/1000] | Sampled: 1573.75 | Baseline: 676.44 | Improvement: -897.31 | Win Rate: 0.00% | Actor Loss: 12.2576 | Entropy: 3.5712
