Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1000] | Sampled: 873.06 | Baseline: 696.38 | Improvement: -176.69 | Win Rate: 0.00% | Job Loss: 0.2344 | AMR Loss: 0.0049 | Entropy: 4.2395
   -> Saved new best model (Makespan: 873.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/1000] | Sampled: 939.12 | Baseline: 690.56 | Improvement: -248.56 | Win Rate: 0.00% | Job Loss: 2.4177 | AMR Loss: 0.0822 | Entropy: 4.2093
Epoch [3/1000] | Sampled: 846.31 | Baseline: 691.19 | Improvement: -155.12 | Win Rate: 0.00% | Job Loss: 1.9539 | AMR Loss: -0.1886 | Entropy: 4.0364
   -> Saved new best model (Makespan: 846.31)
Epoch [4/1000] | Sampled: 936.50 | Baseline: 702.69 | Improvement: -233.81 | Win Rate: 6.25% | Job Loss: 0.7062 | AMR Loss: -0.1875 | Entropy: 4.0570
Epoch [5/1000] | Sampled: 877.69 | Baseline: 675.25 | Improvement: -202.44 | Win Rate: 0.00% | Job Loss: -1.4619 | AMR Loss: 0.1977 | Entropy: 3.9776
Epoch [6/1000] | Sampled: 981.50 | Baseline: 686.88 | Improvement: -294.62 | Win Rate: 0.00% | Job Loss: -0.1841 | AMR Loss: -1.4379 | Entropy: 3.8281
Epoch [7/1000] | Sampled: 1028.00 | Baseline: 679.00 | Improvement: -349.00 | Win Rate: 0.00% | Job Loss: 2.6444 | AMR Loss: 0.1676 | Entropy: 3.7048
Epoch [8/1000] | Sampled: 1172.94 | Baseline: 695.88 | Improvement: -477.06 | Win Rate: 0.00% | Job Loss: 1.2052 | AMR Loss: 1.8233 | Entropy: 3.5418
Epoch [9/1000] | Sampled: 1099.69 | Baseline: 693.44 | Improvement: -406.25 | Win Rate: 0.00% | Job Loss: 4.0370 | AMR Loss: 1.7401 | Entropy: 3.4878
Epoch [10/1000] | Sampled: 1287.69 | Baseline: 666.25 | Improvement: -621.44 | Win Rate: 0.00% | Job Loss: 4.8974 | AMR Loss: 4.1994 | Entropy: 3.3702
Epoch [11/1000] | Sampled: 1235.25 | Baseline: 699.19 | Improvement: -536.06 | Win Rate: 0.00% | Job Loss: 4.8884 | AMR Loss: 2.3161 | Entropy: 3.3379
Epoch [12/1000] | Sampled: 1156.75 | Baseline: 694.25 | Improvement: -462.50 | Win Rate: 0.00% | Job Loss: 0.2115 | AMR Loss: 0.5204 | Entropy: 3.3276
Epoch [13/1000] | Sampled: 1125.12 | Baseline: 687.75 | Improvement: -437.38 | Win Rate: 0.00% | Job Loss: 4.0145 | AMR Loss: -1.6906 | Entropy: 3.1414
Epoch [14/1000] | Sampled: 1200.75 | Baseline: 706.12 | Improvement: -494.62 | Win Rate: 0.00% | Job Loss: 4.0980 | AMR Loss: 0.1005 | Entropy: 2.9956
Epoch [15/1000] | Sampled: 1203.31 | Baseline: 694.56 | Improvement: -508.75 | Win Rate: 0.00% | Job Loss: 6.7018 | AMR Loss: 3.1669 | Entropy: 2.8984
Epoch [16/1000] | Sampled: 1226.81 | Baseline: 683.31 | Improvement: -543.50 | Win Rate: 0.00% | Job Loss: 1.0203 | AMR Loss: -2.0133 | Entropy: 2.9843
Epoch [17/1000] | Sampled: 1306.56 | Baseline: 672.19 | Improvement: -634.38 | Win Rate: 0.00% | Job Loss: 5.3851 | AMR Loss: 1.1569 | Entropy: 2.8600
Epoch [18/1000] | Sampled: 1285.31 | Baseline: 685.44 | Improvement: -599.88 | Win Rate: 0.00% | Job Loss: 1.4296 | AMR Loss: -1.4591 | Entropy: 2.6641
Epoch [19/1000] | Sampled: 1258.75 | Baseline: 693.69 | Improvement: -565.06 | Win Rate: 0.00% | Job Loss: 1.3296 | AMR Loss: -0.0815 | Entropy: 2.6851
Epoch [20/1000] | Sampled: 1643.44 | Baseline: 706.38 | Improvement: -937.06 | Win Rate: 0.00% | Job Loss: 4.3917 | AMR Loss: 4.0142 | Entropy: 2.4327
Epoch [21/1000] | Sampled: 1750.69 | Baseline: 681.62 | Improvement: -1069.06 | Win Rate: 0.00% | Job Loss: 3.0068 | AMR Loss: 2.0547 | Entropy: 2.2415
Epoch [22/1000] | Sampled: 1803.00 | Baseline: 680.88 | Improvement: -1122.12 | Win Rate: 0.00% | Job Loss: -0.3902 | AMR Loss: 4.3489 | Entropy: 2.2482
Epoch [23/1000] | Sampled: 1905.38 | Baseline: 684.81 | Improvement: -1220.56 | Win Rate: 0.00% | Job Loss: 1.2314 | AMR Loss: 1.7504 | Entropy: 2.1102
Epoch [24/1000] | Sampled: 1939.50 | Baseline: 689.12 | Improvement: -1250.38 | Win Rate: 0.00% | Job Loss: 2.2587 | AMR Loss: 4.3979 | Entropy: 2.0398
Epoch [25/1000] | Sampled: 1924.31 | Baseline: 693.94 | Improvement: -1230.38 | Win Rate: 0.00% | Job Loss: 0.2425 | AMR Loss: 2.8794 | Entropy: 2.0507
Epoch [26/1000] | Sampled: 1979.44 | Baseline: 675.06 | Improvement: -1304.38 | Win Rate: 0.00% | Job Loss: 3.9718 | AMR Loss: 3.7336 | Entropy: 1.9997
Epoch [27/1000] | Sampled: 1997.88 | Baseline: 718.31 | Improvement: -1279.56 | Win Rate: 0.00% | Job Loss: -1.0547 | AMR Loss: 2.6567 | Entropy: 2.0046
