Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1500] | Sampled: 1323.00 | Baseline: 930.25 | Improvement: -392.75 | Win Rate: 0.00% | Actor Loss: -1247.8251 | Entropy: 3.7915
   -> Saved new best model (Makespan: 1323.00)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/1500] | Sampled: 1089.00 | Baseline: 1003.25 | Improvement: -85.75 | Win Rate: 25.00% | Actor Loss: -228.9717 | Entropy: 3.7881
   -> Saved new best model (Makespan: 1089.00)
Epoch [3/1500] | Sampled: 1032.00 | Baseline: 798.25 | Improvement: -233.75 | Win Rate: 25.00% | Actor Loss: -987.8895 | Entropy: 3.6291
   -> Saved new best model (Makespan: 1032.00)
Epoch [4/1500] | Sampled: 1276.50 | Baseline: 1098.75 | Improvement: -177.75 | Win Rate: 25.00% | Actor Loss: -415.4792 | Entropy: 3.7828
Epoch [5/1500] | Sampled: 553.75 | Baseline: 516.00 | Improvement: -37.75 | Win Rate: 50.00% | Actor Loss: -43.4546 | Entropy: 3.2029
   -> Saved new best model (Makespan: 553.75)
Epoch [6/1500] | Sampled: 1312.50 | Baseline: 1176.00 | Improvement: -136.50 | Win Rate: 25.00% | Actor Loss: -463.9988 | Entropy: 3.8594
Epoch [7/1500] | Sampled: 1040.00 | Baseline: 1084.50 | Improvement: 44.50 | Win Rate: 75.00% | Actor Loss: 210.4166 | Entropy: 3.7017
Epoch [8/1500] | Sampled: 1410.75 | Baseline: 1298.50 | Improvement: -112.25 | Win Rate: 50.00% | Actor Loss: -471.0400 | Entropy: 4.0070
Epoch [9/1500] | Sampled: 1167.50 | Baseline: 965.50 | Improvement: -202.00 | Win Rate: 0.00% | Actor Loss: -546.8948 | Entropy: 3.7328
Epoch [10/1500] | Sampled: 885.00 | Baseline: 873.25 | Improvement: -11.75 | Win Rate: 50.00% | Actor Loss: -79.9822 | Entropy: 3.5758
Epoch [11/1500] | Sampled: 1236.00 | Baseline: 1071.25 | Improvement: -164.75 | Win Rate: 25.00% | Actor Loss: -680.0683 | Entropy: 3.8863
Epoch [12/1500] | Sampled: 816.50 | Baseline: 784.00 | Improvement: -32.50 | Win Rate: 50.00% | Actor Loss: 64.6614 | Entropy: 3.3876
Epoch [13/1500] | Sampled: 1079.25 | Baseline: 947.50 | Improvement: -131.75 | Win Rate: 25.00% | Actor Loss: -551.9198 | Entropy: 3.6186
Epoch [14/1500] | Sampled: 1230.00 | Baseline: 1087.25 | Improvement: -142.75 | Win Rate: 25.00% | Actor Loss: -684.2086 | Entropy: 3.7785
Epoch [15/1500] | Sampled: 680.50 | Baseline: 639.75 | Improvement: -40.75 | Win Rate: 50.00% | Actor Loss: 50.6328 | Entropy: 3.2761
Epoch [16/1500] | Sampled: 1130.75 | Baseline: 1162.50 | Improvement: 31.75 | Win Rate: 75.00% | Actor Loss: 183.5145 | Entropy: 3.7793
Epoch [17/1500] | Sampled: 1132.00 | Baseline: 1184.00 | Improvement: 52.00 | Win Rate: 75.00% | Actor Loss: 441.2744 | Entropy: 3.7672
Epoch [18/1500] | Sampled: 600.75 | Baseline: 632.75 | Improvement: 32.00 | Win Rate: 75.00% | Actor Loss: 182.0463 | Entropy: 3.2502
Epoch [19/1500] | Sampled: 1132.00 | Baseline: 1313.50 | Improvement: 181.50 | Win Rate: 75.00% | Actor Loss: 687.9180 | Entropy: 3.7705
Epoch [20/1500] | Sampled: 554.75 | Baseline: 638.75 | Improvement: 84.00 | Win Rate: 75.00% | Actor Loss: 326.9869 | Entropy: 3.2497
Epoch [21/1500] | Sampled: 780.25 | Baseline: 752.50 | Improvement: -27.75 | Win Rate: 50.00% | Actor Loss: -114.1336 | Entropy: 3.3969
Epoch [22/1500] | Sampled: 852.00 | Baseline: 858.25 | Improvement: 6.25 | Win Rate: 50.00% | Actor Loss: -7.5445 | Entropy: 3.5115
Epoch [23/1500] | Sampled: 1144.50 | Baseline: 1047.00 | Improvement: -97.50 | Win Rate: 0.00% | Actor Loss: -480.0299 | Entropy: 3.7720
Epoch [24/1500] | Sampled: 582.25 | Baseline: 570.75 | Improvement: -11.50 | Win Rate: 75.00% | Actor Loss: -177.0315 | Entropy: 3.2845
Epoch [25/1500] | Sampled: 1044.75 | Baseline: 916.50 | Improvement: -128.25 | Win Rate: 25.00% | Actor Loss: -487.1075 | Entropy: 3.4991
Epoch [26/1500] | Sampled: 1250.75 | Baseline: 1304.75 | Improvement: 54.00 | Win Rate: 75.00% | Actor Loss: 464.0484 | Entropy: 3.7436
Epoch [27/1500] | Sampled: 1370.50 | Baseline: 1317.00 | Improvement: -53.50 | Win Rate: 25.00% | Actor Loss: -241.8436 | Entropy: 3.8945
Epoch [28/1500] | Sampled: 1100.00 | Baseline: 1027.75 | Improvement: -72.25 | Win Rate: 25.00% | Actor Loss: -460.9146 | Entropy: 3.8345
Epoch [29/1500] | Sampled: 1125.50 | Baseline: 1120.25 | Improvement: -5.25 | Win Rate: 50.00% | Actor Loss: 580.2026 | Entropy: 3.7927
Epoch [30/1500] | Sampled: 909.25 | Baseline: 956.75 | Improvement: 47.50 | Win Rate: 50.00% | Actor Loss: 392.7826 | Entropy: 3.5203
Epoch [31/1500] | Sampled: 1079.00 | Baseline: 1003.75 | Improvement: -75.25 | Win Rate: 0.00% | Actor Loss: -38.5845 | Entropy: 3.5445
Epoch [32/1500] | Sampled: 755.50 | Baseline: 722.75 | Improvement: -32.75 | Win Rate: 25.00% | Actor Loss: 207.3109 | Entropy: 3.3109
Epoch [33/1500] | Sampled: 1169.75 | Baseline: 1174.00 | Improvement: 4.25 | Win Rate: 50.00% | Actor Loss: 577.7396 | Entropy: 3.7756
Epoch [34/1500] | Sampled: 1470.50 | Baseline: 1431.50 | Improvement: -39.00 | Win Rate: 50.00% | Actor Loss: -251.4147 | Entropy: 3.8147
Epoch [35/1500] | Sampled: 842.00 | Baseline: 673.25 | Improvement: -168.75 | Win Rate: 25.00% | Actor Loss: -809.7861 | Entropy: 3.3975
Epoch [36/1500] | Sampled: 1134.00 | Baseline: 1044.50 | Improvement: -89.50 | Win Rate: 50.00% | Actor Loss: -278.3952 | Entropy: 3.6478
Epoch [37/1500] | Sampled: 1179.50 | Baseline: 1091.25 | Improvement: -88.25 | Win Rate: 0.00% | Actor Loss: -460.0234 | Entropy: 3.7156
Epoch [38/1500] | Sampled: 1143.50 | Baseline: 974.75 | Improvement: -168.75 | Win Rate: 50.00% | Actor Loss: -657.9857 | Entropy: 3.7511
Epoch [39/1500] | Sampled: 900.50 | Baseline: 902.50 | Improvement: 2.00 | Win Rate: 50.00% | Actor Loss: 34.5019 | Entropy: 3.4756
Epoch [40/1500] | Sampled: 988.50 | Baseline: 1130.00 | Improvement: 141.50 | Win Rate: 50.00% | Actor Loss: 520.4031 | Entropy: 3.5615
Epoch [41/1500] | Sampled: 1179.75 | Baseline: 1243.75 | Improvement: 64.00 | Win Rate: 50.00% | Actor Loss: 622.2540 | Entropy: 3.7360
Epoch [42/1500] | Sampled: 1063.75 | Baseline: 1033.25 | Improvement: -30.50 | Win Rate: 50.00% | Actor Loss: -159.3047 | Entropy: 3.5583
Epoch [43/1500] | Sampled: 1247.25 | Baseline: 1324.00 | Improvement: 76.75 | Win Rate: 75.00% | Actor Loss: 551.1727 | Entropy: 3.8526
Epoch [44/1500] | Sampled: 642.50 | Baseline: 613.25 | Improvement: -29.25 | Win Rate: 25.00% | Actor Loss: -316.6988 | Entropy: 3.1950
Epoch [45/1500] | Sampled: 836.75 | Baseline: 915.75 | Improvement: 79.00 | Win Rate: 75.00% | Actor Loss: 442.5037 | Entropy: 3.4458
Epoch [46/1500] | Sampled: 1079.00 | Baseline: 961.25 | Improvement: -117.75 | Win Rate: 25.00% | Actor Loss: -825.0972 | Entropy: 3.6467
Epoch [47/1500] | Sampled: 1066.00 | Baseline: 1049.25 | Improvement: -16.75 | Win Rate: 25.00% | Actor Loss: 28.5989 | Entropy: 3.5011
Epoch [48/1500] | Sampled: 975.25 | Baseline: 992.50 | Improvement: 17.25 | Win Rate: 50.00% | Actor Loss: -178.6172 | Entropy: 3.5408
Epoch [49/1500] | Sampled: 972.50 | Baseline: 1038.25 | Improvement: 65.75 | Win Rate: 75.00% | Actor Loss: 721.8901 | Entropy: 3.5103
Epoch [50/1500] | Sampled: 1227.25 | Baseline: 1302.00 | Improvement: 74.75 | Win Rate: 75.00% | Actor Loss: 719.2755 | Entropy: 3.7460
Epoch [51/1500] | Sampled: 984.00 | Baseline: 891.00 | Improvement: -93.00 | Win Rate: 0.00% | Actor Loss: 197.5716 | Entropy: 3.3744
Epoch [52/1500] | Sampled: 597.25 | Baseline: 621.25 | Improvement: 24.00 | Win Rate: 50.00% | Actor Loss: 341.6578 | Entropy: 3.0953
Epoch [53/1500] | Sampled: 866.25 | Baseline: 951.25 | Improvement: 85.00 | Win Rate: 75.00% | Actor Loss: 478.3345 | Entropy: 3.3106
Epoch [54/1500] | Sampled: 992.00 | Baseline: 1083.50 | Improvement: 91.50 | Win Rate: 50.00% | Actor Loss: 295.4626 | Entropy: 3.4916
Epoch [55/1500] | Sampled: 1009.00 | Baseline: 858.25 | Improvement: -150.75 | Win Rate: 25.00% | Actor Loss: -721.4710 | Entropy: 3.3632
Epoch [56/1500] | Sampled: 1028.50 | Baseline: 893.50 | Improvement: -135.00 | Win Rate: 0.00% | Actor Loss: -531.0414 | Entropy: 3.4774
Epoch [57/1500] | Sampled: 1099.25 | Baseline: 1036.00 | Improvement: -63.25 | Win Rate: 25.00% | Actor Loss: -377.0430 | Entropy: 3.4970
Epoch [58/1500] | Sampled: 1073.25 | Baseline: 1019.50 | Improvement: -53.75 | Win Rate: 50.00% | Actor Loss: -338.6918 | Entropy: 3.4530
Epoch [59/1500] | Sampled: 1082.25 | Baseline: 980.75 | Improvement: -101.50 | Win Rate: 25.00% | Actor Loss: 265.9729 | Entropy: 3.4477
Epoch [60/1500] | Sampled: 1174.75 | Baseline: 1229.25 | Improvement: 54.50 | Win Rate: 75.00% | Actor Loss: 388.3155 | Entropy: 3.5403
Epoch [61/1500] | Sampled: 752.00 | Baseline: 640.25 | Improvement: -111.75 | Win Rate: 25.00% | Actor Loss: -387.2578 | Entropy: 3.1318
Epoch [62/1500] | Sampled: 1154.75 | Baseline: 987.00 | Improvement: -167.75 | Win Rate: 0.00% | Actor Loss: 91.5628 | Entropy: 3.4737
Epoch [63/1500] | Sampled: 1407.00 | Baseline: 1444.25 | Improvement: 37.25 | Win Rate: 50.00% | Actor Loss: 793.3240 | Entropy: 3.8621
Epoch [64/1500] | Sampled: 877.50 | Baseline: 885.25 | Improvement: 7.75 | Win Rate: 75.00% | Actor Loss: 274.6823 | Entropy: 3.4304
Epoch [65/1500] | Sampled: 928.25 | Baseline: 694.50 | Improvement: -233.75 | Win Rate: 0.00% | Actor Loss: -487.2806 | Entropy: 3.2931
Epoch [66/1500] | Sampled: 1196.25 | Baseline: 1142.25 | Improvement: -54.00 | Win Rate: 50.00% | Actor Loss: 387.5369 | Entropy: 3.6485
Epoch [67/1500] | Sampled: 1065.75 | Baseline: 981.25 | Improvement: -84.50 | Win Rate: 50.00% | Actor Loss: -322.2835 | Entropy: 3.5516
Epoch [68/1500] | Sampled: 1264.75 | Baseline: 1319.00 | Improvement: 54.25 | Win Rate: 75.00% | Actor Loss: 243.8560 | Entropy: 3.9029
Epoch [69/1500] | Sampled: 1290.25 | Baseline: 1167.25 | Improvement: -123.00 | Win Rate: 25.00% | Actor Loss: -656.5408 | Entropy: 3.8573
Epoch [70/1500] | Sampled: 996.25 | Baseline: 1093.50 | Improvement: 97.25 | Win Rate: 75.00% | Actor Loss: 389.9757 | Entropy: 3.6714
Epoch [71/1500] | Sampled: 1080.25 | Baseline: 921.75 | Improvement: -158.50 | Win Rate: 25.00% | Actor Loss: -405.2988 | Entropy: 3.5357
Epoch [72/1500] | Sampled: 1231.00 | Baseline: 1070.50 | Improvement: -160.50 | Win Rate: 0.00% | Actor Loss: -667.7463 | Entropy: 3.7756
