Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1500] | Sampled: 1437.50 | Baseline: 930.25 | Improvement: -507.25 | Win Rate: 0.00% | Actor Loss: -1358.6018 | Entropy: 3.7732
   -> Saved new best model (Makespan: 1437.50)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/1500] | Sampled: 962.50 | Baseline: 1003.25 | Improvement: 40.75 | Win Rate: 50.00% | Actor Loss: 145.3475 | Entropy: 3.7680
   -> Saved new best model (Makespan: 962.50)
Epoch [3/1500] | Sampled: 914.25 | Baseline: 798.25 | Improvement: -116.00 | Win Rate: 50.00% | Actor Loss: -686.4725 | Entropy: 3.6042
   -> Saved new best model (Makespan: 914.25)
Epoch [4/1500] | Sampled: 1139.75 | Baseline: 1098.75 | Improvement: -41.00 | Win Rate: 25.00% | Actor Loss: -124.0237 | Entropy: 3.7507
Epoch [5/1500] | Sampled: 466.00 | Baseline: 516.00 | Improvement: 50.00 | Win Rate: 50.00% | Actor Loss: 198.9501 | Entropy: 3.1616
   -> Saved new best model (Makespan: 466.00)
Epoch [6/1500] | Sampled: 1067.25 | Baseline: 1176.00 | Improvement: 108.75 | Win Rate: 75.00% | Actor Loss: 766.3684 | Entropy: 3.8008
Epoch [7/1500] | Sampled: 1043.25 | Baseline: 1084.50 | Improvement: 41.25 | Win Rate: 75.00% | Actor Loss: 126.6913 | Entropy: 3.6584
Epoch [8/1500] | Sampled: 1229.50 | Baseline: 1298.50 | Improvement: 69.00 | Win Rate: 50.00% | Actor Loss: 102.0287 | Entropy: 3.9858
Epoch [9/1500] | Sampled: 1109.00 | Baseline: 965.50 | Improvement: -143.50 | Win Rate: 50.00% | Actor Loss: -514.7941 | Entropy: 3.7178
Epoch [10/1500] | Sampled: 978.00 | Baseline: 873.25 | Improvement: -104.75 | Win Rate: 25.00% | Actor Loss: -333.5101 | Entropy: 3.5569
