Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1500] | Sampled: 1305.00 | Baseline: 930.25 | Improvement: -374.75 | Win Rate: 0.00% | Job Loss: -917.0590 | AMR Loss: -419.8552 | Entropy: 3.7900
   -> Saved new best model (Makespan: 1305.00)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/1500] | Sampled: 1062.50 | Baseline: 1003.25 | Improvement: -59.25 | Win Rate: 50.00% | Job Loss: -145.0959 | AMR Loss: -84.3489 | Entropy: 3.7686
   -> Saved new best model (Makespan: 1062.50)
Epoch [3/1500] | Sampled: 1005.75 | Baseline: 798.25 | Improvement: -207.50 | Win Rate: 25.00% | Job Loss: -620.4539 | AMR Loss: -227.7859 | Entropy: 3.5246
   -> Saved new best model (Makespan: 1005.75)
Epoch [4/1500] | Sampled: 1233.75 | Baseline: 1098.75 | Improvement: -135.00 | Win Rate: 50.00% | Job Loss: -678.1096 | AMR Loss: -157.3058 | Entropy: 3.5953
Epoch [5/1500] | Sampled: 490.25 | Baseline: 516.00 | Improvement: 25.75 | Win Rate: 75.00% | Job Loss: 1.1926 | AMR Loss: 39.3221 | Entropy: 2.8278
   -> Saved new best model (Makespan: 490.25)
Epoch [6/1500] | Sampled: 1470.25 | Baseline: 1176.00 | Improvement: -294.25 | Win Rate: 0.00% | Job Loss: -98.7107 | AMR Loss: -275.4120 | Entropy: 3.3246
Epoch [7/1500] | Sampled: 1243.00 | Baseline: 1084.50 | Improvement: -158.50 | Win Rate: 50.00% | Job Loss: -288.4719 | AMR Loss: -216.9937 | Entropy: 3.1511
Epoch [8/1500] | Sampled: 1585.00 | Baseline: 1298.50 | Improvement: -286.50 | Win Rate: 0.00% | Job Loss: -1054.8106 | AMR Loss: -362.6996 | Entropy: 3.4546
Epoch [9/1500] | Sampled: 1276.75 | Baseline: 965.50 | Improvement: -311.25 | Win Rate: 0.00% | Job Loss: -245.4393 | AMR Loss: -383.2809 | Entropy: 3.2011
Epoch [10/1500] | Sampled: 1093.25 | Baseline: 873.25 | Improvement: -220.00 | Win Rate: 0.00% | Job Loss: 52.8352 | AMR Loss: -185.6120 | Entropy: 2.9716
Epoch [11/1500] | Sampled: 1436.75 | Baseline: 1071.25 | Improvement: -365.50 | Win Rate: 25.00% | Job Loss: -991.3135 | AMR Loss: -479.6337 | Entropy: 3.2796
Epoch [12/1500] | Sampled: 860.25 | Baseline: 784.00 | Improvement: -76.25 | Win Rate: 25.00% | Job Loss: 49.5123 | AMR Loss: -79.3033 | Entropy: 2.8858
Epoch [13/1500] | Sampled: 1051.25 | Baseline: 947.50 | Improvement: -103.75 | Win Rate: 50.00% | Job Loss: -52.1200 | AMR Loss: -159.9463 | Entropy: 3.0928
Epoch [14/1500] | Sampled: 1266.50 | Baseline: 1087.25 | Improvement: -179.25 | Win Rate: 25.00% | Job Loss: -246.9301 | AMR Loss: -196.0019 | Entropy: 3.3479
Epoch [15/1500] | Sampled: 652.75 | Baseline: 639.75 | Improvement: -13.00 | Win Rate: 75.00% | Job Loss: -339.2077 | AMR Loss: -42.8285 | Entropy: 2.8642
Epoch [16/1500] | Sampled: 1305.50 | Baseline: 1162.50 | Improvement: -143.00 | Win Rate: 50.00% | Job Loss: -368.1806 | AMR Loss: -114.2969 | Entropy: 3.5435
