Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/1500] | Sampled: 1305.00 | Baseline: 930.25 | Improvement: -374.75 | Win Rate: 0.00% | Job Loss: -939.8893 | AMR Loss: -395.6034 | Entropy: 3.7896
   -> Saved new best model (Makespan: 1305.00)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/1500] | Sampled: 979.50 | Baseline: 1003.25 | Improvement: 23.75 | Win Rate: 50.00% | Job Loss: 270.3564 | AMR Loss: -21.7945 | Entropy: 3.7366
   -> Saved new best model (Makespan: 979.50)
Epoch [3/1500] | Sampled: 1032.25 | Baseline: 798.25 | Improvement: -234.00 | Win Rate: 25.00% | Job Loss: -745.4296 | AMR Loss: -338.7489 | Entropy: 3.5951
Epoch [4/1500] | Sampled: 1140.00 | Baseline: 1098.75 | Improvement: -41.25 | Win Rate: 50.00% | Job Loss: 112.6370 | AMR Loss: 55.3181 | Entropy: 3.7169
Epoch [5/1500] | Sampled: 540.75 | Baseline: 516.00 | Improvement: -24.75 | Win Rate: 50.00% | Job Loss: -37.8766 | AMR Loss: -36.2689 | Entropy: 3.1593
   -> Saved new best model (Makespan: 540.75)
Epoch [6/1500] | Sampled: 1077.50 | Baseline: 1176.00 | Improvement: 98.50 | Win Rate: 100.00% | Job Loss: 331.3357 | AMR Loss: 277.9873 | Entropy: 3.8389
Epoch [7/1500] | Sampled: 1050.75 | Baseline: 1084.50 | Improvement: 33.75 | Win Rate: 50.00% | Job Loss: 168.5697 | AMR Loss: 32.8843 | Entropy: 3.6632
Epoch [8/1500] | Sampled: 1261.25 | Baseline: 1298.50 | Improvement: 37.25 | Win Rate: 50.00% | Job Loss: -93.3926 | AMR Loss: 57.8494 | Entropy: 3.9696
Epoch [9/1500] | Sampled: 1002.00 | Baseline: 965.50 | Improvement: -36.50 | Win Rate: 25.00% | Job Loss: -33.8826 | AMR Loss: -39.8464 | Entropy: 3.6780
Epoch [10/1500] | Sampled: 825.75 | Baseline: 873.25 | Improvement: 47.50 | Win Rate: 50.00% | Job Loss: 80.9197 | AMR Loss: 187.1807 | Entropy: 3.5095
Epoch [11/1500] | Sampled: 1135.50 | Baseline: 1071.25 | Improvement: -64.25 | Win Rate: 25.00% | Job Loss: -43.0945 | AMR Loss: -216.2500 | Entropy: 3.8306
Epoch [12/1500] | Sampled: 761.75 | Baseline: 784.00 | Improvement: 22.25 | Win Rate: 75.00% | Job Loss: 23.8455 | AMR Loss: -110.9855 | Entropy: 3.3505
Epoch [13/1500] | Sampled: 883.00 | Baseline: 947.50 | Improvement: 64.50 | Win Rate: 50.00% | Job Loss: -14.1025 | AMR Loss: 101.4836 | Entropy: 3.6307
Epoch [14/1500] | Sampled: 1062.25 | Baseline: 1087.25 | Improvement: 25.00 | Win Rate: 75.00% | Job Loss: -55.6242 | AMR Loss: -212.8814 | Entropy: 3.7975
Epoch [15/1500] | Sampled: 578.00 | Baseline: 639.75 | Improvement: 61.75 | Win Rate: 50.00% | Job Loss: -6.6771 | AMR Loss: 13.6866 | Entropy: 3.2713
Epoch [16/1500] | Sampled: 1111.75 | Baseline: 1162.50 | Improvement: 50.75 | Win Rate: 50.00% | Job Loss: 42.1999 | AMR Loss: 77.0980 | Entropy: 3.7534
Epoch [17/1500] | Sampled: 1112.75 | Baseline: 1184.00 | Improvement: 71.25 | Win Rate: 75.00% | Job Loss: 380.8988 | AMR Loss: -127.3306 | Entropy: 3.7054
Epoch [18/1500] | Sampled: 601.75 | Baseline: 632.75 | Improvement: 31.00 | Win Rate: 75.00% | Job Loss: 39.0240 | AMR Loss: -22.8865 | Entropy: 3.1281
Epoch [19/1500] | Sampled: 1032.75 | Baseline: 1313.50 | Improvement: 280.75 | Win Rate: 100.00% | Job Loss: 1258.1269 | AMR Loss: 145.3337 | Entropy: 3.6261
Epoch [20/1500] | Sampled: 645.50 | Baseline: 638.75 | Improvement: -6.75 | Win Rate: 75.00% | Job Loss: 69.7185 | AMR Loss: -40.3378 | Entropy: 3.0972
Epoch [21/1500] | Sampled: 687.25 | Baseline: 752.50 | Improvement: 65.25 | Win Rate: 25.00% | Job Loss: 556.5239 | AMR Loss: 177.2780 | Entropy: 3.2778
Epoch [22/1500] | Sampled: 814.25 | Baseline: 858.25 | Improvement: 44.00 | Win Rate: 50.00% | Job Loss: -135.9306 | AMR Loss: -176.0713 | Entropy: 3.4030
Epoch [23/1500] | Sampled: 1083.00 | Baseline: 1047.00 | Improvement: -36.00 | Win Rate: 25.00% | Job Loss: -131.6978 | AMR Loss: -621.4790 | Entropy: 3.6569
Epoch [24/1500] | Sampled: 546.00 | Baseline: 570.75 | Improvement: 24.75 | Win Rate: 75.00% | Job Loss: -165.0079 | AMR Loss: -37.1540 | Entropy: 3.1740
Epoch [25/1500] | Sampled: 758.75 | Baseline: 916.50 | Improvement: 157.75 | Win Rate: 100.00% | Job Loss: 364.1915 | AMR Loss: -87.7123 | Entropy: 3.4273
Epoch [26/1500] | Sampled: 963.75 | Baseline: 1304.75 | Improvement: 341.00 | Win Rate: 100.00% | Job Loss: 683.7809 | AMR Loss: 157.0900 | Entropy: 3.6660
Epoch [27/1500] | Sampled: 1114.25 | Baseline: 1317.00 | Improvement: 202.75 | Win Rate: 75.00% | Job Loss: 300.1000 | AMR Loss: -3.6755 | Entropy: 3.7881
Epoch [28/1500] | Sampled: 1026.75 | Baseline: 1027.75 | Improvement: 1.00 | Win Rate: 75.00% | Job Loss: -170.7215 | AMR Loss: -12.3178 | Entropy: 3.6025
Epoch [29/1500] | Sampled: 991.25 | Baseline: 1120.25 | Improvement: 129.00 | Win Rate: 75.00% | Job Loss: 579.6314 | AMR Loss: 284.8918 | Entropy: 3.6097
Epoch [30/1500] | Sampled: 690.50 | Baseline: 956.75 | Improvement: 266.25 | Win Rate: 100.00% | Job Loss: 460.3239 | AMR Loss: 323.1080 | Entropy: 3.3171
Epoch [31/1500] | Sampled: 837.50 | Baseline: 1003.75 | Improvement: 166.25 | Win Rate: 100.00% | Job Loss: 455.5014 | AMR Loss: 82.3787 | Entropy: 3.2490
Epoch [32/1500] | Sampled: 617.50 | Baseline: 722.75 | Improvement: 105.25 | Win Rate: 75.00% | Job Loss: 288.5299 | AMR Loss: 150.9490 | Entropy: 2.9844
Epoch [33/1500] | Sampled: 1038.00 | Baseline: 1174.00 | Improvement: 136.00 | Win Rate: 75.00% | Job Loss: 252.9604 | AMR Loss: 30.7563 | Entropy: 3.4826
Epoch [34/1500] | Sampled: 1171.00 | Baseline: 1431.50 | Improvement: 260.50 | Win Rate: 100.00% | Job Loss: 279.9035 | AMR Loss: 282.0251 | Entropy: 3.4408
Epoch [35/1500] | Sampled: 641.25 | Baseline: 673.25 | Improvement: 32.00 | Win Rate: 75.00% | Job Loss: -268.4478 | AMR Loss: 61.8206 | Entropy: 2.8754
Epoch [36/1500] | Sampled: 856.50 | Baseline: 1044.50 | Improvement: 188.00 | Win Rate: 75.00% | Job Loss: 788.4251 | AMR Loss: 303.6003 | Entropy: 3.1212
Epoch [37/1500] | Sampled: 958.50 | Baseline: 1091.25 | Improvement: 132.75 | Win Rate: 100.00% | Job Loss: 868.5521 | AMR Loss: 494.6774 | Entropy: 3.1412
Epoch [38/1500] | Sampled: 913.50 | Baseline: 974.75 | Improvement: 61.25 | Win Rate: 50.00% | Job Loss: 117.6068 | AMR Loss: 274.8877 | Entropy: 3.2157
Epoch [39/1500] | Sampled: 801.00 | Baseline: 902.50 | Improvement: 101.50 | Win Rate: 50.00% | Job Loss: -30.5252 | AMR Loss: -114.3388 | Entropy: 2.8382
Epoch [40/1500] | Sampled: 920.25 | Baseline: 1130.00 | Improvement: 209.75 | Win Rate: 100.00% | Job Loss: 634.1183 | AMR Loss: -50.6812 | Entropy: 2.9954
Epoch [41/1500] | Sampled: 947.75 | Baseline: 1243.75 | Improvement: 296.00 | Win Rate: 75.00% | Job Loss: 906.0833 | AMR Loss: 641.8188 | Entropy: 3.1285
Epoch [42/1500] | Sampled: 930.25 | Baseline: 1033.25 | Improvement: 103.00 | Win Rate: 75.00% | Job Loss: 975.7301 | AMR Loss: -256.3555 | Entropy: 2.9425
Epoch [43/1500] | Sampled: 1065.50 | Baseline: 1324.00 | Improvement: 258.50 | Win Rate: 100.00% | Job Loss: 245.0066 | AMR Loss: 453.8425 | Entropy: 3.2901
Epoch [44/1500] | Sampled: 591.00 | Baseline: 613.25 | Improvement: 22.25 | Win Rate: 75.00% | Job Loss: -5.9784 | AMR Loss: -352.5689 | Entropy: 2.6991
Epoch [45/1500] | Sampled: 746.25 | Baseline: 915.75 | Improvement: 169.50 | Win Rate: 75.00% | Job Loss: 206.0983 | AMR Loss: -156.6775 | Entropy: 2.7197
Epoch [46/1500] | Sampled: 972.50 | Baseline: 961.25 | Improvement: -11.25 | Win Rate: 75.00% | Job Loss: 63.7658 | AMR Loss: -14.4332 | Entropy: 2.9642
Epoch [47/1500] | Sampled: 942.50 | Baseline: 1049.25 | Improvement: 106.75 | Win Rate: 75.00% | Job Loss: -299.4085 | AMR Loss: 740.7483 | Entropy: 2.8788
Epoch [48/1500] | Sampled: 859.25 | Baseline: 992.50 | Improvement: 133.25 | Win Rate: 100.00% | Job Loss: 430.3339 | AMR Loss: -89.2608 | Entropy: 2.9873
Epoch [49/1500] | Sampled: 763.50 | Baseline: 1038.25 | Improvement: 274.75 | Win Rate: 100.00% | Job Loss: 663.2885 | AMR Loss: 35.0331 | Entropy: 2.9461
Epoch [50/1500] | Sampled: 1116.75 | Baseline: 1302.00 | Improvement: 185.25 | Win Rate: 75.00% | Job Loss: 72.0342 | AMR Loss: 287.9448 | Entropy: 3.1880
Epoch [51/1500] | Sampled: 738.50 | Baseline: 891.00 | Improvement: 152.50 | Win Rate: 50.00% | Job Loss: 491.0592 | AMR Loss: 194.0696 | Entropy: 2.8358
Epoch [52/1500] | Sampled: 577.50 | Baseline: 621.25 | Improvement: 43.75 | Win Rate: 50.00% | Job Loss: 92.0669 | AMR Loss: 15.8732 | Entropy: 2.6045
Epoch [53/1500] | Sampled: 716.00 | Baseline: 951.25 | Improvement: 235.25 | Win Rate: 75.00% | Job Loss: 382.9496 | AMR Loss: 225.5174 | Entropy: 2.7416
Epoch [54/1500] | Sampled: 858.25 | Baseline: 1083.50 | Improvement: 225.25 | Win Rate: 75.00% | Job Loss: 570.7215 | AMR Loss: -64.3393 | Entropy: 2.8713
