Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 778.38 | Improvement: -321.69 | Win Rate: 0.00% | Job Loss: 5.1102 | AMR Loss: -0.2459 | Entropy: 4.1292
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/2000] | Sampled: 1319.38 | Baseline: 852.19 | Improvement: -467.19 | Win Rate: 0.00% | Job Loss: 5.9210 | AMR Loss: -2.1794 | Entropy: 4.2141
Epoch [3/2000] | Sampled: 1253.31 | Baseline: 747.19 | Improvement: -506.12 | Win Rate: 0.00% | Job Loss: 8.7680 | AMR Loss: -3.3856 | Entropy: 3.9150
Epoch [4/2000] | Sampled: 1611.38 | Baseline: 779.31 | Improvement: -832.06 | Win Rate: 0.00% | Job Loss: 7.8560 | AMR Loss: 3.3063 | Entropy: 3.7332
Epoch [5/2000] | Sampled: 1461.69 | Baseline: 713.00 | Improvement: -748.69 | Win Rate: 0.00% | Job Loss: 9.0435 | AMR Loss: 4.8713 | Entropy: 3.5624
Epoch [6/2000] | Sampled: 1460.06 | Baseline: 658.94 | Improvement: -801.12 | Win Rate: 0.00% | Job Loss: 5.8689 | AMR Loss: 1.5509 | Entropy: 3.3609
Epoch [7/2000] | Sampled: 1821.12 | Baseline: 712.94 | Improvement: -1108.19 | Win Rate: 0.00% | Job Loss: 3.0088 | AMR Loss: 5.2649 | Entropy: 3.2447
Epoch [8/2000] | Sampled: 1797.00 | Baseline: 685.38 | Improvement: -1111.62 | Win Rate: 0.00% | Job Loss: 7.0590 | AMR Loss: 5.1503 | Entropy: 3.0224
Epoch [9/2000] | Sampled: 1986.06 | Baseline: 723.88 | Improvement: -1262.19 | Win Rate: 0.00% | Job Loss: 0.9893 | AMR Loss: 5.0372 | Entropy: 2.8141
Epoch [10/2000] | Sampled: 2017.62 | Baseline: 742.19 | Improvement: -1275.44 | Win Rate: 0.00% | Job Loss: 3.3937 | AMR Loss: 3.5960 | Entropy: 2.7288
