Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 778.38 | Improvement: -321.69 | Win Rate: 0.00% | Job Loss: 5.0606 | AMR Loss: -0.1585 | Entropy: 4.1298
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/2000] | Sampled: 1295.38 | Baseline: 852.19 | Improvement: -443.19 | Win Rate: 0.00% | Job Loss: 4.5759 | AMR Loss: -0.8881 | Entropy: 4.2386
Epoch [3/2000] | Sampled: 1202.56 | Baseline: 747.19 | Improvement: -455.38 | Win Rate: 0.00% | Job Loss: 4.7973 | AMR Loss: -1.7492 | Entropy: 3.9606
Epoch [4/2000] | Sampled: 1511.12 | Baseline: 779.31 | Improvement: -731.81 | Win Rate: 0.00% | Job Loss: 5.5898 | AMR Loss: -0.0110 | Entropy: 3.7432
Epoch [5/2000] | Sampled: 1382.75 | Baseline: 713.00 | Improvement: -669.75 | Win Rate: 0.00% | Job Loss: 9.4303 | AMR Loss: 3.0714 | Entropy: 3.6495
Epoch [6/2000] | Sampled: 1589.38 | Baseline: 658.94 | Improvement: -930.44 | Win Rate: 0.00% | Job Loss: 5.2309 | AMR Loss: 2.6190 | Entropy: 3.4151
Epoch [7/2000] | Sampled: 1814.12 | Baseline: 712.94 | Improvement: -1101.19 | Win Rate: 0.00% | Job Loss: 7.4722 | AMR Loss: 5.3519 | Entropy: 3.3290
Epoch [8/2000] | Sampled: 1847.06 | Baseline: 685.38 | Improvement: -1161.69 | Win Rate: 0.00% | Job Loss: 5.9926 | AMR Loss: 4.1766 | Entropy: 3.1824
Epoch [9/2000] | Sampled: 2017.56 | Baseline: 723.88 | Improvement: -1293.69 | Win Rate: 0.00% | Job Loss: -0.9631 | AMR Loss: 3.4803 | Entropy: 3.1072
Epoch [10/2000] | Sampled: 2010.25 | Baseline: 742.19 | Improvement: -1268.06 | Win Rate: 0.00% | Job Loss: 3.9347 | AMR Loss: 3.8806 | Entropy: 3.0344
Epoch [11/2000] | Sampled: 2160.81 | Baseline: 760.94 | Improvement: -1399.88 | Win Rate: 0.00% | Job Loss: 5.3237 | AMR Loss: 1.7726 | Entropy: 2.7189
Epoch [12/2000] | Sampled: 2086.81 | Baseline: 761.31 | Improvement: -1325.50 | Win Rate: 0.00% | Job Loss: 4.7338 | AMR Loss: 3.8056 | Entropy: 2.5472
Epoch [13/2000] | Sampled: 2152.75 | Baseline: 752.06 | Improvement: -1400.69 | Win Rate: 0.00% | Job Loss: 3.6603 | AMR Loss: 2.4046 | Entropy: 2.3824
Epoch [14/2000] | Sampled: 2016.88 | Baseline: 716.12 | Improvement: -1300.75 | Win Rate: 0.00% | Job Loss: -0.0553 | AMR Loss: 2.2797 | Entropy: 2.2052
Epoch [15/2000] | Sampled: 2310.94 | Baseline: 807.75 | Improvement: -1503.19 | Win Rate: 0.00% | Job Loss: -5.4364 | AMR Loss: 1.6908 | Entropy: 2.0474
Epoch [16/2000] | Sampled: 2109.75 | Baseline: 743.25 | Improvement: -1366.50 | Win Rate: 0.00% | Job Loss: -6.1149 | AMR Loss: 2.3462 | Entropy: 1.8834
Epoch [17/2000] | Sampled: 2075.94 | Baseline: 726.25 | Improvement: -1349.69 | Win Rate: 0.00% | Job Loss: -6.7922 | AMR Loss: 1.7045 | Entropy: 1.7718
Epoch [18/2000] | Sampled: 2126.69 | Baseline: 752.56 | Improvement: -1374.12 | Win Rate: 0.00% | Job Loss: -7.0273 | AMR Loss: 1.1583 | Entropy: 1.7761
Epoch [19/2000] | Sampled: 2177.06 | Baseline: 758.31 | Improvement: -1418.75 | Win Rate: 0.00% | Job Loss: -10.0706 | AMR Loss: 1.1846 | Entropy: 1.7811
Epoch [20/2000] | Sampled: 2326.19 | Baseline: 820.00 | Improvement: -1506.19 | Win Rate: 0.00% | Job Loss: -13.2064 | AMR Loss: 1.2060 | Entropy: 1.8567
Epoch [21/2000] | Sampled: 2067.06 | Baseline: 717.44 | Improvement: -1349.62 | Win Rate: 0.00% | Job Loss: -10.4562 | AMR Loss: 1.0851 | Entropy: 1.6636
Epoch [22/2000] | Sampled: 2234.88 | Baseline: 780.31 | Improvement: -1454.56 | Win Rate: 0.00% | Job Loss: -8.9578 | AMR Loss: 1.1616 | Entropy: 1.6861
Epoch [23/2000] | Sampled: 1746.25 | Baseline: 613.75 | Improvement: -1132.50 | Win Rate: 0.00% | Job Loss: -0.6607 | AMR Loss: 1.3967 | Entropy: 1.6302
Epoch [24/2000] | Sampled: 1997.88 | Baseline: 707.00 | Improvement: -1290.88 | Win Rate: 0.00% | Job Loss: -3.5970 | AMR Loss: 2.2009 | Entropy: 2.3061
Epoch [25/2000] | Sampled: 2272.12 | Baseline: 782.69 | Improvement: -1489.44 | Win Rate: 0.00% | Job Loss: -0.8805 | AMR Loss: 1.1125 | Entropy: 2.2889
Epoch [26/2000] | Sampled: 2544.62 | Baseline: 882.19 | Improvement: -1662.44 | Win Rate: 0.00% | Job Loss: -2.6210 | AMR Loss: 0.9743 | Entropy: 2.1691
Epoch [27/2000] | Sampled: 2047.19 | Baseline: 709.88 | Improvement: -1337.31 | Win Rate: 0.00% | Job Loss: 0.5667 | AMR Loss: 0.5873 | Entropy: 1.6367
Epoch [28/2000] | Sampled: 2213.88 | Baseline: 757.31 | Improvement: -1456.56 | Win Rate: 0.00% | Job Loss: 0.4618 | AMR Loss: 0.4277 | Entropy: 1.6324
Epoch [29/2000] | Sampled: 2341.50 | Baseline: 806.88 | Improvement: -1534.62 | Win Rate: 0.00% | Job Loss: 3.2065 | AMR Loss: 0.7858 | Entropy: 1.6348
Epoch [30/2000] | Sampled: 1879.12 | Baseline: 646.75 | Improvement: -1232.38 | Win Rate: 0.00% | Job Loss: 1.3524 | AMR Loss: 1.0234 | Entropy: 1.4101
Epoch [31/2000] | Sampled: 1842.38 | Baseline: 637.81 | Improvement: -1204.56 | Win Rate: 0.00% | Job Loss: 3.6347 | AMR Loss: 1.1342 | Entropy: 1.3710
Epoch [32/2000] | Sampled: 1951.44 | Baseline: 679.38 | Improvement: -1272.06 | Win Rate: 0.00% | Job Loss: 0.7347 | AMR Loss: 1.0782 | Entropy: 1.4603
Epoch [33/2000] | Sampled: 2283.25 | Baseline: 796.44 | Improvement: -1486.81 | Win Rate: 0.00% | Job Loss: -2.5335 | AMR Loss: 0.7358 | Entropy: 1.5797
Epoch [34/2000] | Sampled: 2251.44 | Baseline: 771.62 | Improvement: -1479.81 | Win Rate: 0.00% | Job Loss: -12.2729 | AMR Loss: 0.5320 | Entropy: 1.6000
Epoch [35/2000] | Sampled: 2383.00 | Baseline: 808.50 | Improvement: -1574.50 | Win Rate: 0.00% | Job Loss: -12.2796 | AMR Loss: 0.5303 | Entropy: 1.6556
Epoch [36/2000] | Sampled: 1492.88 | Baseline: 519.00 | Improvement: -973.88 | Win Rate: 0.00% | Job Loss: -7.7639 | AMR Loss: 0.8601 | Entropy: 1.3434
Epoch [37/2000] | Sampled: 1860.38 | Baseline: 643.81 | Improvement: -1216.56 | Win Rate: 0.00% | Job Loss: -12.9120 | AMR Loss: 0.8948 | Entropy: 1.4880
Epoch [38/2000] | Sampled: 2459.88 | Baseline: 842.62 | Improvement: -1617.25 | Win Rate: 0.00% | Job Loss: -11.7746 | AMR Loss: 0.5879 | Entropy: 1.6942
Epoch [39/2000] | Sampled: 2269.31 | Baseline: 782.81 | Improvement: -1486.50 | Win Rate: 0.00% | Job Loss: -14.5992 | AMR Loss: 0.5855 | Entropy: 1.6502
Epoch [40/2000] | Sampled: 2389.75 | Baseline: 844.69 | Improvement: -1545.06 | Win Rate: 0.00% | Job Loss: -13.2811 | AMR Loss: 0.4639 | Entropy: 1.6837
Epoch [41/2000] | Sampled: 2309.00 | Baseline: 801.38 | Improvement: -1507.62 | Win Rate: 0.00% | Job Loss: -11.9919 | AMR Loss: 1.2052 | Entropy: 1.6024
Epoch [42/2000] | Sampled: 2055.69 | Baseline: 712.44 | Improvement: -1343.25 | Win Rate: 0.00% | Job Loss: -7.2166 | AMR Loss: 0.3675 | Entropy: 1.4723
Epoch [43/2000] | Sampled: 2329.06 | Baseline: 808.38 | Improvement: -1520.69 | Win Rate: 0.00% | Job Loss: -3.8259 | AMR Loss: 0.5169 | Entropy: 1.5800
Epoch [44/2000] | Sampled: 2399.31 | Baseline: 828.19 | Improvement: -1571.12 | Win Rate: 0.00% | Job Loss: -0.6158 | AMR Loss: 0.2043 | Entropy: 1.6081
Epoch [45/2000] | Sampled: 2080.88 | Baseline: 717.38 | Improvement: -1363.50 | Win Rate: 0.00% | Job Loss: -3.0922 | AMR Loss: 0.5574 | Entropy: 1.5320
Epoch [46/2000] | Sampled: 2068.25 | Baseline: 701.50 | Improvement: -1366.75 | Win Rate: 0.00% | Job Loss: -6.7746 | AMR Loss: 0.1821 | Entropy: 1.5611
Epoch [47/2000] | Sampled: 2251.69 | Baseline: 771.81 | Improvement: -1479.88 | Win Rate: 0.00% | Job Loss: -4.1991 | AMR Loss: 0.7763 | Entropy: 1.6038
Epoch [48/2000] | Sampled: 2045.75 | Baseline: 711.50 | Improvement: -1334.25 | Win Rate: 0.00% | Job Loss: -4.1196 | AMR Loss: 0.5502 | Entropy: 1.5515
Epoch [49/2000] | Sampled: 1888.00 | Baseline: 650.50 | Improvement: -1237.50 | Win Rate: 0.00% | Job Loss: 0.4720 | AMR Loss: 1.0446 | Entropy: 1.4988
Traceback (most recent call last):
  File "/home/wei/AMR-DFJSP/Static_alogorithm/GNN/train_gnn.py", line 609, in <module>
    
