Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1178.62 | Baseline: 723.00 | Improvement: -455.62 | Win Rate: 0.00% | Actor Loss: 7.1000 | Entropy: 4.1128
   -> Saved new best model (Makespan: 1178.62)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/2000] | Sampled: 1753.81 | Baseline: 795.81 | Improvement: -958.00 | Win Rate: 0.00% | Actor Loss: 18.7330 | Entropy: 3.8665
Epoch [3/2000] | Sampled: 1850.31 | Baseline: 693.81 | Improvement: -1156.50 | Win Rate: 0.00% | Actor Loss: 23.2021 | Entropy: 3.4614
Epoch [4/2000] | Sampled: 1943.00 | Baseline: 724.19 | Improvement: -1218.81 | Win Rate: 0.00% | Actor Loss: 21.8241 | Entropy: 3.4315
Epoch [5/2000] | Sampled: 1925.81 | Baseline: 661.25 | Improvement: -1264.56 | Win Rate: 0.00% | Actor Loss: 19.3745 | Entropy: 3.2157
Epoch [6/2000] | Sampled: 1766.62 | Baseline: 615.81 | Improvement: -1150.81 | Win Rate: 0.00% | Actor Loss: 18.9747 | Entropy: 3.1268
Epoch [7/2000] | Sampled: 1823.69 | Baseline: 657.12 | Improvement: -1166.56 | Win Rate: 0.00% | Actor Loss: 25.2711 | Entropy: 3.2571
Epoch [8/2000] | Sampled: 1723.06 | Baseline: 634.00 | Improvement: -1089.06 | Win Rate: 0.00% | Actor Loss: 19.3384 | Entropy: 3.2847
Epoch [9/2000] | Sampled: 1749.81 | Baseline: 679.12 | Improvement: -1070.69 | Win Rate: 0.00% | Actor Loss: 14.6848 | Entropy: 3.4346
Epoch [10/2000] | Sampled: 1706.31 | Baseline: 695.38 | Improvement: -1010.94 | Win Rate: 0.00% | Actor Loss: 27.0384 | Entropy: 3.5487
Epoch [11/2000] | Sampled: 1860.56 | Baseline: 707.75 | Improvement: -1152.81 | Win Rate: 0.00% | Actor Loss: 21.6267 | Entropy: 3.4919
Epoch [12/2000] | Sampled: 1879.56 | Baseline: 697.19 | Improvement: -1182.38 | Win Rate: 0.00% | Actor Loss: 15.8158 | Entropy: 3.4156
Epoch [13/2000] | Sampled: 1889.62 | Baseline: 698.94 | Improvement: -1190.69 | Win Rate: 0.00% | Actor Loss: 21.2842 | Entropy: 3.3503
Epoch [14/2000] | Sampled: 1819.44 | Baseline: 670.81 | Improvement: -1148.62 | Win Rate: 0.00% | Actor Loss: 22.9824 | Entropy: 3.2766
