Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 723.00 | Improvement: -377.06 | Win Rate: 0.00% | Job Loss: 9.1869 | AMR Loss: -0.1600 | Entropy: 4.1298 | Invalid S/B: 0.19/0.00 | Max Load: 24.1 | Load Gap: 7.9
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/2000] | Sampled: 1323.69 | Baseline: 795.81 | Improvement: -527.88 | Win Rate: 0.00% | Job Loss: 8.3736 | AMR Loss: -1.4870 | Entropy: 4.1451 | Invalid S/B: 0.00/0.00 | Max Load: 30.1 | Load Gap: 14.7
Epoch [3/2000] | Sampled: 1233.12 | Baseline: 693.81 | Improvement: -539.31 | Win Rate: 0.00% | Job Loss: 7.7827 | AMR Loss: -2.4409 | Entropy: 3.9929 | Invalid S/B: 0.06/0.00 | Max Load: 26.1 | Load Gap: 14.6
Epoch [4/2000] | Sampled: 1569.81 | Baseline: 724.19 | Improvement: -845.62 | Win Rate: 0.00% | Job Loss: 7.7157 | AMR Loss: 4.8152 | Entropy: 3.7710 | Invalid S/B: 0.00/0.00 | Max Load: 37.7 | Load Gap: 34.2
Epoch [5/2000] | Sampled: 1368.31 | Baseline: 661.25 | Improvement: -707.06 | Win Rate: 0.00% | Job Loss: 9.3045 | AMR Loss: 2.3068 | Entropy: 3.6813 | Invalid S/B: 0.00/0.00 | Max Load: 30.9 | Load Gap: 27.1
Epoch [6/2000] | Sampled: 1455.25 | Baseline: 615.81 | Improvement: -839.44 | Win Rate: 0.00% | Job Loss: 5.3821 | AMR Loss: 5.1345 | Entropy: 3.4600 | Invalid S/B: 0.00/0.00 | Max Load: 37.3 | Load Gap: 34.9
Epoch [7/2000] | Sampled: 1743.25 | Baseline: 657.12 | Improvement: -1086.12 | Win Rate: 0.00% | Job Loss: 5.3685 | AMR Loss: 4.9708 | Entropy: 3.4167 | Invalid S/B: 0.06/0.00 | Max Load: 45.0 | Load Gap: 43.9
Epoch [8/2000] | Sampled: 1837.38 | Baseline: 634.00 | Improvement: -1203.38 | Win Rate: 0.00% | Job Loss: 7.4339 | AMR Loss: 5.7099 | Entropy: 3.0951 | Invalid S/B: 0.06/0.00 | Max Load: 47.4 | Load Gap: 45.8
Epoch [9/2000] | Sampled: 1931.69 | Baseline: 679.12 | Improvement: -1252.56 | Win Rate: 0.00% | Job Loss: 0.5141 | AMR Loss: 6.4887 | Entropy: 2.9355 | Invalid S/B: 0.00/0.00 | Max Load: 50.9 | Load Gap: 49.8
Epoch [10/2000] | Sampled: 2016.81 | Baseline: 695.38 | Improvement: -1321.44 | Win Rate: 0.00% | Job Loss: 2.6682 | AMR Loss: 3.5668 | Entropy: 2.7222 | Invalid S/B: 0.00/0.00 | Max Load: 51.9 | Load Gap: 51.4
Epoch [11/2000] | Sampled: 2136.31 | Baseline: 707.75 | Improvement: -1428.56 | Win Rate: 0.00% | Job Loss: -0.6723 | AMR Loss: 4.3908 | Entropy: 2.4860 | Invalid S/B: 0.00/0.00 | Max Load: 55.5 | Load Gap: 55.1
Epoch [12/2000] | Sampled: 2064.50 | Baseline: 697.19 | Improvement: -1367.31 | Win Rate: 0.00% | Job Loss: 2.7589 | AMR Loss: 4.8651 | Entropy: 2.3584 | Invalid S/B: 0.00/0.00 | Max Load: 54.7 | Load Gap: 53.9
Epoch [13/2000] | Sampled: 2091.56 | Baseline: 698.94 | Improvement: -1392.62 | Win Rate: 0.00% | Job Loss: -3.5393 | AMR Loss: 3.6373 | Entropy: 2.2216 | Invalid S/B: 0.00/0.00 | Max Load: 53.9 | Load Gap: 53.6
Epoch [14/2000] | Sampled: 1999.56 | Baseline: 670.81 | Improvement: -1328.75 | Win Rate: 0.00% | Job Loss: -2.4502 | AMR Loss: 3.4613 | Entropy: 1.9753 | Invalid S/B: 0.00/0.00 | Max Load: 54.1 | Load Gap: 53.8
Epoch [15/2000] | Sampled: 2288.94 | Baseline: 753.56 | Improvement: -1535.38 | Win Rate: 0.00% | Job Loss: -5.9626 | AMR Loss: 1.5064 | Entropy: 2.0068 | Invalid S/B: 0.00/0.00 | Max Load: 61.0 | Load Gap: 60.6
Epoch [16/2000] | Sampled: 2110.38 | Baseline: 688.81 | Improvement: -1421.56 | Win Rate: 0.00% | Job Loss: -4.8179 | AMR Loss: 3.1408 | Entropy: 2.0547 | Invalid S/B: 0.00/0.00 | Max Load: 55.9 | Load Gap: 55.6
Epoch [17/2000] | Sampled: 2052.50 | Baseline: 673.50 | Improvement: -1379.00 | Win Rate: 0.00% | Job Loss: -6.0820 | AMR Loss: 2.6717 | Entropy: 2.0233 | Invalid S/B: 0.00/0.00 | Max Load: 56.0 | Load Gap: 55.8
Epoch [18/2000] | Sampled: 2135.69 | Baseline: 697.38 | Improvement: -1438.31 | Win Rate: 0.00% | Job Loss: -7.4574 | AMR Loss: 2.8440 | Entropy: 2.0014 | Invalid S/B: 0.00/0.00 | Max Load: 57.3 | Load Gap: 56.8
Epoch [19/2000] | Sampled: 2174.31 | Baseline: 702.88 | Improvement: -1471.44 | Win Rate: 0.00% | Job Loss: -8.6755 | AMR Loss: 2.7446 | Entropy: 1.9533 | Invalid S/B: 0.00/0.00 | Max Load: 58.7 | Load Gap: 58.4
Epoch [20/2000] | Sampled: 2331.12 | Baseline: 758.75 | Improvement: -1572.38 | Win Rate: 0.00% | Job Loss: -11.0964 | AMR Loss: 1.9538 | Entropy: 1.9199 | Invalid S/B: 0.00/0.00 | Max Load: 63.9 | Load Gap: 63.8
Epoch [21/2000] | Sampled: 2068.88 | Baseline: 655.81 | Improvement: -1413.06 | Win Rate: 0.00% | Job Loss: -8.2362 | AMR Loss: 1.4959 | Entropy: 1.7647 | Invalid S/B: 0.00/0.00 | Max Load: 55.9 | Load Gap: 55.9
Epoch [22/2000] | Sampled: 2216.00 | Baseline: 728.38 | Improvement: -1487.62 | Win Rate: 0.00% | Job Loss: -6.6373 | AMR Loss: 2.4256 | Entropy: 1.8160 | Invalid S/B: 0.00/0.00 | Max Load: 59.9 | Load Gap: 59.8
Epoch [23/2000] | Sampled: 1717.31 | Baseline: 570.56 | Improvement: -1146.75 | Win Rate: 0.00% | Job Loss: -7.2186 | AMR Loss: 2.0517 | Entropy: 1.7272 | Invalid S/B: 0.00/0.00 | Max Load: 47.4 | Load Gap: 47.3
Epoch [24/2000] | Sampled: 1996.94 | Baseline: 651.69 | Improvement: -1345.25 | Win Rate: 0.00% | Job Loss: -7.7496 | AMR Loss: 2.8461 | Entropy: 1.7600 | Invalid S/B: 0.00/0.00 | Max Load: 53.8 | Load Gap: 53.6
Epoch [25/2000] | Sampled: 2267.50 | Baseline: 721.56 | Improvement: -1545.94 | Win Rate: 0.00% | Job Loss: -9.1242 | AMR Loss: 1.3014 | Entropy: 1.7372 | Invalid S/B: 0.00/0.00 | Max Load: 61.1 | Load Gap: 61.0
Epoch [26/2000] | Sampled: 2529.19 | Baseline: 816.06 | Improvement: -1713.12 | Win Rate: 0.00% | Job Loss: -10.0340 | AMR Loss: 2.4513 | Entropy: 1.9405 | Invalid S/B: 0.00/0.00 | Max Load: 68.6 | Load Gap: 68.5
Epoch [27/2000] | Sampled: 2032.31 | Baseline: 654.56 | Improvement: -1377.75 | Win Rate: 0.00% | Job Loss: -8.9560 | AMR Loss: 1.6676 | Entropy: 1.9382 | Invalid S/B: 0.00/0.00 | Max Load: 54.5 | Load Gap: 54.3
Epoch [28/2000] | Sampled: 2218.00 | Baseline: 710.25 | Improvement: -1507.75 | Win Rate: 0.00% | Job Loss: -8.4889 | AMR Loss: 2.0674 | Entropy: 1.9618 | Invalid S/B: 0.00/0.00 | Max Load: 59.1 | Load Gap: 58.9
Epoch [29/2000] | Sampled: 2319.81 | Baseline: 745.44 | Improvement: -1574.38 | Win Rate: 0.00% | Job Loss: -8.4877 | AMR Loss: 2.5644 | Entropy: 2.0017 | Invalid S/B: 0.00/0.00 | Max Load: 62.5 | Load Gap: 62.4
Epoch [30/2000] | Sampled: 1857.50 | Baseline: 601.12 | Improvement: -1256.38 | Win Rate: 0.00% | Job Loss: -5.1056 | AMR Loss: 2.7539 | Entropy: 1.9508 | Invalid S/B: 0.00/0.00 | Max Load: 49.8 | Load Gap: 49.6
Epoch [31/2000] | Sampled: 1822.12 | Baseline: 595.06 | Improvement: -1227.06 | Win Rate: 0.00% | Job Loss: -6.2452 | AMR Loss: 1.8663 | Entropy: 1.8349 | Invalid S/B: 0.00/0.00 | Max Load: 49.4 | Load Gap: 49.2
Epoch [32/2000] | Sampled: 1933.69 | Baseline: 631.31 | Improvement: -1302.38 | Win Rate: 0.00% | Job Loss: -5.3640 | AMR Loss: 2.0144 | Entropy: 1.8974 | Invalid S/B: 0.00/0.00 | Max Load: 53.0 | Load Gap: 52.9
Epoch [33/2000] | Sampled: 2286.62 | Baseline: 736.50 | Improvement: -1550.12 | Win Rate: 0.00% | Job Loss: -10.3612 | AMR Loss: 1.4145 | Entropy: 1.8457 | Invalid S/B: 0.00/0.00 | Max Load: 62.1 | Load Gap: 62.1
Epoch [34/2000] | Sampled: 2239.75 | Baseline: 720.12 | Improvement: -1519.62 | Win Rate: 0.00% | Job Loss: -12.1031 | AMR Loss: 1.7539 | Entropy: 1.8553 | Invalid S/B: 0.00/0.00 | Max Load: 60.8 | Load Gap: 60.7
Epoch [35/2000] | Sampled: 2380.75 | Baseline: 751.62 | Improvement: -1629.12 | Win Rate: 0.00% | Job Loss: -13.9448 | AMR Loss: 1.1611 | Entropy: 1.7557 | Invalid S/B: 0.00/0.00 | Max Load: 63.5 | Load Gap: 63.5
Epoch [36/2000] | Sampled: 1490.19 | Baseline: 480.81 | Improvement: -1009.38 | Win Rate: 0.00% | Job Loss: -7.2598 | AMR Loss: 1.3293 | Entropy: 1.4744 | Invalid S/B: 0.00/0.00 | Max Load: 39.9 | Load Gap: 39.9
Epoch [37/2000] | Sampled: 1848.00 | Baseline: 596.31 | Improvement: -1251.69 | Win Rate: 0.00% | Job Loss: -12.1646 | AMR Loss: 1.6719 | Entropy: 1.5257 | Invalid S/B: 0.00/0.00 | Max Load: 49.5 | Load Gap: 49.4
Epoch [38/2000] | Sampled: 2436.00 | Baseline: 785.75 | Improvement: -1650.25 | Win Rate: 0.00% | Job Loss: -20.2028 | AMR Loss: 1.4442 | Entropy: 1.5296 | Invalid S/B: 0.00/0.00 | Max Load: 65.7 | Load Gap: 65.7
Epoch [39/2000] | Sampled: 2237.31 | Baseline: 724.62 | Improvement: -1512.69 | Win Rate: 0.00% | Job Loss: -5.8898 | AMR Loss: 1.4991 | Entropy: 1.3885 | Invalid S/B: 0.00/0.00 | Max Load: 60.8 | Load Gap: 60.7
Epoch [40/2000] | Sampled: 2374.81 | Baseline: 777.81 | Improvement: -1597.00 | Win Rate: 0.00% | Job Loss: -4.2055 | AMR Loss: 1.6358 | Entropy: 1.4710 | Invalid S/B: 0.00/0.00 | Max Load: 65.6 | Load Gap: 65.4
Epoch [41/2000] | Sampled: 2302.88 | Baseline: 739.25 | Improvement: -1563.62 | Win Rate: 0.00% | Job Loss: 6.9579 | AMR Loss: 2.2769 | Entropy: 1.4564 | Invalid S/B: 0.00/0.00 | Max Load: 61.6 | Load Gap: 61.4
Epoch [42/2000] | Sampled: 2052.19 | Baseline: 657.88 | Improvement: -1394.31 | Win Rate: 0.00% | Job Loss: 2.0115 | AMR Loss: 1.6354 | Entropy: 1.3588 | Invalid S/B: 0.00/0.00 | Max Load: 55.4 | Load Gap: 55.3
Epoch [43/2000] | Sampled: 2321.75 | Baseline: 752.44 | Improvement: -1569.31 | Win Rate: 0.00% | Job Loss: -2.2023 | AMR Loss: 1.1770 | Entropy: 1.3795 | Invalid S/B: 0.00/0.00 | Max Load: 63.4 | Load Gap: 63.4
Epoch [44/2000] | Sampled: 2385.81 | Baseline: 776.62 | Improvement: -1609.19 | Win Rate: 0.00% | Job Loss: -0.1870 | AMR Loss: 1.6308 | Entropy: 1.4282 | Invalid S/B: 0.00/0.00 | Max Load: 65.7 | Load Gap: 65.7
Epoch [45/2000] | Sampled: 2074.50 | Baseline: 664.06 | Improvement: -1410.44 | Win Rate: 0.00% | Job Loss: -1.1991 | AMR Loss: 1.5458 | Entropy: 1.3479 | Invalid S/B: 0.00/0.00 | Max Load: 55.8 | Load Gap: 55.8
Epoch [46/2000] | Sampled: 2084.69 | Baseline: 659.50 | Improvement: -1425.19 | Win Rate: 0.00% | Job Loss: -3.9636 | AMR Loss: 1.6274 | Entropy: 1.3917 | Invalid S/B: 0.00/0.00 | Max Load: 55.7 | Load Gap: 55.7
Epoch [47/2000] | Sampled: 2256.50 | Baseline: 720.19 | Improvement: -1536.31 | Win Rate: 0.00% | Job Loss: 0.0242 | AMR Loss: 1.9140 | Entropy: 1.4636 | Invalid S/B: 0.00/0.00 | Max Load: 60.5 | Load Gap: 60.5
Epoch [48/2000] | Sampled: 2031.44 | Baseline: 659.94 | Improvement: -1371.50 | Win Rate: 0.00% | Job Loss: -4.7897 | AMR Loss: 1.6215 | Entropy: 1.3715 | Invalid S/B: 0.00/0.00 | Max Load: 55.8 | Load Gap: 55.7
Epoch [49/2000] | Sampled: 1881.56 | Baseline: 600.00 | Improvement: -1281.56 | Win Rate: 0.00% | Job Loss: -0.7601 | AMR Loss: 1.4659 | Entropy: 1.3505 | Invalid S/B: 0.00/0.00 | Max Load: 50.8 | Load Gap: 50.8
Epoch [50/2000] | Sampled: 2222.69 | Baseline: 710.12 | Improvement: -1512.56 | Win Rate: 0.00% | Job Loss: -2.6278 | AMR Loss: 1.2853 | Entropy: 1.4703 | Invalid S/B: 0.00/0.00 | Max Load: 59.8 | Load Gap: 59.8
Epoch [51/2000] | Sampled: 2229.50 | Baseline: 705.88 | Improvement: -1523.62 | Win Rate: 0.00% | Job Loss: -8.1355 | AMR Loss: 1.1013 | Entropy: 1.4910 | Invalid S/B: 0.00/0.00 | Max Load: 59.8 | Load Gap: 59.8
Epoch [52/2000] | Sampled: 1749.69 | Baseline: 563.38 | Improvement: -1186.31 | Win Rate: 0.00% | Job Loss: -7.5223 | AMR Loss: 1.4279 | Entropy: 1.3961 | Invalid S/B: 0.00/0.00 | Max Load: 47.2 | Load Gap: 47.2
Epoch [53/2000] | Sampled: 1875.50 | Baseline: 599.12 | Improvement: -1276.38 | Win Rate: 0.00% | Job Loss: -7.1632 | AMR Loss: 1.0137 | Entropy: 1.4507 | Invalid S/B: 0.00/0.00 | Max Load: 51.1 | Load Gap: 51.1
Epoch [54/2000] | Sampled: 2043.50 | Baseline: 655.94 | Improvement: -1387.56 | Win Rate: 0.00% | Job Loss: -3.6568 | AMR Loss: 1.5309 | Entropy: 1.4442 | Invalid S/B: 0.00/0.00 | Max Load: 54.4 | Load Gap: 54.3
Epoch [55/2000] | Sampled: 2442.88 | Baseline: 770.75 | Improvement: -1672.12 | Win Rate: 0.00% | Job Loss: -14.6859 | AMR Loss: 1.0970 | Entropy: 1.5020 | Invalid S/B: 0.00/0.00 | Max Load: 64.8 | Load Gap: 64.8
Epoch [56/2000] | Sampled: 1779.81 | Baseline: 580.50 | Improvement: -1199.31 | Win Rate: 0.00% | Job Loss: -5.6191 | AMR Loss: 1.5096 | Entropy: 1.4467 | Invalid S/B: 0.00/0.00 | Max Load: 48.4 | Load Gap: 48.4
Epoch [57/2000] | Sampled: 2309.31 | Baseline: 744.56 | Improvement: -1564.75 | Win Rate: 0.00% | Job Loss: -7.0387 | AMR Loss: 2.2128 | Entropy: 1.4874 | Invalid S/B: 0.00/0.00 | Max Load: 62.8 | Load Gap: 62.8
Epoch [58/2000] | Sampled: 2260.56 | Baseline: 729.12 | Improvement: -1531.44 | Win Rate: 0.00% | Job Loss: -7.7236 | AMR Loss: 1.4946 | Entropy: 1.4749 | Invalid S/B: 0.00/0.00 | Max Load: 62.1 | Load Gap: 62.1
Epoch [59/2000] | Sampled: 2063.88 | Baseline: 663.81 | Improvement: -1400.06 | Win Rate: 0.00% | Job Loss: -6.6501 | AMR Loss: 1.6133 | Entropy: 1.4238 | Invalid S/B: 0.00/0.00 | Max Load: 55.8 | Load Gap: 55.8
Epoch [60/2000] | Sampled: 2604.31 | Baseline: 830.44 | Improvement: -1773.88 | Win Rate: 0.00% | Job Loss: -10.1961 | AMR Loss: 1.3320 | Entropy: 1.5069 | Invalid S/B: 0.00/0.00 | Max Load: 70.9 | Load Gap: 70.9
Epoch [61/2000] | Sampled: 2272.69 | Baseline: 737.44 | Improvement: -1535.25 | Win Rate: 0.00% | Job Loss: -8.0140 | AMR Loss: 1.1416 | Entropy: 1.4990 | Invalid S/B: 0.00/0.00 | Max Load: 62.2 | Load Gap: 62.2
Epoch [62/2000] | Sampled: 1908.88 | Baseline: 612.44 | Improvement: -1296.44 | Win Rate: 0.00% | Job Loss: -4.3236 | AMR Loss: 2.0017 | Entropy: 1.4369 | Invalid S/B: 0.00/0.00 | Max Load: 51.9 | Load Gap: 51.9
Epoch [63/2000] | Sampled: 1859.62 | Baseline: 603.25 | Improvement: -1256.38 | Win Rate: 0.00% | Job Loss: -1.9609 | AMR Loss: 1.1191 | Entropy: 1.3817 | Invalid S/B: 0.00/0.00 | Max Load: 49.9 | Load Gap: 49.9
Epoch [64/2000] | Sampled: 2004.06 | Baseline: 650.69 | Improvement: -1353.38 | Win Rate: 0.00% | Job Loss: -3.7203 | AMR Loss: 1.5844 | Entropy: 1.4096 | Invalid S/B: 0.00/0.00 | Max Load: 54.5 | Load Gap: 54.5
Epoch [65/2000] | Sampled: 2051.06 | Baseline: 665.31 | Improvement: -1385.75 | Win Rate: 0.00% | Job Loss: 0.9672 | AMR Loss: 1.5914 | Entropy: 1.3471 | Invalid S/B: 0.00/0.00 | Max Load: 55.9 | Load Gap: 55.8
Epoch [66/2000] | Sampled: 1908.19 | Baseline: 605.75 | Improvement: -1302.44 | Win Rate: 0.00% | Job Loss: -2.7509 | AMR Loss: 1.3492 | Entropy: 1.2420 | Invalid S/B: 0.00/0.00 | Max Load: 50.9 | Load Gap: 50.9
Epoch [67/2000] | Sampled: 2272.94 | Baseline: 734.06 | Improvement: -1538.88 | Win Rate: 0.00% | Job Loss: -5.0228 | AMR Loss: 1.4016 | Entropy: 1.2997 | Invalid S/B: 0.00/0.00 | Max Load: 62.1 | Load Gap: 62.1
Epoch [68/2000] | Sampled: 2152.50 | Baseline: 692.25 | Improvement: -1460.25 | Win Rate: 0.00% | Job Loss: -5.0188 | AMR Loss: 1.1291 | Entropy: 1.1815 | Invalid S/B: 0.00/0.00 | Max Load: 58.6 | Load Gap: 58.6
Epoch [69/2000] | Sampled: 2058.31 | Baseline: 662.81 | Improvement: -1395.50 | Win Rate: 0.00% | Job Loss: -6.1062 | AMR Loss: 1.4773 | Entropy: 1.0842 | Invalid S/B: 0.00/0.00 | Max Load: 55.9 | Load Gap: 55.9
Epoch [70/2000] | Sampled: 2037.94 | Baseline: 646.00 | Improvement: -1391.94 | Win Rate: 0.00% | Job Loss: -10.8918 | AMR Loss: 1.2583 | Entropy: 1.0176 | Invalid S/B: 0.00/0.00 | Max Load: 54.8 | Load Gap: 54.7
Epoch [71/2000] | Sampled: 2711.50 | Baseline: 860.94 | Improvement: -1850.56 | Win Rate: 0.00% | Job Loss: -11.6946 | AMR Loss: 1.1616 | Entropy: 1.0865 | Invalid S/B: 0.00/0.00 | Max Load: 73.5 | Load Gap: 73.5
Epoch [72/2000] | Sampled: 2673.50 | Baseline: 854.19 | Improvement: -1819.31 | Win Rate: 0.00% | Job Loss: -8.0550 | AMR Loss: 1.1601 | Entropy: 1.0647 | Invalid S/B: 0.00/0.00 | Max Load: 72.2 | Load Gap: 72.2
Epoch [73/2000] | Sampled: 2229.94 | Baseline: 706.25 | Improvement: -1523.69 | Win Rate: 0.00% | Job Loss: -8.9172 | AMR Loss: 1.1022 | Entropy: 0.9913 | Invalid S/B: 0.00/0.00 | Max Load: 59.9 | Load Gap: 59.9
Epoch [74/2000] | Sampled: 2220.44 | Baseline: 711.94 | Improvement: -1508.50 | Win Rate: 0.00% | Job Loss: -7.1131 | AMR Loss: 1.3674 | Entropy: 1.0061 | Invalid S/B: 0.00/0.00 | Max Load: 59.3 | Load Gap: 59.3
Epoch [75/2000] | Sampled: 1957.00 | Baseline: 634.12 | Improvement: -1322.88 | Win Rate: 0.00% | Job Loss: -8.2126 | AMR Loss: 1.2753 | Entropy: 0.9305 | Invalid S/B: 0.00/0.00 | Max Load: 53.4 | Load Gap: 53.4
Epoch [76/2000] | Sampled: 2215.88 | Baseline: 709.50 | Improvement: -1506.38 | Win Rate: 0.00% | Job Loss: -11.2177 | AMR Loss: 1.1008 | Entropy: 1.0282 | Invalid S/B: 0.00/0.00 | Max Load: 59.8 | Load Gap: 59.8
Epoch [77/2000] | Sampled: 2231.12 | Baseline: 719.38 | Improvement: -1511.75 | Win Rate: 0.00% | Job Loss: -17.6222 | AMR Loss: 1.0659 | Entropy: 1.0490 | Invalid S/B: 0.00/0.00 | Max Load: 61.1 | Load Gap: 61.1
Epoch [78/2000] | Sampled: 2432.06 | Baseline: 776.69 | Improvement: -1655.38 | Win Rate: 0.00% | Job Loss: -12.3720 | AMR Loss: 1.0166 | Entropy: 1.0118 | Invalid S/B: 0.00/0.00 | Max Load: 66.1 | Load Gap: 66.1
Epoch [79/2000] | Sampled: 2306.62 | Baseline: 736.00 | Improvement: -1570.62 | Win Rate: 0.00% | Job Loss: -11.1623 | AMR Loss: 0.8270 | Entropy: 0.9655 | Invalid S/B: 0.00/0.00 | Max Load: 62.4 | Load Gap: 62.4
Epoch [80/2000] | Sampled: 2474.69 | Baseline: 786.88 | Improvement: -1687.81 | Win Rate: 0.00% | Job Loss: -16.0775 | AMR Loss: 0.7596 | Entropy: 0.9974 | Invalid S/B: 0.00/0.00 | Max Load: 67.4 | Load Gap: 67.4
Epoch [81/2000] | Sampled: 2509.75 | Baseline: 796.62 | Improvement: -1713.12 | Win Rate: 0.00% | Job Loss: -9.7972 | AMR Loss: 1.1170 | Entropy: 1.0301 | Invalid S/B: 0.00/0.00 | Max Load: 67.2 | Load Gap: 67.2
