Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 723.00 | Improvement: -377.06 | Win Rate: 0.00% | Job Loss: 9.1847 | AMR Loss: -0.1629 | Entropy: 4.1298 | Invalid S/B: 0.19/0.00 | Max Load: 24.1 | Load Gap: 7.9
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/2000] | Sampled: 1325.69 | Baseline: 795.81 | Improvement: -529.88 | Win Rate: 0.00% | Job Loss: 8.0888 | AMR Loss: -1.3676 | Entropy: 4.1510 | Invalid S/B: 0.00/0.00 | Max Load: 30.3 | Load Gap: 14.9
Epoch [3/2000] | Sampled: 1243.81 | Baseline: 693.81 | Improvement: -550.00 | Win Rate: 0.00% | Job Loss: 9.7133 | AMR Loss: -3.1819 | Entropy: 3.9756 | Invalid S/B: 0.12/0.00 | Max Load: 26.2 | Load Gap: 15.2
Epoch [4/2000] | Sampled: 1573.38 | Baseline: 724.19 | Improvement: -849.19 | Win Rate: 0.00% | Job Loss: 9.1545 | AMR Loss: 3.4018 | Entropy: 3.8117 | Invalid S/B: 0.06/0.00 | Max Load: 35.6 | Load Gap: 32.1
Epoch [5/2000] | Sampled: 1354.56 | Baseline: 661.25 | Improvement: -693.31 | Win Rate: 0.00% | Job Loss: 9.0691 | AMR Loss: 3.6435 | Entropy: 3.7319 | Invalid S/B: 0.00/0.00 | Max Load: 31.9 | Load Gap: 28.6
Epoch [6/2000] | Sampled: 1544.56 | Baseline: 615.81 | Improvement: -928.75 | Win Rate: 0.00% | Job Loss: 6.0782 | AMR Loss: 6.9836 | Entropy: 3.4402 | Invalid S/B: 0.00/0.00 | Max Load: 39.9 | Load Gap: 37.2
Epoch [7/2000] | Sampled: 1726.38 | Baseline: 657.12 | Improvement: -1069.25 | Win Rate: 0.00% | Job Loss: 4.9049 | AMR Loss: 5.1215 | Entropy: 3.4213 | Invalid S/B: 0.00/0.00 | Max Load: 43.4 | Load Gap: 42.7
Epoch [8/2000] | Sampled: 1805.56 | Baseline: 634.00 | Improvement: -1171.56 | Win Rate: 0.00% | Job Loss: 6.5951 | AMR Loss: 5.7184 | Entropy: 3.0474 | Invalid S/B: 0.00/0.00 | Max Load: 46.8 | Load Gap: 44.8
Epoch [9/2000] | Sampled: 1929.56 | Baseline: 679.12 | Improvement: -1250.44 | Win Rate: 0.00% | Job Loss: 2.1795 | AMR Loss: 6.4500 | Entropy: 2.8154 | Invalid S/B: 0.00/0.00 | Max Load: 50.8 | Load Gap: 49.6
