Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/2000] | Sampled: 1092.47 | Baseline: 758.88 | Improvement: -333.59 | Win Rate: 0.00% | Actor Loss: 3.5702 | Entropy: 4.2386 | Invalid S/B: 0.09/0.00 | Max Load: 24.3 | Load Gap: 9.2
   -> Validation | Samples: 50 | Makespan: 769.98 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 769.98)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/2000] | Sampled: 983.19 | Baseline: 757.16 | Improvement: -226.03 | Win Rate: 0.00% | Actor Loss: -0.1543 | Entropy: 4.2297 | Invalid S/B: 0.12/0.00 | Max Load: 22.7 | Load Gap: 5.2
Epoch [3/2000] | Sampled: 950.75 | Baseline: 760.00 | Improvement: -190.75 | Win Rate: 0.00% | Actor Loss: -2.0952 | Entropy: 4.2016 | Invalid S/B: 0.00/0.00 | Max Load: 22.3 | Load Gap: 4.7
Epoch [4/2000] | Sampled: 917.75 | Baseline: 762.66 | Improvement: -155.09 | Win Rate: 0.00% | Actor Loss: -2.3448 | Entropy: 4.1664 | Invalid S/B: 0.06/0.00 | Max Load: 22.5 | Load Gap: 5.0
Epoch [5/2000] | Sampled: 864.53 | Baseline: 756.78 | Improvement: -107.75 | Win Rate: 0.00% | Actor Loss: -3.6081 | Entropy: 4.1219 | Invalid S/B: 0.00/0.00 | Max Load: 21.7 | Load Gap: 3.3
Epoch [6/2000] | Sampled: 842.88 | Baseline: 763.16 | Improvement: -79.72 | Win Rate: 0.00% | Actor Loss: -5.6337 | Entropy: 4.0454 | Invalid S/B: 0.00/0.00 | Max Load: 21.5 | Load Gap: 3.0
Epoch [7/2000] | Sampled: 816.34 | Baseline: 762.91 | Improvement: -53.44 | Win Rate: 0.00% | Actor Loss: -3.9820 | Entropy: 3.9338 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [8/2000] | Sampled: 799.88 | Baseline: 765.97 | Improvement: -33.91 | Win Rate: 6.25% | Actor Loss: -4.7156 | Entropy: 3.7865 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [9/2000] | Sampled: 781.91 | Baseline: 764.47 | Improvement: -17.44 | Win Rate: 18.75% | Actor Loss: -5.0988 | Entropy: 3.5776 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [10/2000] | Sampled: 772.97 | Baseline: 761.34 | Improvement: -11.62 | Win Rate: 21.88% | Actor Loss: -1.6481 | Entropy: 3.3647 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [11/2000] | Sampled: 768.59 | Baseline: 764.28 | Improvement: -4.31 | Win Rate: 46.88% | Actor Loss: -1.0955 | Entropy: 3.2505 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [12/2000] | Sampled: 763.84 | Baseline: 759.69 | Improvement: -4.16 | Win Rate: 46.88% | Actor Loss: 0.3386 | Entropy: 3.2014 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [13/2000] | Sampled: 767.41 | Baseline: 762.91 | Improvement: -4.50 | Win Rate: 40.62% | Actor Loss: -0.4601 | Entropy: 3.1983 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [14/2000] | Sampled: 769.75 | Baseline: 760.19 | Improvement: -9.56 | Win Rate: 34.38% | Actor Loss: -2.1758 | Entropy: 3.2924 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [15/2000] | Sampled: 767.28 | Baseline: 758.47 | Improvement: -8.81 | Win Rate: 31.25% | Actor Loss: -0.6546 | Entropy: 3.2774 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [16/2000] | Sampled: 775.12 | Baseline: 768.47 | Improvement: -6.66 | Win Rate: 46.88% | Actor Loss: -1.6166 | Entropy: 3.4239 | Invalid S/B: 0.03/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [17/2000] | Sampled: 779.47 | Baseline: 762.97 | Improvement: -16.50 | Win Rate: 21.88% | Actor Loss: -2.7933 | Entropy: 3.4791 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [18/2000] | Sampled: 779.22 | Baseline: 769.41 | Improvement: -9.81 | Win Rate: 31.25% | Actor Loss: -2.8851 | Entropy: 3.4459 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [19/2000] | Sampled: 772.50 | Baseline: 764.06 | Improvement: -8.44 | Win Rate: 37.50% | Actor Loss: -4.2048 | Entropy: 3.3859 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [20/2000] | Sampled: 768.09 | Baseline: 763.56 | Improvement: -4.53 | Win Rate: 37.50% | Actor Loss: -0.3630 | Entropy: 3.3051 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [21/2000] | Sampled: 773.81 | Baseline: 759.62 | Improvement: -14.19 | Win Rate: 25.00% | Actor Loss: -2.1933 | Entropy: 3.2710 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [22/2000] | Sampled: 774.72 | Baseline: 770.44 | Improvement: -4.28 | Win Rate: 43.75% | Actor Loss: -2.1657 | Entropy: 3.2281 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [23/2000] | Sampled: 768.56 | Baseline: 764.75 | Improvement: -3.81 | Win Rate: 34.38% | Actor Loss: -0.7841 | Entropy: 3.2048 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [24/2000] | Sampled: 766.22 | Baseline: 762.00 | Improvement: -4.22 | Win Rate: 40.62% | Actor Loss: -0.2873 | Entropy: 3.1782 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [25/2000] | Sampled: 774.88 | Baseline: 767.22 | Improvement: -7.66 | Win Rate: 28.12% | Actor Loss: -1.4929 | Entropy: 3.1676 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
