Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/2000] | Sampled: 1094.25 | Baseline: 758.88 | Improvement: -335.38 | Win Rate: 0.00% | Actor Loss: 4.0483 | Entropy: 4.2385 | Invalid S/B: 0.09/0.00 | Max Load: 24.2 | Load Gap: 8.9
   -> Validation | Samples: 50 | Makespan: 772.56 | Invalid Jobs: 0.02
   -> Saved new best model (Val Makespan: 772.56)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/2000] | Sampled: 982.97 | Baseline: 757.16 | Improvement: -225.81 | Win Rate: 0.00% | Actor Loss: -0.5283 | Entropy: 4.2294 | Invalid S/B: 0.09/0.00 | Max Load: 22.7 | Load Gap: 5.4
Epoch [3/2000] | Sampled: 960.00 | Baseline: 760.00 | Improvement: -200.00 | Win Rate: 0.00% | Actor Loss: -1.3155 | Entropy: 4.2019 | Invalid S/B: 0.00/0.00 | Max Load: 22.3 | Load Gap: 4.7
Epoch [4/2000] | Sampled: 915.72 | Baseline: 762.66 | Improvement: -153.06 | Win Rate: 0.00% | Actor Loss: -2.3218 | Entropy: 4.1662 | Invalid S/B: 0.03/0.00 | Max Load: 22.4 | Load Gap: 4.8
Epoch [5/2000] | Sampled: 864.28 | Baseline: 756.78 | Improvement: -107.50 | Win Rate: 0.00% | Actor Loss: -3.6397 | Entropy: 4.1214 | Invalid S/B: 0.00/0.00 | Max Load: 21.6 | Load Gap: 3.2
Epoch [6/2000] | Sampled: 838.59 | Baseline: 763.16 | Improvement: -75.44 | Win Rate: 0.00% | Actor Loss: -4.3865 | Entropy: 4.0452 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [7/2000] | Sampled: 815.50 | Baseline: 762.91 | Improvement: -52.59 | Win Rate: 3.12% | Actor Loss: -5.9477 | Entropy: 3.9270 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.2
Epoch [8/2000] | Sampled: 802.84 | Baseline: 765.97 | Improvement: -36.88 | Win Rate: 3.12% | Actor Loss: -6.4007 | Entropy: 3.7650 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [9/2000] | Sampled: 778.62 | Baseline: 764.47 | Improvement: -14.16 | Win Rate: 18.75% | Actor Loss: -4.7352 | Entropy: 3.5660 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [10/2000] | Sampled: 772.19 | Baseline: 761.34 | Improvement: -10.84 | Win Rate: 31.25% | Actor Loss: -0.7799 | Entropy: 3.3535 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [11/2000] | Sampled: 770.22 | Baseline: 764.28 | Improvement: -5.94 | Win Rate: 43.75% | Actor Loss: -0.8034 | Entropy: 3.2530 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [12/2000] | Sampled: 764.56 | Baseline: 759.69 | Improvement: -4.88 | Win Rate: 34.38% | Actor Loss: -1.2829 | Entropy: 3.2152 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [13/2000] | Sampled: 764.06 | Baseline: 762.91 | Improvement: -1.16 | Win Rate: 40.62% | Actor Loss: -1.3665 | Entropy: 3.1886 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [14/2000] | Sampled: 768.75 | Baseline: 760.19 | Improvement: -8.56 | Win Rate: 25.00% | Actor Loss: -1.3511 | Entropy: 3.1742 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2
Epoch [15/2000] | Sampled: 766.69 | Baseline: 758.47 | Improvement: -8.22 | Win Rate: 34.38% | Actor Loss: -0.8837 | Entropy: 3.1757 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [16/2000] | Sampled: 768.97 | Baseline: 768.47 | Improvement: -0.50 | Win Rate: 40.62% | Actor Loss: -1.7897 | Entropy: 3.1783 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [17/2000] | Sampled: 768.59 | Baseline: 762.97 | Improvement: -5.62 | Win Rate: 37.50% | Actor Loss: -1.1976 | Entropy: 3.1707 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2
