Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/2000] | Sampled: 1097.06 | Baseline: 758.88 | Improvement: -338.19 | Win Rate: 0.00% | Job Loss: 4.5843 | AMR Loss: 0.4604 | Entropy: 4.2397 | Invalid S/B: 0.25/0.00 | Max Load: 24.6 | Load Gap: 9.0
   -> Validation | Samples: 50 | Makespan: 825.44 | Invalid Jobs: 0.02
   -> Saved new best model (Val Makespan: 825.44)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/2000] | Sampled: 1002.38 | Baseline: 757.16 | Improvement: -245.22 | Win Rate: 0.00% | Job Loss: 3.3607 | AMR Loss: -1.4572 | Entropy: 4.2084 | Invalid S/B: 0.06/0.00 | Max Load: 22.6 | Load Gap: 5.2
Epoch [3/2000] | Sampled: 986.28 | Baseline: 760.00 | Improvement: -226.28 | Win Rate: 0.00% | Job Loss: 3.7728 | AMR Loss: -2.6335 | Entropy: 4.1215 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.4
Epoch [4/2000] | Sampled: 968.72 | Baseline: 762.66 | Improvement: -206.06 | Win Rate: 0.00% | Job Loss: 3.9791 | AMR Loss: -3.5191 | Entropy: 4.0885 | Invalid S/B: 0.09/0.00 | Max Load: 22.5 | Load Gap: 5.4
Epoch [5/2000] | Sampled: 945.69 | Baseline: 756.78 | Improvement: -188.91 | Win Rate: 0.00% | Job Loss: 2.5837 | AMR Loss: -4.1793 | Entropy: 4.1411 | Invalid S/B: 0.03/0.00 | Max Load: 22.2 | Load Gap: 4.5
Epoch [6/2000] | Sampled: 938.25 | Baseline: 763.16 | Improvement: -175.09 | Win Rate: 0.00% | Job Loss: 1.0095 | AMR Loss: -4.6359 | Entropy: 4.1229 | Invalid S/B: 0.00/0.00 | Max Load: 22.3 | Load Gap: 4.7
Epoch [7/2000] | Sampled: 898.31 | Baseline: 762.91 | Improvement: -135.41 | Win Rate: 0.00% | Job Loss: 2.8773 | AMR Loss: -5.2767 | Entropy: 4.0829 | Invalid S/B: 0.03/0.00 | Max Load: 21.7 | Load Gap: 3.5
Epoch [8/2000] | Sampled: 892.09 | Baseline: 765.97 | Improvement: -126.12 | Win Rate: 0.00% | Job Loss: 4.0433 | AMR Loss: -5.8660 | Entropy: 4.0517 | Invalid S/B: 0.00/0.00 | Max Load: 21.8 | Load Gap: 3.8
Epoch [9/2000] | Sampled: 894.12 | Baseline: 764.47 | Improvement: -129.66 | Win Rate: 0.00% | Job Loss: 2.9439 | AMR Loss: -4.7751 | Entropy: 4.0770 | Invalid S/B: 0.06/0.00 | Max Load: 21.6 | Load Gap: 3.3
Epoch [10/2000] | Sampled: 890.31 | Baseline: 761.34 | Improvement: -128.97 | Win Rate: 0.00% | Job Loss: 2.5770 | AMR Loss: -6.3027 | Entropy: 4.0969 | Invalid S/B: 0.03/0.00 | Max Load: 21.8 | Load Gap: 3.5
Epoch [11/2000] | Sampled: 863.84 | Baseline: 764.28 | Improvement: -99.56 | Win Rate: 0.00% | Job Loss: 2.3195 | AMR Loss: -5.9198 | Entropy: 4.1030 | Invalid S/B: 0.00/0.00 | Max Load: 21.7 | Load Gap: 3.2
Epoch [12/2000] | Sampled: 860.12 | Baseline: 759.69 | Improvement: -100.44 | Win Rate: 0.00% | Job Loss: 1.8047 | AMR Loss: -5.5461 | Entropy: 4.0803 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.8
Epoch [13/2000] | Sampled: 846.69 | Baseline: 762.91 | Improvement: -83.78 | Win Rate: 0.00% | Job Loss: 1.7134 | AMR Loss: -6.9237 | Entropy: 4.0412 | Invalid S/B: 0.03/0.00 | Max Load: 21.6 | Load Gap: 3.3
