Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/2000] | Sampled: 1097.06 | Baseline: 758.88 | Improvement: -338.19 | Win Rate: 0.00% | Job Loss: 4.5845 | AMR Loss: 0.4656 | Entropy: 4.2397 | Invalid S/B: 0.25/0.00 | Max Load: 24.6 | Load Gap: 9.0
   -> Validation | Samples: 50 | Makespan: 829.20 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 829.20)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/2000] | Sampled: 1003.25 | Baseline: 757.16 | Improvement: -246.09 | Win Rate: 0.00% | Job Loss: 3.3851 | AMR Loss: -1.4525 | Entropy: 4.2084 | Invalid S/B: 0.09/0.00 | Max Load: 22.6 | Load Gap: 5.2
Epoch [3/2000] | Sampled: 981.19 | Baseline: 760.00 | Improvement: -221.19 | Win Rate: 0.00% | Job Loss: 3.3412 | AMR Loss: -2.6338 | Entropy: 4.1182 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.5
Epoch [4/2000] | Sampled: 964.16 | Baseline: 762.66 | Improvement: -201.50 | Win Rate: 0.00% | Job Loss: 4.9211 | AMR Loss: -2.9995 | Entropy: 4.0527 | Invalid S/B: 0.12/0.00 | Max Load: 22.4 | Load Gap: 5.2
Epoch [5/2000] | Sampled: 951.47 | Baseline: 756.78 | Improvement: -194.69 | Win Rate: 0.00% | Job Loss: 1.9972 | AMR Loss: -4.0695 | Entropy: 4.1434 | Invalid S/B: 0.00/0.00 | Max Load: 22.4 | Load Gap: 4.8
Epoch [6/2000] | Sampled: 937.31 | Baseline: 763.16 | Improvement: -174.16 | Win Rate: 0.00% | Job Loss: 0.9600 | AMR Loss: -4.3667 | Entropy: 4.1206 | Invalid S/B: 0.03/0.00 | Max Load: 22.5 | Load Gap: 4.8
Epoch [7/2000] | Sampled: 901.78 | Baseline: 762.91 | Improvement: -138.88 | Win Rate: 0.00% | Job Loss: 3.9533 | AMR Loss: -4.9870 | Entropy: 4.0814 | Invalid S/B: 0.03/0.00 | Max Load: 21.9 | Load Gap: 3.7
Epoch [8/2000] | Sampled: 896.88 | Baseline: 765.97 | Improvement: -130.91 | Win Rate: 0.00% | Job Loss: 2.2248 | AMR Loss: -5.0190 | Entropy: 4.0942 | Invalid S/B: 0.03/0.00 | Max Load: 21.6 | Load Gap: 3.4
Epoch [9/2000] | Sampled: 889.28 | Baseline: 764.47 | Improvement: -124.81 | Win Rate: 0.00% | Job Loss: 3.7154 | AMR Loss: -3.6528 | Entropy: 4.0787 | Invalid S/B: 0.00/0.00 | Max Load: 21.6 | Load Gap: 3.2
Epoch [10/2000] | Sampled: 882.00 | Baseline: 761.34 | Improvement: -120.66 | Win Rate: 0.00% | Job Loss: 2.3357 | AMR Loss: -5.3718 | Entropy: 4.0933 | Invalid S/B: 0.03/0.00 | Max Load: 21.4 | Load Gap: 2.9
Epoch [11/2000] | Sampled: 875.00 | Baseline: 764.28 | Improvement: -110.72 | Win Rate: 0.00% | Job Loss: 2.5806 | AMR Loss: -6.3867 | Entropy: 4.0948 | Invalid S/B: 0.00/0.00 | Max Load: 21.9 | Load Gap: 3.6
Epoch [12/2000] | Sampled: 850.88 | Baseline: 759.69 | Improvement: -91.19 | Win Rate: 0.00% | Job Loss: 1.8335 | AMR Loss: -5.1925 | Entropy: 4.0851 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.5
Epoch [13/2000] | Sampled: 848.72 | Baseline: 762.91 | Improvement: -85.81 | Win Rate: 3.12% | Job Loss: 1.4892 | AMR Loss: -6.0274 | Entropy: 4.0654 | Invalid S/B: 0.03/0.00 | Max Load: 21.6 | Load Gap: 3.2
