Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/3000] | Sampled: 680.94 | Baseline: 719.56 | Improvement: 38.62 | Win Rate: 78.12% | Actor Loss: 1.1383 | Entropy: 3.6696 | Invalid S/B: 0.09/0.00 | Max Load: 22.6 | Load Gap: 5.2
   -> Validation | Samples: 50 | Makespan: 750.56 | Invalid Jobs: 0.06
   -> Saved new best model (Val Makespan: 750.56)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/3000] | Sampled: 692.28 | Baseline: 719.84 | Improvement: 27.56 | Win Rate: 78.12% | Actor Loss: -0.3479 | Entropy: 3.7679 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.6
Epoch [3/3000] | Sampled: 681.38 | Baseline: 721.84 | Improvement: 40.47 | Win Rate: 84.38% | Actor Loss: 5.8679 | Entropy: 3.7746 | Invalid S/B: 0.03/0.00 | Max Load: 22.5 | Load Gap: 4.8
Epoch [4/3000] | Sampled: 649.94 | Baseline: 718.38 | Improvement: 68.44 | Win Rate: 100.00% | Actor Loss: 6.3016 | Entropy: 3.7625 | Invalid S/B: 0.03/0.00 | Max Load: 21.8 | Load Gap: 3.6
Epoch [5/3000] | Sampled: 635.81 | Baseline: 717.66 | Improvement: 81.84 | Win Rate: 96.88% | Actor Loss: 2.1464 | Entropy: 3.7670 | Invalid S/B: 0.03/0.00 | Max Load: 21.5 | Load Gap: 2.9
Epoch [6/3000] | Sampled: 617.59 | Baseline: 721.97 | Improvement: 104.38 | Win Rate: 100.00% | Actor Loss: 0.9554 | Entropy: 3.7497 | Invalid S/B: 0.00/0.00 | Max Load: 21.8 | Load Gap: 3.5
Epoch [7/3000] | Sampled: 607.41 | Baseline: 717.44 | Improvement: 110.03 | Win Rate: 100.00% | Actor Loss: -2.0079 | Entropy: 3.7157 | Invalid S/B: 0.03/0.00 | Max Load: 21.5 | Load Gap: 3.1
Epoch [8/3000] | Sampled: 589.25 | Baseline: 719.44 | Improvement: 130.19 | Win Rate: 100.00% | Actor Loss: -0.6801 | Entropy: 3.6113 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.7
Epoch [9/3000] | Sampled: 583.09 | Baseline: 717.62 | Improvement: 134.53 | Win Rate: 100.00% | Actor Loss: -1.5683 | Entropy: 3.5363 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.8
