Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/3000] | Sampled: 689.84 | Baseline: 719.56 | Improvement: 29.72 | Win Rate: 78.12% | Actor Loss: 1.3232 | Entropy: 3.6566 | Invalid S/B: 0.12/0.00 | Max Load: 22.9 | Load Gap: 5.7
   -> Validation | Samples: 50 | Makespan: 888.46 | Invalid Jobs: 0.16
   -> Saved new best model (Val Makespan: 888.46)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/3000] | Sampled: 686.22 | Baseline: 719.84 | Improvement: 33.62 | Win Rate: 78.12% | Actor Loss: -2.2415 | Entropy: 3.7448 | Invalid S/B: 0.00/0.00 | Max Load: 22.4 | Load Gap: 5.0
Epoch [3/3000] | Sampled: 673.75 | Baseline: 721.84 | Improvement: 48.09 | Win Rate: 87.50% | Actor Loss: 3.5954 | Entropy: 3.7481 | Invalid S/B: 0.06/0.00 | Max Load: 22.4 | Load Gap: 4.8
Epoch [4/3000] | Sampled: 661.00 | Baseline: 718.38 | Improvement: 57.38 | Win Rate: 81.25% | Actor Loss: 1.9079 | Entropy: 3.6949 | Invalid S/B: 0.03/0.00 | Max Load: 22.3 | Load Gap: 5.1
Epoch [5/3000] | Sampled: 680.00 | Baseline: 717.66 | Improvement: 37.66 | Win Rate: 75.00% | Actor Loss: 6.5130 | Entropy: 3.6629 | Invalid S/B: 0.09/0.00 | Max Load: 23.2 | Load Gap: 6.2
Epoch [6/3000] | Sampled: 702.84 | Baseline: 721.97 | Improvement: 19.12 | Win Rate: 62.50% | Actor Loss: -0.9224 | Entropy: 3.6310 | Invalid S/B: 0.06/0.00 | Max Load: 23.7 | Load Gap: 7.2
Epoch [7/3000] | Sampled: 703.81 | Baseline: 717.44 | Improvement: 13.62 | Win Rate: 59.38% | Actor Loss: -1.0614 | Entropy: 3.5874 | Invalid S/B: 0.06/0.00 | Max Load: 23.2 | Load Gap: 6.4
Epoch [8/3000] | Sampled: 689.28 | Baseline: 719.44 | Improvement: 30.16 | Win Rate: 71.88% | Actor Loss: 1.2270 | Entropy: 3.5723 | Invalid S/B: 0.06/0.00 | Max Load: 23.7 | Load Gap: 7.4
Epoch [9/3000] | Sampled: 721.00 | Baseline: 717.62 | Improvement: -3.38 | Win Rate: 46.88% | Actor Loss: -3.6615 | Entropy: 3.5493 | Invalid S/B: 0.06/0.00 | Max Load: 23.8 | Load Gap: 7.4
Epoch [10/3000] | Sampled: 703.09 | Baseline: 719.94 | Improvement: 16.84 | Win Rate: 56.25% | Actor Loss: 3.1472 | Entropy: 3.5246 | Invalid S/B: 0.06/0.00 | Max Load: 23.3 | Load Gap: 7.1
Epoch [11/3000] | Sampled: 675.81 | Baseline: 717.06 | Improvement: 41.25 | Win Rate: 78.12% | Actor Loss: 1.3993 | Entropy: 3.5274 | Invalid S/B: 0.00/0.00 | Max Load: 23.5 | Load Gap: 7.1
Epoch [12/3000] | Sampled: 706.53 | Baseline: 721.31 | Improvement: 14.78 | Win Rate: 65.62% | Actor Loss: -0.9281 | Entropy: 3.5177 | Invalid S/B: 0.12/0.00 | Max Load: 23.8 | Load Gap: 7.4
Epoch [13/3000] | Sampled: 709.19 | Baseline: 720.69 | Improvement: 11.50 | Win Rate: 71.88% | Actor Loss: -1.7435 | Entropy: 3.5241 | Invalid S/B: 0.06/0.00 | Max Load: 23.5 | Load Gap: 6.7
Epoch [14/3000] | Sampled: 703.41 | Baseline: 716.44 | Improvement: 13.03 | Win Rate: 59.38% | Actor Loss: 0.3088 | Entropy: 3.5212 | Invalid S/B: 0.03/0.00 | Max Load: 24.0 | Load Gap: 7.4
Epoch [15/3000] | Sampled: 680.94 | Baseline: 717.56 | Improvement: 36.62 | Win Rate: 75.00% | Actor Loss: 0.9611 | Entropy: 3.5274 | Invalid S/B: 0.00/0.00 | Max Load: 23.1 | Load Gap: 6.6
Epoch [16/3000] | Sampled: 688.09 | Baseline: 724.19 | Improvement: 36.09 | Win Rate: 84.38% | Actor Loss: -0.0623 | Entropy: 3.5536 | Invalid S/B: 0.00/0.00 | Max Load: 23.6 | Load Gap: 6.8
Epoch [17/3000] | Sampled: 677.25 | Baseline: 720.50 | Improvement: 43.25 | Win Rate: 78.12% | Actor Loss: -0.6415 | Entropy: 3.5839 | Invalid S/B: 0.03/0.00 | Max Load: 22.8 | Load Gap: 5.6
Epoch [18/3000] | Sampled: 667.84 | Baseline: 718.72 | Improvement: 50.88 | Win Rate: 87.50% | Actor Loss: -0.7980 | Entropy: 3.6100 | Invalid S/B: 0.00/0.00 | Max Load: 22.6 | Load Gap: 5.0
