Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/3000] | Sampled: 697.41 | Baseline: 719.56 | Improvement: 22.16 | Win Rate: 59.38% | Actor Loss: 1.6856 | Entropy: 3.6988 | Invalid S/B: 0.12/0.00 | Max Load: 22.7 | Load Gap: 5.3
   -> Validation | Samples: 50 | Makespan: 766.22 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 766.22)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/3000] | Sampled: 707.78 | Baseline: 719.84 | Improvement: 12.06 | Win Rate: 59.38% | Actor Loss: 10.1402 | Entropy: 3.7402 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.4
Epoch [3/3000] | Sampled: 674.00 | Baseline: 721.84 | Improvement: 47.84 | Win Rate: 81.25% | Actor Loss: -0.0889 | Entropy: 3.7842 | Invalid S/B: 0.03/0.00 | Max Load: 22.6 | Load Gap: 5.0
Epoch [4/3000] | Sampled: 658.66 | Baseline: 718.38 | Improvement: 59.72 | Win Rate: 84.38% | Actor Loss: 1.9130 | Entropy: 3.7568 | Invalid S/B: 0.00/0.00 | Max Load: 22.1 | Load Gap: 4.4
Epoch [5/3000] | Sampled: 659.66 | Baseline: 717.66 | Improvement: 58.00 | Win Rate: 84.38% | Actor Loss: 10.6691 | Entropy: 3.7105 | Invalid S/B: 0.06/0.00 | Max Load: 22.1 | Load Gap: 4.4
Epoch [6/3000] | Sampled: 654.00 | Baseline: 721.97 | Improvement: 67.97 | Win Rate: 96.88% | Actor Loss: 4.8548 | Entropy: 3.7221 | Invalid S/B: 0.03/0.00 | Max Load: 22.3 | Load Gap: 4.3
Epoch [7/3000] | Sampled: 642.31 | Baseline: 717.44 | Improvement: 75.12 | Win Rate: 93.75% | Actor Loss: -3.2441 | Entropy: 3.7463 | Invalid S/B: 0.03/0.00 | Max Load: 21.7 | Load Gap: 3.4
Epoch [8/3000] | Sampled: 642.56 | Baseline: 719.44 | Improvement: 76.88 | Win Rate: 93.75% | Actor Loss: -7.2539 | Entropy: 3.7198 | Invalid S/B: 0.00/0.00 | Max Load: 22.2 | Load Gap: 4.4
Epoch [9/3000] | Sampled: 635.53 | Baseline: 717.62 | Improvement: 82.09 | Win Rate: 93.75% | Actor Loss: -2.2400 | Entropy: 3.7321 | Invalid S/B: 0.03/0.00 | Max Load: 21.6 | Load Gap: 3.2
Epoch [10/3000] | Sampled: 624.00 | Baseline: 719.94 | Improvement: 95.94 | Win Rate: 96.88% | Actor Loss: 2.3874 | Entropy: 3.7146 | Invalid S/B: 0.03/0.00 | Max Load: 21.5 | Load Gap: 3.2
Epoch [11/3000] | Sampled: 629.41 | Baseline: 717.06 | Improvement: 87.66 | Win Rate: 100.00% | Actor Loss: -1.9243 | Entropy: 3.6883 | Invalid S/B: 0.00/0.00 | Max Load: 21.5 | Load Gap: 3.1
Epoch [12/3000] | Sampled: 633.66 | Baseline: 721.31 | Improvement: 87.66 | Win Rate: 96.88% | Actor Loss: 9.8125 | Entropy: 3.6783 | Invalid S/B: 0.06/0.00 | Max Load: 21.7 | Load Gap: 3.4
Epoch [13/3000] | Sampled: 619.47 | Baseline: 720.69 | Improvement: 101.22 | Win Rate: 93.75% | Actor Loss: 6.4425 | Entropy: 3.6626 | Invalid S/B: 0.06/0.00 | Max Load: 21.6 | Load Gap: 3.4
Epoch [14/3000] | Sampled: 625.44 | Baseline: 716.44 | Improvement: 91.00 | Win Rate: 96.88% | Actor Loss: 4.4127 | Entropy: 3.7043 | Invalid S/B: 0.03/0.00 | Max Load: 21.7 | Load Gap: 3.5
Epoch [15/3000] | Sampled: 606.41 | Baseline: 717.56 | Improvement: 111.16 | Win Rate: 100.00% | Actor Loss: -2.5310 | Entropy: 3.6781 | Invalid S/B: 0.00/0.00 | Max Load: 21.6 | Load Gap: 3.4
Epoch [16/3000] | Sampled: 607.00 | Baseline: 724.19 | Improvement: 117.19 | Win Rate: 100.00% | Actor Loss: -1.4846 | Entropy: 3.6894 | Invalid S/B: 0.00/0.00 | Max Load: 21.5 | Load Gap: 3.0
