Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/3000] | Sampled: 695.75 | Baseline: 719.56 | Improvement: 23.81 | Win Rate: 68.75% | Actor Loss: 1.2244 | Entropy: 3.6941 | Invalid S/B: 0.09/0.00 | Max Load: 22.2 | Load Gap: 4.6
   -> Validation | Samples: 50 | Makespan: 904.94 | Invalid Jobs: 0.16
   -> Saved new best model (Val Makespan: 904.94)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/3000] | Sampled: 704.03 | Baseline: 719.84 | Improvement: 15.81 | Win Rate: 59.38% | Actor Loss: 13.1427 | Entropy: 3.6851 | Invalid S/B: 0.00/0.00 | Max Load: 22.4 | Load Gap: 4.8
Epoch [3/3000] | Sampled: 683.50 | Baseline: 721.84 | Improvement: 38.34 | Win Rate: 78.12% | Actor Loss: 3.1558 | Entropy: 3.7810 | Invalid S/B: 0.00/0.00 | Max Load: 22.4 | Load Gap: 5.0
Epoch [4/3000] | Sampled: 674.38 | Baseline: 718.38 | Improvement: 44.00 | Win Rate: 81.25% | Actor Loss: 1.7803 | Entropy: 3.7383 | Invalid S/B: 0.06/0.00 | Max Load: 22.7 | Load Gap: 5.3
Epoch [5/3000] | Sampled: 670.94 | Baseline: 717.66 | Improvement: 46.72 | Win Rate: 84.38% | Actor Loss: 4.3002 | Entropy: 3.7187 | Invalid S/B: 0.09/0.00 | Max Load: 22.3 | Load Gap: 4.7
Epoch [6/3000] | Sampled: 666.31 | Baseline: 721.97 | Improvement: 55.66 | Win Rate: 84.38% | Actor Loss: -1.4097 | Entropy: 3.7204 | Invalid S/B: 0.00/0.00 | Max Load: 22.4 | Load Gap: 4.9
Epoch [7/3000] | Sampled: 666.47 | Baseline: 717.44 | Improvement: 50.97 | Win Rate: 84.38% | Actor Loss: 0.9347 | Entropy: 3.6849 | Invalid S/B: 0.00/0.00 | Max Load: 23.0 | Load Gap: 5.9
Epoch [8/3000] | Sampled: 683.41 | Baseline: 719.44 | Improvement: 36.03 | Win Rate: 75.00% | Actor Loss: 4.4325 | Entropy: 3.6672 | Invalid S/B: 0.03/0.00 | Max Load: 23.4 | Load Gap: 6.6
Epoch [9/3000] | Sampled: 695.97 | Baseline: 717.62 | Improvement: 21.66 | Win Rate: 68.75% | Actor Loss: 0.2814 | Entropy: 3.6781 | Invalid S/B: 0.12/0.00 | Max Load: 23.2 | Load Gap: 6.2
Epoch [10/3000] | Sampled: 699.25 | Baseline: 719.94 | Improvement: 20.69 | Win Rate: 71.88% | Actor Loss: 2.8501 | Entropy: 3.6684 | Invalid S/B: 0.03/0.00 | Max Load: 23.7 | Load Gap: 7.4
Epoch [11/3000] | Sampled: 688.25 | Baseline: 717.06 | Improvement: 28.81 | Win Rate: 78.12% | Actor Loss: 2.3351 | Entropy: 3.6498 | Invalid S/B: 0.09/0.00 | Max Load: 23.7 | Load Gap: 6.9
Epoch [12/3000] | Sampled: 678.16 | Baseline: 721.31 | Improvement: 43.16 | Win Rate: 81.25% | Actor Loss: -2.1635 | Entropy: 3.6395 | Invalid S/B: 0.06/0.00 | Max Load: 23.2 | Load Gap: 6.5
