Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/1500] | Sampled: 801.44 | Baseline: 602.25 | Improvement: -199.19 | Win Rate: 0.00% | Actor Loss: -3.3781 | Entropy: 4.1233 | Invalid S/B: 0.38/0.00 | Max Load: 15.1 | Load Gap: 5.9
   -> Validation | Samples: 50 | Makespan: 586.68 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 586.68)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/1500] | Sampled: 773.62 | Baseline: 606.31 | Improvement: -167.31 | Win Rate: 0.00% | Actor Loss: -5.0974 | Entropy: 4.1866 | Invalid S/B: 0.38/0.00 | Max Load: 15.1 | Load Gap: 6.4
Epoch [3/1500] | Sampled: 736.88 | Baseline: 608.12 | Improvement: -128.75 | Win Rate: 0.00% | Actor Loss: -2.5480 | Entropy: 4.1430 | Invalid S/B: 0.12/0.00 | Max Load: 15.0 | Load Gap: 6.0
Epoch [4/1500] | Sampled: 738.75 | Baseline: 598.06 | Improvement: -140.69 | Win Rate: 0.00% | Actor Loss: -6.1017 | Entropy: 4.0654 | Invalid S/B: 0.19/0.00 | Max Load: 14.7 | Load Gap: 5.1
Epoch [5/1500] | Sampled: 732.12 | Baseline: 611.44 | Improvement: -120.69 | Win Rate: 0.00% | Actor Loss: -8.4130 | Entropy: 3.9381 | Invalid S/B: 0.19/0.00 | Max Load: 14.3 | Load Gap: 4.4
Epoch [6/1500] | Sampled: 737.00 | Baseline: 608.25 | Improvement: -128.75 | Win Rate: 0.00% | Actor Loss: -15.0574 | Entropy: 3.7265 | Invalid S/B: 0.19/0.00 | Max Load: 14.4 | Load Gap: 4.9
Epoch [7/1500] | Sampled: 724.25 | Baseline: 606.38 | Improvement: -117.88 | Win Rate: 0.00% | Actor Loss: -13.5758 | Entropy: 3.4858 | Invalid S/B: 0.12/0.00 | Max Load: 14.4 | Load Gap: 4.4
Epoch [8/1500] | Sampled: 715.62 | Baseline: 608.69 | Improvement: -106.94 | Win Rate: 0.00% | Actor Loss: -16.2996 | Entropy: 3.2688 | Invalid S/B: 0.00/0.00 | Max Load: 13.6 | Load Gap: 3.1
Epoch [9/1500] | Sampled: 699.62 | Baseline: 605.25 | Improvement: -94.38 | Win Rate: 0.00% | Actor Loss: -7.7113 | Entropy: 3.0068 | Invalid S/B: 0.06/0.00 | Max Load: 13.6 | Load Gap: 3.1
Epoch [10/1500] | Sampled: 689.56 | Baseline: 604.06 | Improvement: -85.50 | Win Rate: 0.00% | Actor Loss: -5.1083 | Entropy: 2.8369 | Invalid S/B: 0.00/0.00 | Max Load: 13.6 | Load Gap: 2.8
Epoch [11/1500] | Sampled: 648.38 | Baseline: 607.44 | Improvement: -40.94 | Win Rate: 12.50% | Actor Loss: 2.6701 | Entropy: 2.6866 | Invalid S/B: 0.06/0.00 | Max Load: 13.2 | Load Gap: 2.5
Epoch [12/1500] | Sampled: 648.56 | Baseline: 607.81 | Improvement: -40.75 | Win Rate: 6.25% | Actor Loss: 4.3175 | Entropy: 2.5452 | Invalid S/B: 0.19/0.00 | Max Load: 12.9 | Load Gap: 1.9
Epoch [13/1500] | Sampled: 629.81 | Baseline: 610.94 | Improvement: -18.88 | Win Rate: 18.75% | Actor Loss: -1.7444 | Entropy: 2.4886 | Invalid S/B: 0.06/0.00 | Max Load: 13.1 | Load Gap: 2.1
Epoch [14/1500] | Sampled: 597.12 | Baseline: 607.88 | Improvement: 10.75 | Win Rate: 62.50% | Actor Loss: -5.3887 | Entropy: 2.3400 | Invalid S/B: 0.00/0.00 | Max Load: 13.1 | Load Gap: 2.1
Epoch [15/1500] | Sampled: 611.06 | Baseline: 608.88 | Improvement: -2.19 | Win Rate: 62.50% | Actor Loss: 0.5248 | Entropy: 2.3289 | Invalid S/B: 0.12/0.00 | Max Load: 13.1 | Load Gap: 2.0
Epoch [16/1500] | Sampled: 603.06 | Baseline: 603.00 | Improvement: -0.06 | Win Rate: 62.50% | Actor Loss: -5.9933 | Entropy: 2.2604 | Invalid S/B: 0.12/0.00 | Max Load: 12.9 | Load Gap: 1.8
Epoch [17/1500] | Sampled: 600.62 | Baseline: 610.12 | Improvement: 9.50 | Win Rate: 68.75% | Actor Loss: -11.2671 | Entropy: 2.1100 | Invalid S/B: 0.00/0.00 | Max Load: 13.1 | Load Gap: 2.0
