Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/1500] | Sampled: 798.25 | Baseline: 602.25 | Improvement: -196.00 | Win Rate: 0.00% | Actor Loss: -3.7267 | Entropy: 4.1174 | Invalid S/B: 0.25/0.00 | Max Load: 14.7 | Load Gap: 5.2
   -> Validation | Samples: 50 | Makespan: 749.12 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 749.12)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/1500] | Sampled: 727.69 | Baseline: 606.31 | Improvement: -121.38 | Win Rate: 0.00% | Actor Loss: -5.5434 | Entropy: 4.1602 | Invalid S/B: 0.38/0.00 | Max Load: 14.4 | Load Gap: 4.5
Epoch [3/1500] | Sampled: 736.31 | Baseline: 608.12 | Improvement: -128.19 | Win Rate: 0.00% | Actor Loss: -4.1781 | Entropy: 4.0902 | Invalid S/B: 0.38/0.00 | Max Load: 14.4 | Load Gap: 5.5
Epoch [4/1500] | Sampled: 682.81 | Baseline: 598.06 | Improvement: -84.75 | Win Rate: 0.00% | Actor Loss: -7.5689 | Entropy: 3.9876 | Invalid S/B: 0.38/0.00 | Max Load: 14.4 | Load Gap: 4.7
Epoch [5/1500] | Sampled: 729.62 | Baseline: 611.44 | Improvement: -118.19 | Win Rate: 0.00% | Actor Loss: -15.7708 | Entropy: 3.8253 | Invalid S/B: 0.00/0.00 | Max Load: 14.1 | Load Gap: 4.1
Epoch [6/1500] | Sampled: 758.19 | Baseline: 608.25 | Improvement: -149.94 | Win Rate: 0.00% | Actor Loss: -12.7049 | Entropy: 3.5532 | Invalid S/B: 0.38/0.00 | Max Load: 14.6 | Load Gap: 5.4
Epoch [7/1500] | Sampled: 742.88 | Baseline: 606.38 | Improvement: -136.50 | Win Rate: 0.00% | Actor Loss: -4.9919 | Entropy: 3.3164 | Invalid S/B: 0.25/0.00 | Max Load: 14.9 | Load Gap: 5.6
Epoch [8/1500] | Sampled: 769.38 | Baseline: 608.69 | Improvement: -160.69 | Win Rate: 0.00% | Actor Loss: -15.7335 | Entropy: 3.0409 | Invalid S/B: 0.06/0.00 | Max Load: 14.8 | Load Gap: 5.4
Epoch [9/1500] | Sampled: 780.00 | Baseline: 605.25 | Improvement: -174.75 | Win Rate: 0.00% | Actor Loss: 0.6802 | Entropy: 2.8264 | Invalid S/B: 0.12/0.00 | Max Load: 14.6 | Load Gap: 4.6
