Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/1500] | Sampled: 769.81 | Baseline: 602.25 | Improvement: -167.56 | Win Rate: 0.00% | Actor Loss: -4.1300 | Entropy: 4.0834 | Invalid S/B: 0.19/0.00 | Max Load: 14.6 | Load Gap: 5.4
   -> Validation | Samples: 50 | Makespan: 668.32 | Invalid Jobs: 0.12
   -> Saved new best model (Val Makespan: 668.32)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/1500] | Sampled: 813.69 | Baseline: 606.31 | Improvement: -207.38 | Win Rate: 0.00% | Actor Loss: -5.1434 | Entropy: 4.1721 | Invalid S/B: 0.44/0.00 | Max Load: 15.5 | Load Gap: 7.2
Epoch [3/1500] | Sampled: 786.31 | Baseline: 608.12 | Improvement: -178.19 | Win Rate: 0.00% | Actor Loss: -5.5399 | Entropy: 3.9455 | Invalid S/B: 0.38/0.00 | Max Load: 15.4 | Load Gap: 7.1
Epoch [4/1500] | Sampled: 825.31 | Baseline: 598.06 | Improvement: -227.25 | Win Rate: 0.00% | Actor Loss: -14.0906 | Entropy: 3.5438 | Invalid S/B: 0.06/0.00 | Max Load: 15.3 | Load Gap: 6.7
Epoch [5/1500] | Sampled: 884.31 | Baseline: 611.44 | Improvement: -272.88 | Win Rate: 0.00% | Actor Loss: -20.2140 | Entropy: 3.0288 | Invalid S/B: 0.06/0.00 | Max Load: 15.0 | Load Gap: 5.8
Epoch [6/1500] | Sampled: 891.06 | Baseline: 608.25 | Improvement: -282.81 | Win Rate: 0.00% | Actor Loss: -23.3754 | Entropy: 2.6196 | Invalid S/B: 0.12/0.00 | Max Load: 15.0 | Load Gap: 5.8
Epoch [7/1500] | Sampled: 833.44 | Baseline: 606.38 | Improvement: -227.06 | Win Rate: 0.00% | Actor Loss: -24.7191 | Entropy: 2.6243 | Invalid S/B: 0.00/0.00 | Max Load: 14.4 | Load Gap: 4.7
Epoch [8/1500] | Sampled: 840.88 | Baseline: 608.69 | Improvement: -232.19 | Win Rate: 0.00% | Actor Loss: -24.1649 | Entropy: 2.4581 | Invalid S/B: 0.00/0.00 | Max Load: 13.9 | Load Gap: 3.9
