Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/1500] | Sampled: 773.31 | Baseline: 602.25 | Improvement: -171.06 | Win Rate: 0.00% | Actor Loss: -4.1057 | Entropy: 4.0723 | Invalid S/B: 0.19/0.00 | Max Load: 14.5 | Load Gap: 4.8
   -> Validation | Samples: 50 | Makespan: 787.08 | Invalid Jobs: 0.18 | Score: 967.08
   -> Saved new best model (Val Score: 967.08)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/1500] | Sampled: 776.38 | Baseline: 606.31 | Improvement: -170.06 | Win Rate: 0.00% | Actor Loss: -6.1058 | Entropy: 4.1537 | Invalid S/B: 0.56/0.00 | Max Load: 14.4 | Load Gap: 5.1
Epoch [3/1500] | Sampled: 746.12 | Baseline: 608.12 | Improvement: -138.00 | Win Rate: 0.00% | Actor Loss: -1.6091 | Entropy: 4.0196 | Invalid S/B: 0.38/0.00 | Max Load: 14.9 | Load Gap: 5.4
Epoch [4/1500] | Sampled: 735.38 | Baseline: 598.06 | Improvement: -137.31 | Win Rate: 0.00% | Actor Loss: -6.3369 | Entropy: 3.9630 | Invalid S/B: 0.19/0.00 | Max Load: 14.7 | Load Gap: 5.5
Epoch [5/1500] | Sampled: 729.12 | Baseline: 611.44 | Improvement: -117.69 | Win Rate: 0.00% | Actor Loss: -1.3956 | Entropy: 3.7806 | Invalid S/B: 0.25/0.00 | Max Load: 14.5 | Load Gap: 4.8
Epoch [6/1500] | Sampled: 701.00 | Baseline: 608.25 | Improvement: -92.75 | Win Rate: 6.25% | Actor Loss: -7.6651 | Entropy: 3.8120 | Invalid S/B: 0.25/0.00 | Max Load: 14.5 | Load Gap: 4.8
Epoch [7/1500] | Sampled: 723.12 | Baseline: 606.38 | Improvement: -116.75 | Win Rate: 0.00% | Actor Loss: -10.6566 | Entropy: 3.6002 | Invalid S/B: 0.31/0.00 | Max Load: 14.8 | Load Gap: 5.0
Epoch [8/1500] | Sampled: 734.56 | Baseline: 608.69 | Improvement: -125.88 | Win Rate: 0.00% | Actor Loss: -14.5948 | Entropy: 3.2202 | Invalid S/B: 0.19/0.00 | Max Load: 14.6 | Load Gap: 4.9
Epoch [9/1500] | Sampled: 752.00 | Baseline: 605.25 | Improvement: -146.75 | Win Rate: 0.00% | Actor Loss: -11.7251 | Entropy: 2.8376 | Invalid S/B: 0.25/0.00 | Max Load: 13.9 | Load Gap: 3.9
Epoch [10/1500] | Sampled: 788.25 | Baseline: 604.06 | Improvement: -184.19 | Win Rate: 0.00% | Actor Loss: -23.4200 | Entropy: 2.7503 | Invalid S/B: 0.19/0.00 | Max Load: 14.6 | Load Gap: 4.9
Epoch [11/1500] | Sampled: 780.19 | Baseline: 607.44 | Improvement: -172.75 | Win Rate: 0.00% | Actor Loss: -18.9689 | Entropy: 2.6437 | Invalid S/B: 0.06/0.00 | Max Load: 14.5 | Load Gap: 4.8
Epoch [12/1500] | Sampled: 807.56 | Baseline: 607.81 | Improvement: -199.75 | Win Rate: 0.00% | Actor Loss: -9.5923 | Entropy: 2.4344 | Invalid S/B: 0.06/0.00 | Max Load: 14.3 | Load Gap: 4.1
Epoch [13/1500] | Sampled: 802.44 | Baseline: 610.94 | Improvement: -191.50 | Win Rate: 0.00% | Actor Loss: -3.0465 | Entropy: 2.3405 | Invalid S/B: 0.00/0.00 | Max Load: 14.4 | Load Gap: 4.6
Epoch [14/1500] | Sampled: 785.44 | Baseline: 607.88 | Improvement: -177.56 | Win Rate: 0.00% | Actor Loss: -15.4955 | Entropy: 2.3952 | Invalid S/B: 0.12/0.00 | Max Load: 14.3 | Load Gap: 4.5
Epoch [15/1500] | Sampled: 776.81 | Baseline: 608.88 | Improvement: -167.94 | Win Rate: 0.00% | Actor Loss: -8.3422 | Entropy: 2.3674 | Invalid S/B: 0.06/0.00 | Max Load: 13.8 | Load Gap: 3.9
Epoch [16/1500] | Sampled: 766.94 | Baseline: 603.00 | Improvement: -163.94 | Win Rate: 0.00% | Actor Loss: -25.1717 | Entropy: 2.3878 | Invalid S/B: 0.31/0.00 | Max Load: 14.2 | Load Gap: 4.4
Epoch [17/1500] | Sampled: 765.31 | Baseline: 610.12 | Improvement: -155.19 | Win Rate: 0.00% | Actor Loss: -16.4399 | Entropy: 2.4128 | Invalid S/B: 0.06/0.00 | Max Load: 13.9 | Load Gap: 3.8
Epoch [18/1500] | Sampled: 770.81 | Baseline: 609.62 | Improvement: -161.19 | Win Rate: 0.00% | Actor Loss: -16.2159 | Entropy: 2.3856 | Invalid S/B: 0.00/0.00 | Max Load: 14.7 | Load Gap: 4.8
Epoch [19/1500] | Sampled: 762.94 | Baseline: 602.75 | Improvement: -160.19 | Win Rate: 0.00% | Actor Loss: -3.3771 | Entropy: 2.3500 | Invalid S/B: 0.00/0.00 | Max Load: 14.1 | Load Gap: 4.1
Epoch [20/1500] | Sampled: 800.69 | Baseline: 608.88 | Improvement: -191.81 | Win Rate: 0.00% | Actor Loss: -2.9599 | Entropy: 2.3287 | Invalid S/B: 0.06/0.00 | Max Load: 14.3 | Load Gap: 4.1
Epoch [21/1500] | Sampled: 748.62 | Baseline: 606.19 | Improvement: -142.44 | Win Rate: 0.00% | Actor Loss: -20.7287 | Entropy: 2.3431 | Invalid S/B: 0.06/0.00 | Max Load: 14.4 | Load Gap: 4.6
Epoch [22/1500] | Sampled: 751.50 | Baseline: 604.31 | Improvement: -147.19 | Win Rate: 0.00% | Actor Loss: -18.0540 | Entropy: 2.3621 | Invalid S/B: 0.00/0.00 | Max Load: 14.4 | Load Gap: 4.9
Epoch [23/1500] | Sampled: 769.94 | Baseline: 602.00 | Improvement: -167.94 | Win Rate: 0.00% | Actor Loss: -18.9120 | Entropy: 2.2972 | Invalid S/B: 0.12/0.00 | Max Load: 14.7 | Load Gap: 5.1
Epoch [24/1500] | Sampled: 751.62 | Baseline: 604.69 | Improvement: -146.94 | Win Rate: 0.00% | Actor Loss: -11.0749 | Entropy: 2.1717 | Invalid S/B: 0.12/0.00 | Max Load: 14.6 | Load Gap: 4.7
Epoch [25/1500] | Sampled: 771.50 | Baseline: 607.25 | Improvement: -164.25 | Win Rate: 0.00% | Actor Loss: -29.1624 | Entropy: 2.1316 | Invalid S/B: 0.12/0.00 | Max Load: 14.2 | Load Gap: 3.9
Epoch [26/1500] | Sampled: 786.19 | Baseline: 608.06 | Improvement: -178.12 | Win Rate: 0.00% | Actor Loss: -21.5187 | Entropy: 1.9966 | Invalid S/B: 0.06/0.00 | Max Load: 14.3 | Load Gap: 4.5
Epoch [27/1500] | Sampled: 759.50 | Baseline: 607.62 | Improvement: -151.88 | Win Rate: 0.00% | Actor Loss: -20.6334 | Entropy: 1.8739 | Invalid S/B: 0.00/0.00 | Max Load: 13.8 | Load Gap: 3.8
Epoch [28/1500] | Sampled: 756.00 | Baseline: 601.69 | Improvement: -154.31 | Win Rate: 0.00% | Actor Loss: -12.9869 | Entropy: 1.7120 | Invalid S/B: 0.00/0.00 | Max Load: 14.2 | Load Gap: 4.1
Epoch [29/1500] | Sampled: 785.00 | Baseline: 614.62 | Improvement: -170.38 | Win Rate: 0.00% | Actor Loss: -12.3414 | Entropy: 1.6777 | Invalid S/B: 0.12/0.00 | Max Load: 13.9 | Load Gap: 3.9
Epoch [30/1500] | Sampled: 779.56 | Baseline: 605.88 | Improvement: -173.69 | Win Rate: 0.00% | Actor Loss: -25.7660 | Entropy: 1.6478 | Invalid S/B: 0.25/0.00 | Max Load: 13.9 | Load Gap: 3.9
Epoch [31/1500] | Sampled: 746.88 | Baseline: 600.50 | Improvement: -146.38 | Win Rate: 0.00% | Actor Loss: -25.6330 | Entropy: 1.6185 | Invalid S/B: 0.19/0.00 | Max Load: 14.1 | Load Gap: 3.8
Epoch [32/1500] | Sampled: 778.69 | Baseline: 605.44 | Improvement: -173.25 | Win Rate: 0.00% | Actor Loss: -24.1116 | Entropy: 1.6401 | Invalid S/B: 0.31/0.00 | Max Load: 14.1 | Load Gap: 3.9
Epoch [33/1500] | Sampled: 760.88 | Baseline: 607.50 | Improvement: -153.38 | Win Rate: 0.00% | Actor Loss: -14.3443 | Entropy: 1.6894 | Invalid S/B: 0.62/0.00 | Max Load: 14.1 | Load Gap: 4.3
Epoch [34/1500] | Sampled: 779.69 | Baseline: 611.81 | Improvement: -167.88 | Win Rate: 0.00% | Actor Loss: -5.5485 | Entropy: 1.8138 | Invalid S/B: 0.31/0.00 | Max Load: 14.1 | Load Gap: 4.1
Epoch [35/1500] | Sampled: 798.00 | Baseline: 607.50 | Improvement: -190.50 | Win Rate: 0.00% | Actor Loss: -7.9161 | Entropy: 1.9535 | Invalid S/B: 0.75/0.00 | Max Load: 14.2 | Load Gap: 4.4
