Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/2000] | Sampled: 768.31 | Baseline: 602.25 | Improvement: -166.06 | Win Rate: 0.00% | Actor Loss: -4.0169 | Entropy: 4.1144 | Invalid S/B: 0.12/0.00 | Max Load: 14.6 | Load Gap: 5.4
   -> Validation | Samples: 50 | Makespan: 702.04 | Invalid Jobs: 0.00 | Score: 702.04
   -> Saved new best model (Val Score: 702.04)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/extend_GNN/extend_gnn_training_metrics.png
Epoch [2/2000] | Sampled: 791.88 | Baseline: 606.31 | Improvement: -185.56 | Win Rate: 0.00% | Actor Loss: -3.4897 | Entropy: 4.1745 | Invalid S/B: 0.38/0.00 | Max Load: 15.2 | Load Gap: 6.8
Epoch [3/2000] | Sampled: 745.06 | Baseline: 608.12 | Improvement: -136.94 | Win Rate: 0.00% | Actor Loss: -1.8918 | Entropy: 4.1884 | Invalid S/B: 0.19/0.00 | Max Load: 15.1 | Load Gap: 6.4
Epoch [4/2000] | Sampled: 796.50 | Baseline: 598.06 | Improvement: -198.44 | Win Rate: 0.00% | Actor Loss: -7.7908 | Entropy: 4.1430 | Invalid S/B: 0.19/0.00 | Max Load: 15.1 | Load Gap: 6.2
Epoch [5/2000] | Sampled: 801.88 | Baseline: 611.44 | Improvement: -190.44 | Win Rate: 0.00% | Actor Loss: -6.5284 | Entropy: 4.0681 | Invalid S/B: 0.12/0.00 | Max Load: 16.2 | Load Gap: 7.7
Epoch [6/2000] | Sampled: 841.12 | Baseline: 608.25 | Improvement: -232.88 | Win Rate: 0.00% | Actor Loss: -13.3548 | Entropy: 3.9628 | Invalid S/B: 0.19/0.00 | Max Load: 16.4 | Load Gap: 8.2
Epoch [7/2000] | Sampled: 833.81 | Baseline: 606.38 | Improvement: -227.44 | Win Rate: 0.00% | Actor Loss: -5.8092 | Entropy: 3.7715 | Invalid S/B: 0.12/0.00 | Max Load: 15.6 | Load Gap: 7.2
Epoch [8/2000] | Sampled: 902.81 | Baseline: 608.69 | Improvement: -294.12 | Win Rate: 0.00% | Actor Loss: 0.0201 | Entropy: 3.5667 | Invalid S/B: 0.12/0.00 | Max Load: 15.2 | Load Gap: 6.1
Epoch [9/2000] | Sampled: 863.56 | Baseline: 605.25 | Improvement: -258.31 | Win Rate: 0.00% | Actor Loss: -8.8265 | Entropy: 3.4408 | Invalid S/B: 0.06/0.00 | Max Load: 15.8 | Load Gap: 7.1
Epoch [10/2000] | Sampled: 925.06 | Baseline: 604.06 | Improvement: -321.00 | Win Rate: 0.00% | Actor Loss: -20.2318 | Entropy: 3.3168 | Invalid S/B: 0.06/0.00 | Max Load: 15.4 | Load Gap: 7.1
Epoch [11/2000] | Sampled: 895.50 | Baseline: 607.44 | Improvement: -288.06 | Win Rate: 0.00% | Actor Loss: -22.1010 | Entropy: 3.1079 | Invalid S/B: 0.06/0.00 | Max Load: 15.8 | Load Gap: 7.3
Epoch [12/2000] | Sampled: 883.19 | Baseline: 607.81 | Improvement: -275.38 | Win Rate: 0.00% | Actor Loss: -15.3618 | Entropy: 2.9566 | Invalid S/B: 0.00/0.00 | Max Load: 15.1 | Load Gap: 6.1
Epoch [13/2000] | Sampled: 904.00 | Baseline: 610.94 | Improvement: -293.06 | Win Rate: 0.00% | Actor Loss: -15.1945 | Entropy: 2.8055 | Invalid S/B: 0.00/0.00 | Max Load: 14.6 | Load Gap: 5.2
Epoch [14/2000] | Sampled: 884.62 | Baseline: 607.88 | Improvement: -276.75 | Win Rate: 0.00% | Actor Loss: -16.6854 | Entropy: 2.7553 | Invalid S/B: 0.00/0.00 | Max Load: 15.1 | Load Gap: 6.1
Epoch [15/2000] | Sampled: 866.81 | Baseline: 608.88 | Improvement: -257.94 | Win Rate: 0.00% | Actor Loss: -14.7142 | Entropy: 2.6775 | Invalid S/B: 0.06/0.00 | Max Load: 15.2 | Load Gap: 6.1
Epoch [16/2000] | Sampled: 862.56 | Baseline: 603.00 | Improvement: -259.56 | Win Rate: 0.00% | Actor Loss: -28.1030 | Entropy: 2.6162 | Invalid S/B: 0.00/0.00 | Max Load: 14.9 | Load Gap: 5.7
Epoch [17/2000] | Sampled: 875.00 | Baseline: 610.12 | Improvement: -264.88 | Win Rate: 0.00% | Actor Loss: -22.5787 | Entropy: 2.6006 | Invalid S/B: 0.00/0.00 | Max Load: 15.0 | Load Gap: 5.1
Epoch [18/2000] | Sampled: 824.88 | Baseline: 609.62 | Improvement: -215.25 | Win Rate: 0.00% | Actor Loss: -25.4757 | Entropy: 2.5124 | Invalid S/B: 0.00/0.00 | Max Load: 14.1 | Load Gap: 4.4
Epoch [19/2000] | Sampled: 816.50 | Baseline: 602.75 | Improvement: -213.75 | Win Rate: 0.00% | Actor Loss: -14.9167 | Entropy: 2.4684 | Invalid S/B: 0.06/0.00 | Max Load: 14.4 | Load Gap: 4.4
Epoch [20/2000] | Sampled: 776.81 | Baseline: 608.88 | Improvement: -167.94 | Win Rate: 0.00% | Actor Loss: -15.3242 | Entropy: 2.4371 | Invalid S/B: 0.00/0.00 | Max Load: 13.6 | Load Gap: 3.2
Epoch [21/2000] | Sampled: 746.50 | Baseline: 606.19 | Improvement: -140.31 | Win Rate: 0.00% | Actor Loss: -32.9942 | Entropy: 2.3417 | Invalid S/B: 0.00/0.00 | Max Load: 13.9 | Load Gap: 4.0
Epoch [22/2000] | Sampled: 743.06 | Baseline: 604.31 | Improvement: -138.75 | Win Rate: 0.00% | Actor Loss: -30.5006 | Entropy: 2.3241 | Invalid S/B: 0.00/0.00 | Max Load: 14.3 | Load Gap: 4.5
Epoch [23/2000] | Sampled: 709.88 | Baseline: 602.00 | Improvement: -107.88 | Win Rate: 0.00% | Actor Loss: -3.2375 | Entropy: 2.2638 | Invalid S/B: 0.00/0.00 | Max Load: 13.8 | Load Gap: 3.6
Epoch [24/2000] | Sampled: 696.06 | Baseline: 604.69 | Improvement: -91.38 | Win Rate: 0.00% | Actor Loss: -4.7731 | Entropy: 2.2118 | Invalid S/B: 0.00/0.00 | Max Load: 13.4 | Load Gap: 2.8
Epoch [25/2000] | Sampled: 689.69 | Baseline: 607.25 | Improvement: -82.44 | Win Rate: 0.00% | Actor Loss: -18.2464 | Entropy: 2.1648 | Invalid S/B: 0.00/0.00 | Max Load: 13.4 | Load Gap: 2.8
Epoch [26/2000] | Sampled: 668.44 | Baseline: 608.06 | Improvement: -60.38 | Win Rate: 0.00% | Actor Loss: -10.9502 | Entropy: 2.1170 | Invalid S/B: 0.00/0.00 | Max Load: 13.3 | Load Gap: 2.6
Epoch [27/2000] | Sampled: 643.88 | Baseline: 607.62 | Improvement: -36.25 | Win Rate: 12.50% | Actor Loss: -13.2965 | Entropy: 2.0560 | Invalid S/B: 0.00/0.00 | Max Load: 13.1 | Load Gap: 1.9
Epoch [28/2000] | Sampled: 635.19 | Baseline: 601.69 | Improvement: -33.50 | Win Rate: 12.50% | Actor Loss: -8.1990 | Entropy: 2.1008 | Invalid S/B: 0.00/0.00 | Max Load: 13.0 | Load Gap: 2.1
Epoch [29/2000] | Sampled: 640.38 | Baseline: 614.62 | Improvement: -25.75 | Win Rate: 12.50% | Actor Loss: -16.3467 | Entropy: 2.0102 | Invalid S/B: 0.00/0.00 | Max Load: 13.1 | Load Gap: 2.2
Epoch [30/2000] | Sampled: 641.62 | Baseline: 605.88 | Improvement: -35.75 | Win Rate: 6.25% | Actor Loss: -11.7020 | Entropy: 2.1025 | Invalid S/B: 0.19/0.00 | Max Load: 13.4 | Load Gap: 2.8
Epoch [31/2000] | Sampled: 634.25 | Baseline: 600.50 | Improvement: -33.75 | Win Rate: 12.50% | Actor Loss: -16.9893 | Entropy: 2.1764 | Invalid S/B: 0.06/0.00 | Max Load: 13.4 | Load Gap: 2.6
