Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 772.25 | Baseline: 552.50 | Improvement: -219.75 | Win Rate: 0.00% | Actor Loss: -38.5246 | Entropy: 4.0685 | Invalid S/B: 0.44/0.00 | Max Load: 14.3 | Load Gap: 4.8
   -> Validation | Samples: 50 | Makespan: 689.92 | Invalid Jobs: 0.00 | Score: 689.92
   -> Saved new best model (Val Score: 689.92)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/2000] | Sampled: 806.31 | Baseline: 555.94 | Improvement: -250.38 | Win Rate: 0.00% | Actor Loss: -55.9341 | Entropy: 4.1831 | Invalid S/B: 0.44/0.00 | Max Load: 15.1 | Load Gap: 6.4
Epoch [3/2000] | Sampled: 802.62 | Baseline: 555.81 | Improvement: -246.81 | Win Rate: 0.00% | Actor Loss: -58.3570 | Entropy: 4.0152 | Invalid S/B: 0.31/0.00 | Max Load: 15.6 | Load Gap: 7.0
Epoch [4/2000] | Sampled: 850.50 | Baseline: 553.44 | Improvement: -297.06 | Win Rate: 0.00% | Actor Loss: -45.9148 | Entropy: 3.5523 | Invalid S/B: 0.19/0.00 | Max Load: 15.7 | Load Gap: 7.4
Epoch [5/2000] | Sampled: 864.19 | Baseline: 562.31 | Improvement: -301.88 | Win Rate: 0.00% | Actor Loss: -34.4937 | Entropy: 3.2174 | Invalid S/B: 0.19/0.00 | Max Load: 15.4 | Load Gap: 6.5
Epoch [6/2000] | Sampled: 819.31 | Baseline: 560.44 | Improvement: -258.88 | Win Rate: 0.00% | Actor Loss: -35.7077 | Entropy: 3.3941 | Invalid S/B: 0.12/0.00 | Max Load: 15.2 | Load Gap: 6.3
Epoch [7/2000] | Sampled: 790.69 | Baseline: 555.94 | Improvement: -234.75 | Win Rate: 0.00% | Actor Loss: -39.1278 | Entropy: 3.6227 | Invalid S/B: 0.19/0.00 | Max Load: 14.8 | Load Gap: 5.4
Epoch [8/2000] | Sampled: 795.00 | Baseline: 558.56 | Improvement: -236.44 | Win Rate: 0.00% | Actor Loss: -36.8954 | Entropy: 3.6176 | Invalid S/B: 0.31/0.00 | Max Load: 14.6 | Load Gap: 4.8
Epoch [9/2000] | Sampled: 773.75 | Baseline: 552.19 | Improvement: -221.56 | Win Rate: 0.00% | Actor Loss: -31.0667 | Entropy: 3.3288 | Invalid S/B: 0.12/0.00 | Max Load: 14.5 | Load Gap: 4.9
Epoch [10/2000] | Sampled: 760.25 | Baseline: 557.88 | Improvement: -202.38 | Win Rate: 0.00% | Actor Loss: -27.6086 | Entropy: 3.2676 | Invalid S/B: 0.44/0.00 | Max Load: 14.7 | Load Gap: 5.1
Epoch [11/2000] | Sampled: 741.75 | Baseline: 555.25 | Improvement: -186.50 | Win Rate: 0.00% | Actor Loss: -22.0331 | Entropy: 3.3783 | Invalid S/B: 0.19/0.00 | Max Load: 14.2 | Load Gap: 4.1
Epoch [12/2000] | Sampled: 772.19 | Baseline: 560.56 | Improvement: -211.62 | Win Rate: 0.00% | Actor Loss: -29.0164 | Entropy: 3.4237 | Invalid S/B: 0.44/0.00 | Max Load: 14.0 | Load Gap: 4.2
Epoch [13/2000] | Sampled: 761.88 | Baseline: 561.25 | Improvement: -200.62 | Win Rate: 0.00% | Actor Loss: -25.1549 | Entropy: 3.2369 | Invalid S/B: 0.12/0.00 | Max Load: 14.4 | Load Gap: 4.6
Epoch [14/2000] | Sampled: 771.06 | Baseline: 559.81 | Improvement: -211.25 | Win Rate: 0.00% | Actor Loss: -20.9431 | Entropy: 3.0681 | Invalid S/B: 0.25/0.00 | Max Load: 14.2 | Load Gap: 4.3
Epoch [15/2000] | Sampled: 752.75 | Baseline: 560.88 | Improvement: -191.88 | Win Rate: 0.00% | Actor Loss: -24.5863 | Entropy: 2.9829 | Invalid S/B: 0.38/0.00 | Max Load: 14.6 | Load Gap: 4.7
Epoch [16/2000] | Sampled: 746.50 | Baseline: 557.62 | Improvement: -188.88 | Win Rate: 0.00% | Actor Loss: -16.2917 | Entropy: 2.9666 | Invalid S/B: 0.12/0.00 | Max Load: 14.0 | Load Gap: 4.1
