Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 818.06 | Baseline: 552.50 | Improvement: -265.56 | Win Rate: 0.00% | Actor Loss: -46.1813 | Entropy: 4.1239 | Invalid S/B: 0.12/0.00 | Max Load: 15.4 | Load Gap: 6.4
   -> Validation | Samples: 50 | Makespan: 721.08 | Invalid Jobs: 0.24 | Score: 961.08
   -> Saved new best model (Val Score: 961.08)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/2000] | Sampled: 783.31 | Baseline: 555.94 | Improvement: -227.38 | Win Rate: 0.00% | Actor Loss: -53.2968 | Entropy: 4.1821 | Invalid S/B: 0.38/0.00 | Max Load: 15.2 | Load Gap: 6.6
Epoch [3/2000] | Sampled: 739.69 | Baseline: 555.81 | Improvement: -183.88 | Win Rate: 0.00% | Actor Loss: -42.6923 | Entropy: 4.1620 | Invalid S/B: 0.50/0.00 | Max Load: 14.9 | Load Gap: 5.8
Epoch [4/2000] | Sampled: 729.06 | Baseline: 553.44 | Improvement: -175.62 | Win Rate: 0.00% | Actor Loss: -47.4675 | Entropy: 4.1418 | Invalid S/B: 0.31/0.00 | Max Load: 14.6 | Load Gap: 5.6
Epoch [5/2000] | Sampled: 757.88 | Baseline: 562.31 | Improvement: -195.56 | Win Rate: 0.00% | Actor Loss: -42.8630 | Entropy: 4.0541 | Invalid S/B: 0.25/0.00 | Max Load: 14.5 | Load Gap: 5.0
Epoch [6/2000] | Sampled: 746.88 | Baseline: 560.44 | Improvement: -186.44 | Win Rate: 0.00% | Actor Loss: -34.1945 | Entropy: 3.9111 | Invalid S/B: 0.12/0.00 | Max Load: 14.4 | Load Gap: 4.9
Epoch [7/2000] | Sampled: 756.75 | Baseline: 555.94 | Improvement: -200.81 | Win Rate: 0.00% | Actor Loss: -31.0186 | Entropy: 3.7019 | Invalid S/B: 0.06/0.00 | Max Load: 14.3 | Load Gap: 4.8
Epoch [8/2000] | Sampled: 742.19 | Baseline: 558.56 | Improvement: -183.62 | Win Rate: 0.00% | Actor Loss: -26.9284 | Entropy: 3.6525 | Invalid S/B: 0.25/0.00 | Max Load: 14.5 | Load Gap: 4.7
Epoch [9/2000] | Sampled: 695.81 | Baseline: 552.19 | Improvement: -143.62 | Win Rate: 0.00% | Actor Loss: -20.4683 | Entropy: 3.6202 | Invalid S/B: 0.00/0.00 | Max Load: 13.7 | Load Gap: 3.4
Epoch [10/2000] | Sampled: 669.44 | Baseline: 557.88 | Improvement: -111.56 | Win Rate: 0.00% | Actor Loss: -26.4562 | Entropy: 3.6886 | Invalid S/B: 0.19/0.00 | Max Load: 13.4 | Load Gap: 2.9
Epoch [11/2000] | Sampled: 651.44 | Baseline: 555.25 | Improvement: -96.19 | Win Rate: 0.00% | Actor Loss: -12.1799 | Entropy: 3.5961 | Invalid S/B: 0.19/0.00 | Max Load: 13.5 | Load Gap: 3.1
Epoch [12/2000] | Sampled: 647.88 | Baseline: 560.56 | Improvement: -87.31 | Win Rate: 6.25% | Actor Loss: -14.3237 | Entropy: 3.6280 | Invalid S/B: 0.25/0.00 | Max Load: 13.5 | Load Gap: 3.0
Epoch [13/2000] | Sampled: 622.44 | Baseline: 561.25 | Improvement: -61.19 | Win Rate: 0.00% | Actor Loss: -14.3952 | Entropy: 3.7586 | Invalid S/B: 0.31/0.00 | Max Load: 13.2 | Load Gap: 2.6
Epoch [14/2000] | Sampled: 622.50 | Baseline: 559.81 | Improvement: -62.69 | Win Rate: 6.25% | Actor Loss: -21.7601 | Entropy: 3.8551 | Invalid S/B: 0.19/0.00 | Max Load: 13.4 | Load Gap: 2.8
Epoch [15/2000] | Sampled: 632.12 | Baseline: 560.88 | Improvement: -71.25 | Win Rate: 0.00% | Actor Loss: -19.1930 | Entropy: 3.7896 | Invalid S/B: 0.19/0.00 | Max Load: 13.4 | Load Gap: 2.8
Epoch [16/2000] | Sampled: 668.19 | Baseline: 557.62 | Improvement: -110.56 | Win Rate: 0.00% | Actor Loss: -17.0642 | Entropy: 3.7246 | Invalid S/B: 0.38/0.00 | Max Load: 13.4 | Load Gap: 2.5
Epoch [17/2000] | Sampled: 709.69 | Baseline: 562.56 | Improvement: -147.12 | Win Rate: 0.00% | Actor Loss: -20.9613 | Entropy: 3.7395 | Invalid S/B: 0.31/0.00 | Max Load: 13.4 | Load Gap: 2.8
Epoch [18/2000] | Sampled: 708.81 | Baseline: 558.88 | Improvement: -149.94 | Win Rate: 0.00% | Actor Loss: -26.7810 | Entropy: 3.7653 | Invalid S/B: 0.12/0.00 | Max Load: 13.7 | Load Gap: 3.2
Epoch [19/2000] | Sampled: 750.56 | Baseline: 549.00 | Improvement: -201.56 | Win Rate: 0.00% | Actor Loss: -28.1856 | Entropy: 3.6853 | Invalid S/B: 0.00/0.00 | Max Load: 13.6 | Load Gap: 3.1
Epoch [20/2000] | Sampled: 785.88 | Baseline: 555.12 | Improvement: -230.75 | Win Rate: 0.00% | Actor Loss: -34.3284 | Entropy: 3.6462 | Invalid S/B: 0.19/0.00 | Max Load: 14.2 | Load Gap: 4.2
Epoch [21/2000] | Sampled: 782.50 | Baseline: 560.31 | Improvement: -222.19 | Win Rate: 0.00% | Actor Loss: -33.3966 | Entropy: 3.5199 | Invalid S/B: 0.19/0.00 | Max Load: 14.1 | Load Gap: 4.2
Epoch [22/2000] | Sampled: 800.25 | Baseline: 553.62 | Improvement: -246.62 | Win Rate: 0.00% | Actor Loss: -35.0787 | Entropy: 3.5411 | Invalid S/B: 0.25/0.00 | Max Load: 14.7 | Load Gap: 5.4
Epoch [23/2000] | Sampled: 806.81 | Baseline: 555.50 | Improvement: -251.31 | Win Rate: 0.00% | Actor Loss: -34.2589 | Entropy: 3.5450 | Invalid S/B: 0.19/0.00 | Max Load: 13.9 | Load Gap: 4.4
Epoch [24/2000] | Sampled: 799.19 | Baseline: 557.00 | Improvement: -242.19 | Win Rate: 0.00% | Actor Loss: -40.8412 | Entropy: 3.5276 | Invalid S/B: 0.00/0.00 | Max Load: 14.4 | Load Gap: 5.2
Epoch [25/2000] | Sampled: 845.81 | Baseline: 565.00 | Improvement: -280.81 | Win Rate: 0.00% | Actor Loss: -40.5241 | Entropy: 3.4587 | Invalid S/B: 0.19/0.00 | Max Load: 14.2 | Load Gap: 5.1
Epoch [26/2000] | Sampled: 836.75 | Baseline: 560.94 | Improvement: -275.81 | Win Rate: 0.00% | Actor Loss: -46.0344 | Entropy: 3.4363 | Invalid S/B: 0.25/0.00 | Max Load: 14.2 | Load Gap: 4.9
Epoch [27/2000] | Sampled: 801.12 | Baseline: 555.88 | Improvement: -245.25 | Win Rate: 0.00% | Actor Loss: -35.1593 | Entropy: 3.3416 | Invalid S/B: 0.12/0.00 | Max Load: 13.9 | Load Gap: 4.0
Epoch [28/2000] | Sampled: 810.44 | Baseline: 558.38 | Improvement: -252.06 | Win Rate: 0.00% | Actor Loss: -34.2524 | Entropy: 3.3007 | Invalid S/B: 0.38/0.00 | Max Load: 14.1 | Load Gap: 4.9
Epoch [29/2000] | Sampled: 828.50 | Baseline: 565.25 | Improvement: -263.25 | Win Rate: 0.00% | Actor Loss: -27.5245 | Entropy: 3.1407 | Invalid S/B: 0.19/0.00 | Max Load: 14.0 | Load Gap: 4.4
Epoch [30/2000] | Sampled: 776.38 | Baseline: 563.06 | Improvement: -213.31 | Win Rate: 0.00% | Actor Loss: -19.9176 | Entropy: 3.0697 | Invalid S/B: 0.25/0.00 | Max Load: 14.1 | Load Gap: 4.6
Epoch [31/2000] | Sampled: 802.38 | Baseline: 560.81 | Improvement: -241.56 | Win Rate: 0.00% | Actor Loss: -19.2258 | Entropy: 3.0232 | Invalid S/B: 0.38/0.00 | Max Load: 13.9 | Load Gap: 4.1
Epoch [32/2000] | Sampled: 826.19 | Baseline: 562.25 | Improvement: -263.94 | Win Rate: 0.00% | Actor Loss: -28.9734 | Entropy: 3.0250 | Invalid S/B: 0.31/0.00 | Max Load: 14.6 | Load Gap: 4.9
Epoch [33/2000] | Sampled: 813.06 | Baseline: 557.56 | Improvement: -255.50 | Win Rate: 0.00% | Actor Loss: -28.1558 | Entropy: 2.9552 | Invalid S/B: 0.38/0.00 | Max Load: 14.1 | Load Gap: 4.4
Epoch [34/2000] | Sampled: 840.44 | Baseline: 558.06 | Improvement: -282.38 | Win Rate: 0.00% | Actor Loss: -25.9762 | Entropy: 2.7680 | Invalid S/B: 0.56/0.00 | Max Load: 14.4 | Load Gap: 4.9
Epoch [35/2000] | Sampled: 854.44 | Baseline: 559.50 | Improvement: -294.94 | Win Rate: 0.00% | Actor Loss: -26.5669 | Entropy: 2.5543 | Invalid S/B: 0.25/0.00 | Max Load: 14.5 | Load Gap: 5.3
Epoch [36/2000] | Sampled: 862.62 | Baseline: 553.56 | Improvement: -309.06 | Win Rate: 0.00% | Actor Loss: -32.2978 | Entropy: 2.4210 | Invalid S/B: 0.69/0.00 | Max Load: 14.1 | Load Gap: 5.4
Epoch [37/2000] | Sampled: 931.56 | Baseline: 552.44 | Improvement: -379.12 | Win Rate: 0.00% | Actor Loss: -19.2070 | Entropy: 2.2599 | Invalid S/B: 0.94/0.00 | Max Load: 14.7 | Load Gap: 5.8
Epoch [38/2000] | Sampled: 895.94 | Baseline: 552.12 | Improvement: -343.81 | Win Rate: 0.00% | Actor Loss: -27.8593 | Entropy: 2.2771 | Invalid S/B: 0.56/0.00 | Max Load: 14.8 | Load Gap: 6.4
Epoch [39/2000] | Sampled: 898.81 | Baseline: 557.06 | Improvement: -341.75 | Win Rate: 0.00% | Actor Loss: -35.1988 | Entropy: 2.3040 | Invalid S/B: 1.00/0.00 | Max Load: 14.7 | Load Gap: 6.1
Epoch [40/2000] | Sampled: 947.75 | Baseline: 567.88 | Improvement: -379.88 | Win Rate: 0.00% | Actor Loss: -41.6619 | Entropy: 2.1256 | Invalid S/B: 0.50/0.00 | Max Load: 15.0 | Load Gap: 7.8
Epoch [41/2000] | Sampled: 933.38 | Baseline: 550.81 | Improvement: -382.56 | Win Rate: 0.00% | Actor Loss: -39.4581 | Entropy: 1.9490 | Invalid S/B: 0.50/0.00 | Max Load: 14.5 | Load Gap: 5.5
Epoch [42/2000] | Sampled: 924.81 | Baseline: 553.38 | Improvement: -371.44 | Win Rate: 0.00% | Actor Loss: -42.0555 | Entropy: 1.7938 | Invalid S/B: 0.25/0.00 | Max Load: 14.9 | Load Gap: 6.9
Epoch [43/2000] | Sampled: 932.69 | Baseline: 556.06 | Improvement: -376.62 | Win Rate: 0.00% | Actor Loss: -54.0035 | Entropy: 1.6614 | Invalid S/B: 0.06/0.00 | Max Load: 14.3 | Load Gap: 6.0
Epoch [44/2000] | Sampled: 1019.25 | Baseline: 558.69 | Improvement: -460.56 | Win Rate: 0.00% | Actor Loss: -41.3232 | Entropy: 1.3953 | Invalid S/B: 0.12/0.00 | Max Load: 13.9 | Load Gap: 5.6
Epoch [45/2000] | Sampled: 1039.56 | Baseline: 555.69 | Improvement: -483.88 | Win Rate: 0.00% | Actor Loss: -34.4976 | Entropy: 1.5955 | Invalid S/B: 0.44/0.00 | Max Load: 13.8 | Load Gap: 4.7
Epoch [46/2000] | Sampled: 948.31 | Baseline: 553.62 | Improvement: -394.69 | Win Rate: 0.00% | Actor Loss: -47.3696 | Entropy: 2.2553 | Invalid S/B: 0.12/0.00 | Max Load: 14.3 | Load Gap: 5.6
Epoch [47/2000] | Sampled: 858.12 | Baseline: 552.88 | Improvement: -305.25 | Win Rate: 0.00% | Actor Loss: -70.7863 | Entropy: 2.7788 | Invalid S/B: 0.19/0.00 | Max Load: 14.4 | Load Gap: 6.4
Epoch [48/2000] | Sampled: 887.25 | Baseline: 570.06 | Improvement: -317.19 | Win Rate: 0.00% | Actor Loss: -53.1651 | Entropy: 2.5531 | Invalid S/B: 0.00/0.06 | Max Load: 14.3 | Load Gap: 6.2
Epoch [49/2000] | Sampled: 901.19 | Baseline: 559.44 | Improvement: -341.75 | Win Rate: 0.00% | Actor Loss: -37.6181 | Entropy: 2.3424 | Invalid S/B: 0.19/0.00 | Max Load: 13.9 | Load Gap: 4.6
Epoch [50/2000] | Sampled: 815.44 | Baseline: 548.00 | Improvement: -267.44 | Win Rate: 0.00% | Actor Loss: -23.1260 | Entropy: 2.3104 | Invalid S/B: 0.00/0.00 | Max Load: 13.6 | Load Gap: 3.9
   -> Validation | Samples: 50 | Makespan: 719.52 | Invalid Jobs: 0.00 | Score: 719.52
   -> Saved new best model (Val Score: 719.52)
Epoch [51/2000] | Sampled: 801.44 | Baseline: 546.75 | Improvement: -254.69 | Win Rate: 0.00% | Actor Loss: -13.3861 | Entropy: 2.3936 | Invalid S/B: 0.06/0.00 | Max Load: 13.9 | Load Gap: 4.1
Epoch [52/2000] | Sampled: 794.19 | Baseline: 558.00 | Improvement: -236.19 | Win Rate: 0.00% | Actor Loss: -11.4846 | Entropy: 2.4096 | Invalid S/B: 0.06/0.00 | Max Load: 13.6 | Load Gap: 3.8
Epoch [53/2000] | Sampled: 814.12 | Baseline: 559.00 | Improvement: -255.12 | Win Rate: 0.00% | Actor Loss: -28.7243 | Entropy: 2.4828 | Invalid S/B: 0.19/0.00 | Max Load: 13.8 | Load Gap: 4.2
Epoch [54/2000] | Sampled: 792.81 | Baseline: 561.00 | Improvement: -231.81 | Win Rate: 0.00% | Actor Loss: -25.2493 | Entropy: 2.4676 | Invalid S/B: 0.06/0.00 | Max Load: 13.8 | Load Gap: 4.4
Epoch [55/2000] | Sampled: 800.69 | Baseline: 562.69 | Improvement: -238.00 | Win Rate: 0.00% | Actor Loss: -40.9336 | Entropy: 2.4572 | Invalid S/B: 0.19/0.06 | Max Load: 14.4 | Load Gap: 5.3
Epoch [56/2000] | Sampled: 844.12 | Baseline: 556.62 | Improvement: -287.50 | Win Rate: 0.00% | Actor Loss: -55.3232 | Entropy: 2.3445 | Invalid S/B: 0.00/0.00 | Max Load: 14.4 | Load Gap: 5.6
Epoch [57/2000] | Sampled: 868.25 | Baseline: 551.56 | Improvement: -316.69 | Win Rate: 0.00% | Actor Loss: -66.8510 | Entropy: 2.2422 | Invalid S/B: 0.06/0.00 | Max Load: 14.6 | Load Gap: 6.0
Epoch [58/2000] | Sampled: 936.06 | Baseline: 562.56 | Improvement: -373.50 | Win Rate: 0.00% | Actor Loss: -50.7626 | Entropy: 2.0351 | Invalid S/B: 0.00/0.00 | Max Load: 14.8 | Load Gap: 7.1
Epoch [59/2000] | Sampled: 927.25 | Baseline: 560.19 | Improvement: -367.06 | Win Rate: 0.00% | Actor Loss: -64.6989 | Entropy: 1.9171 | Invalid S/B: 0.00/0.00 | Max Load: 15.2 | Load Gap: 7.8
Epoch [60/2000] | Sampled: 856.69 | Baseline: 558.19 | Improvement: -298.50 | Win Rate: 0.00% | Actor Loss: -50.4896 | Entropy: 1.8413 | Invalid S/B: 0.12/0.00 | Max Load: 14.4 | Load Gap: 7.6
Epoch [61/2000] | Sampled: 838.88 | Baseline: 562.38 | Improvement: -276.50 | Win Rate: 0.00% | Actor Loss: -36.3723 | Entropy: 1.7602 | Invalid S/B: 0.00/0.00 | Max Load: 14.5 | Load Gap: 5.9
Epoch [62/2000] | Sampled: 827.38 | Baseline: 558.31 | Improvement: -269.06 | Win Rate: 0.00% | Actor Loss: -6.8333 | Entropy: 1.6917 | Invalid S/B: 0.00/0.00 | Max Load: 14.2 | Load Gap: 5.2
Epoch [63/2000] | Sampled: 812.19 | Baseline: 555.75 | Improvement: -256.44 | Win Rate: 0.00% | Actor Loss: -12.8552 | Entropy: 1.6497 | Invalid S/B: 0.06/0.00 | Max Load: 13.8 | Load Gap: 4.0
