Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 774.31 | Baseline: 552.50 | Improvement: -221.81 | Win Rate: 0.00% | Actor Loss: -37.6582 | Entropy: 4.0694 | Invalid S/B: 0.50/0.00 | Max Load: 14.4 | Load Gap: 4.8
   -> Validation | Samples: 50 | Makespan: 1301.32 | Invalid Jobs: 0.66 | Score: 1961.32
   -> Saved new best model (Val Score: 1961.32)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/extend_GNN/extend_gnn_training_metrics.png
Epoch [2/2000] | Sampled: 782.69 | Baseline: 555.94 | Improvement: -226.75 | Win Rate: 0.00% | Actor Loss: -38.9983 | Entropy: 4.0069 | Invalid S/B: 0.62/0.00 | Max Load: 14.2 | Load Gap: 4.6
Epoch [3/2000] | Sampled: 781.06 | Baseline: 555.81 | Improvement: -225.25 | Win Rate: 0.00% | Actor Loss: -38.5766 | Entropy: 4.0290 | Invalid S/B: 0.50/0.00 | Max Load: 14.2 | Load Gap: 3.9
Epoch [4/2000] | Sampled: 746.12 | Baseline: 553.44 | Improvement: -192.69 | Win Rate: 0.00% | Actor Loss: -39.0827 | Entropy: 4.0384 | Invalid S/B: 0.44/0.00 | Max Load: 14.4 | Load Gap: 4.5
Epoch [5/2000] | Sampled: 792.62 | Baseline: 562.31 | Improvement: -230.31 | Win Rate: 0.00% | Actor Loss: -39.3452 | Entropy: 4.0248 | Invalid S/B: 0.62/0.00 | Max Load: 14.4 | Load Gap: 4.9
Epoch [6/2000] | Sampled: 776.12 | Baseline: 560.44 | Improvement: -215.69 | Win Rate: 0.00% | Actor Loss: -32.9364 | Entropy: 3.9953 | Invalid S/B: 0.31/0.00 | Max Load: 14.2 | Load Gap: 4.2
Epoch [7/2000] | Sampled: 787.69 | Baseline: 555.94 | Improvement: -231.75 | Win Rate: 0.00% | Actor Loss: -36.8023 | Entropy: 3.9853 | Invalid S/B: 0.62/0.00 | Max Load: 14.4 | Load Gap: 4.4
Epoch [8/2000] | Sampled: 792.38 | Baseline: 558.56 | Improvement: -233.81 | Win Rate: 0.00% | Actor Loss: -36.5897 | Entropy: 4.0074 | Invalid S/B: 0.62/0.00 | Max Load: 14.2 | Load Gap: 4.4
Epoch [9/2000] | Sampled: 795.31 | Baseline: 552.19 | Improvement: -243.12 | Win Rate: 0.00% | Actor Loss: -39.4439 | Entropy: 4.0180 | Invalid S/B: 0.44/0.00 | Max Load: 14.0 | Load Gap: 4.2
Epoch [10/2000] | Sampled: 773.06 | Baseline: 557.88 | Improvement: -215.19 | Win Rate: 0.00% | Actor Loss: -36.6345 | Entropy: 4.0365 | Invalid S/B: 0.50/0.00 | Max Load: 14.2 | Load Gap: 4.2
Epoch [11/2000] | Sampled: 766.81 | Baseline: 555.25 | Improvement: -211.56 | Win Rate: 0.00% | Actor Loss: -40.3923 | Entropy: 4.0325 | Invalid S/B: 0.31/0.00 | Max Load: 14.8 | Load Gap: 5.0
Epoch [12/2000] | Sampled: 770.50 | Baseline: 560.56 | Improvement: -209.94 | Win Rate: 0.00% | Actor Loss: -36.3084 | Entropy: 4.0416 | Invalid S/B: 0.19/0.00 | Max Load: 14.2 | Load Gap: 4.2
Epoch [13/2000] | Sampled: 780.31 | Baseline: 561.25 | Improvement: -219.06 | Win Rate: 0.00% | Actor Loss: -40.1749 | Entropy: 4.0324 | Invalid S/B: 0.69/0.00 | Max Load: 13.9 | Load Gap: 4.3
Epoch [14/2000] | Sampled: 766.56 | Baseline: 559.81 | Improvement: -206.75 | Win Rate: 0.00% | Actor Loss: -41.2398 | Entropy: 4.0610 | Invalid S/B: 0.31/0.00 | Max Load: 14.6 | Load Gap: 5.1
Epoch [15/2000] | Sampled: 744.81 | Baseline: 560.88 | Improvement: -183.94 | Win Rate: 0.00% | Actor Loss: -44.2987 | Entropy: 4.0534 | Invalid S/B: 0.25/0.00 | Max Load: 14.4 | Load Gap: 4.6
Epoch [16/2000] | Sampled: 744.75 | Baseline: 557.62 | Improvement: -187.12 | Win Rate: 0.00% | Actor Loss: -44.2311 | Entropy: 4.0775 | Invalid S/B: 0.12/0.00 | Max Load: 14.4 | Load Gap: 4.8
Epoch [17/2000] | Sampled: 765.25 | Baseline: 562.56 | Improvement: -202.69 | Win Rate: 0.00% | Actor Loss: -45.0820 | Entropy: 4.0910 | Invalid S/B: 0.38/0.00 | Max Load: 15.0 | Load Gap: 5.8
Epoch [18/2000] | Sampled: 770.69 | Baseline: 558.88 | Improvement: -211.81 | Win Rate: 0.00% | Actor Loss: -38.8212 | Entropy: 4.0745 | Invalid S/B: 0.38/0.00 | Max Load: 14.6 | Load Gap: 4.8
Epoch [19/2000] | Sampled: 749.81 | Baseline: 549.00 | Improvement: -200.81 | Win Rate: 0.00% | Actor Loss: -43.7897 | Entropy: 4.0768 | Invalid S/B: 0.12/0.00 | Max Load: 14.7 | Load Gap: 4.8
Epoch [20/2000] | Sampled: 749.00 | Baseline: 555.12 | Improvement: -193.88 | Win Rate: 0.00% | Actor Loss: -41.1010 | Entropy: 4.0826 | Invalid S/B: 0.25/0.00 | Max Load: 14.9 | Load Gap: 5.5
Epoch [21/2000] | Sampled: 780.38 | Baseline: 560.31 | Improvement: -220.06 | Win Rate: 0.00% | Actor Loss: -45.6025 | Entropy: 4.0617 | Invalid S/B: 0.44/0.00 | Max Load: 14.6 | Load Gap: 5.4
Epoch [22/2000] | Sampled: 758.25 | Baseline: 553.62 | Improvement: -204.62 | Win Rate: 0.00% | Actor Loss: -45.9081 | Entropy: 4.0725 | Invalid S/B: 0.38/0.00 | Max Load: 14.6 | Load Gap: 5.2
Epoch [23/2000] | Sampled: 777.31 | Baseline: 555.50 | Improvement: -221.81 | Win Rate: 0.00% | Actor Loss: -47.1499 | Entropy: 4.0659 | Invalid S/B: 0.38/0.00 | Max Load: 14.8 | Load Gap: 5.3
Epoch [24/2000] | Sampled: 748.44 | Baseline: 557.00 | Improvement: -191.44 | Win Rate: 0.00% | Actor Loss: -52.4547 | Entropy: 4.0528 | Invalid S/B: 0.25/0.00 | Max Load: 14.8 | Load Gap: 5.5
