Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 765.25 | Baseline: 552.50 | Improvement: -212.75 | Win Rate: 0.00% | Actor Loss: -37.9244 | Entropy: 4.0641 | Invalid S/B: 0.62/0.00 | Max Load: 14.3 | Load Gap: 4.9 | LR: 3.00e-04
   -> Validation | Samples: 50 | Makespan: 873.44 | Invalid Jobs: 0.36 | Score: 1233.44
   -> Saved new best model (Val Score: 1233.44)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/extend_GNN/extend_gnn_training_metrics.png
Epoch [2/2000] | Sampled: 783.62 | Baseline: 555.94 | Improvement: -227.69 | Win Rate: 0.00% | Actor Loss: -43.9934 | Entropy: 4.0107 | Invalid S/B: 0.62/0.00 | Max Load: 14.3 | Load Gap: 4.6 | LR: 3.00e-04
Epoch [3/2000] | Sampled: 787.44 | Baseline: 555.81 | Improvement: -231.62 | Win Rate: 0.00% | Actor Loss: -39.5405 | Entropy: 4.0188 | Invalid S/B: 0.31/0.00 | Max Load: 14.1 | Load Gap: 4.1 | LR: 3.00e-04
Epoch [4/2000] | Sampled: 769.19 | Baseline: 553.44 | Improvement: -215.75 | Win Rate: 0.00% | Actor Loss: -37.3271 | Entropy: 4.0776 | Invalid S/B: 0.50/0.00 | Max Load: 14.3 | Load Gap: 4.2 | LR: 3.00e-04
Epoch [5/2000] | Sampled: 782.19 | Baseline: 562.31 | Improvement: -219.88 | Win Rate: 0.00% | Actor Loss: -47.7689 | Entropy: 4.0893 | Invalid S/B: 0.38/0.00 | Max Load: 14.4 | Load Gap: 4.9 | LR: 3.00e-04
Epoch [6/2000] | Sampled: 760.69 | Baseline: 560.44 | Improvement: -200.25 | Win Rate: 0.00% | Actor Loss: -44.4690 | Entropy: 4.1017 | Invalid S/B: 0.19/0.00 | Max Load: 14.8 | Load Gap: 5.2 | LR: 3.00e-04
Epoch [7/2000] | Sampled: 761.50 | Baseline: 555.94 | Improvement: -205.56 | Win Rate: 0.00% | Actor Loss: -44.1921 | Entropy: 4.1153 | Invalid S/B: 0.44/0.00 | Max Load: 14.5 | Load Gap: 5.1 | LR: 3.00e-04
Epoch [8/2000] | Sampled: 742.50 | Baseline: 558.56 | Improvement: -183.94 | Win Rate: 0.00% | Actor Loss: -43.3695 | Entropy: 4.1226 | Invalid S/B: 0.06/0.00 | Max Load: 14.3 | Load Gap: 4.5 | LR: 3.00e-04
Epoch [9/2000] | Sampled: 823.19 | Baseline: 552.19 | Improvement: -271.00 | Win Rate: 0.00% | Actor Loss: -49.1806 | Entropy: 4.1694 | Invalid S/B: 0.31/0.00 | Max Load: 15.1 | Load Gap: 6.1 | LR: 3.00e-04
Epoch [10/2000] | Sampled: 808.75 | Baseline: 557.88 | Improvement: -250.88 | Win Rate: 0.00% | Actor Loss: -58.3877 | Entropy: 4.1709 | Invalid S/B: 0.44/0.00 | Max Load: 15.1 | Load Gap: 6.4 | LR: 3.00e-04
Epoch [11/2000] | Sampled: 776.19 | Baseline: 555.25 | Improvement: -220.94 | Win Rate: 0.00% | Actor Loss: -48.4736 | Entropy: 4.1493 | Invalid S/B: 0.31/0.00 | Max Load: 14.7 | Load Gap: 5.4 | LR: 3.00e-04
Epoch [12/2000] | Sampled: 771.62 | Baseline: 560.56 | Improvement: -211.06 | Win Rate: 0.00% | Actor Loss: -46.8276 | Entropy: 4.1186 | Invalid S/B: 0.19/0.00 | Max Load: 15.2 | Load Gap: 5.9 | LR: 3.00e-04
Epoch [13/2000] | Sampled: 842.69 | Baseline: 561.25 | Improvement: -281.44 | Win Rate: 0.00% | Actor Loss: -69.2152 | Entropy: 4.0800 | Invalid S/B: 0.31/0.00 | Max Load: 16.4 | Load Gap: 8.9 | LR: 3.00e-04
Epoch [14/2000] | Sampled: 798.38 | Baseline: 559.81 | Improvement: -238.56 | Win Rate: 0.00% | Actor Loss: -57.9067 | Entropy: 3.9400 | Invalid S/B: 0.19/0.00 | Max Load: 15.4 | Load Gap: 6.6 | LR: 3.00e-04
Epoch [15/2000] | Sampled: 800.25 | Baseline: 560.88 | Improvement: -239.38 | Win Rate: 0.00% | Actor Loss: -60.0705 | Entropy: 3.7781 | Invalid S/B: 0.25/0.00 | Max Load: 14.9 | Load Gap: 6.1 | LR: 3.00e-04
Epoch [16/2000] | Sampled: 837.50 | Baseline: 557.62 | Improvement: -279.88 | Win Rate: 0.00% | Actor Loss: -74.7446 | Entropy: 3.6241 | Invalid S/B: 0.00/0.00 | Max Load: 16.4 | Load Gap: 8.4 | LR: 3.00e-04
Epoch [17/2000] | Sampled: 858.69 | Baseline: 562.56 | Improvement: -296.12 | Win Rate: 0.00% | Actor Loss: -64.4268 | Entropy: 3.3739 | Invalid S/B: 0.06/0.00 | Max Load: 15.8 | Load Gap: 7.4 | LR: 3.00e-04
Epoch [18/2000] | Sampled: 877.50 | Baseline: 558.88 | Improvement: -318.62 | Win Rate: 0.00% | Actor Loss: -53.6587 | Entropy: 3.1615 | Invalid S/B: 0.12/0.00 | Max Load: 15.2 | Load Gap: 6.3 | LR: 3.00e-04
Epoch [19/2000] | Sampled: 936.00 | Baseline: 549.00 | Improvement: -387.00 | Win Rate: 0.00% | Actor Loss: -70.7008 | Entropy: 2.9406 | Invalid S/B: 0.19/0.00 | Max Load: 16.2 | Load Gap: 8.2 | LR: 3.00e-04
Epoch [20/2000] | Sampled: 957.00 | Baseline: 555.12 | Improvement: -401.88 | Win Rate: 0.00% | Actor Loss: -69.1518 | Entropy: 2.7616 | Invalid S/B: 0.00/0.00 | Max Load: 16.6 | Load Gap: 8.7 | LR: 3.00e-04
Epoch [21/2000] | Sampled: 957.50 | Baseline: 560.31 | Improvement: -397.19 | Win Rate: 0.00% | Actor Loss: -56.2253 | Entropy: 2.5864 | Invalid S/B: 0.06/0.00 | Max Load: 15.6 | Load Gap: 7.4 | LR: 3.00e-04
Epoch [22/2000] | Sampled: 928.12 | Baseline: 553.62 | Improvement: -374.50 | Win Rate: 0.00% | Actor Loss: -50.0385 | Entropy: 2.6154 | Invalid S/B: 0.06/0.00 | Max Load: 15.3 | Load Gap: 6.9 | LR: 3.00e-04
Epoch [23/2000] | Sampled: 915.31 | Baseline: 555.50 | Improvement: -359.81 | Win Rate: 0.00% | Actor Loss: -51.2217 | Entropy: 2.7460 | Invalid S/B: 0.12/0.00 | Max Load: 15.6 | Load Gap: 7.6 | LR: 3.00e-04
Epoch [24/2000] | Sampled: 901.56 | Baseline: 557.00 | Improvement: -344.56 | Win Rate: 0.00% | Actor Loss: -60.2031 | Entropy: 2.8320 | Invalid S/B: 0.06/0.00 | Max Load: 16.0 | Load Gap: 7.8 | LR: 3.00e-04
Epoch [25/2000] | Sampled: 911.69 | Baseline: 565.00 | Improvement: -346.69 | Win Rate: 0.00% | Actor Loss: -49.6844 | Entropy: 2.7749 | Invalid S/B: 0.00/0.00 | Max Load: 15.3 | Load Gap: 6.5 | LR: 3.00e-04
   -> Validation | Samples: 50 | Makespan: 603.22 | Invalid Jobs: 0.00 | Score: 603.22
   -> Saved new best model (Val Score: 603.22)
Epoch [26/2000] | Sampled: 931.38 | Baseline: 560.94 | Improvement: -370.44 | Win Rate: 0.00% | Actor Loss: -42.8229 | Entropy: 2.5600 | Invalid S/B: 0.12/0.00 | Max Load: 16.1 | Load Gap: 7.4 | LR: 3.00e-04
Epoch [27/2000] | Sampled: 918.56 | Baseline: 555.88 | Improvement: -362.69 | Win Rate: 0.00% | Actor Loss: -55.1707 | Entropy: 2.4932 | Invalid S/B: 0.12/0.00 | Max Load: 15.2 | Load Gap: 6.6 | LR: 3.00e-04
Epoch [28/2000] | Sampled: 926.44 | Baseline: 558.38 | Improvement: -368.06 | Win Rate: 0.00% | Actor Loss: -54.2636 | Entropy: 2.3861 | Invalid S/B: 0.00/0.00 | Max Load: 15.5 | Load Gap: 7.0 | LR: 3.00e-04
Epoch [29/2000] | Sampled: 929.38 | Baseline: 565.25 | Improvement: -364.12 | Win Rate: 0.00% | Actor Loss: -50.9443 | Entropy: 2.3588 | Invalid S/B: 0.12/0.00 | Max Load: 15.4 | Load Gap: 6.7 | LR: 3.00e-04
Epoch [30/2000] | Sampled: 944.06 | Baseline: 563.06 | Improvement: -381.00 | Win Rate: 0.00% | Actor Loss: -50.6923 | Entropy: 2.2926 | Invalid S/B: 0.06/0.00 | Max Load: 15.3 | Load Gap: 6.2 | LR: 3.00e-04
Epoch [31/2000] | Sampled: 961.12 | Baseline: 560.81 | Improvement: -400.31 | Win Rate: 0.00% | Actor Loss: -51.2510 | Entropy: 2.2379 | Invalid S/B: 0.19/0.00 | Max Load: 15.8 | Load Gap: 7.6 | LR: 3.00e-04
Epoch [32/2000] | Sampled: 940.75 | Baseline: 562.25 | Improvement: -378.50 | Win Rate: 0.00% | Actor Loss: -43.6728 | Entropy: 2.2385 | Invalid S/B: 0.00/0.00 | Max Load: 16.3 | Load Gap: 7.6 | LR: 3.00e-04
Epoch [33/2000] | Sampled: 932.75 | Baseline: 557.56 | Improvement: -375.19 | Win Rate: 0.00% | Actor Loss: -59.6726 | Entropy: 2.1647 | Invalid S/B: 0.00/0.00 | Max Load: 15.4 | Load Gap: 6.7 | LR: 3.00e-04
Epoch [34/2000] | Sampled: 948.44 | Baseline: 558.06 | Improvement: -390.38 | Win Rate: 0.00% | Actor Loss: -48.5872 | Entropy: 2.1277 | Invalid S/B: 0.06/0.00 | Max Load: 15.9 | Load Gap: 7.4 | LR: 3.00e-04
Epoch [35/2000] | Sampled: 957.19 | Baseline: 559.50 | Improvement: -397.69 | Win Rate: 0.00% | Actor Loss: -46.6915 | Entropy: 2.0956 | Invalid S/B: 0.12/0.00 | Max Load: 15.7 | Load Gap: 7.1 | LR: 3.00e-04
Epoch [36/2000] | Sampled: 890.00 | Baseline: 553.56 | Improvement: -336.44 | Win Rate: 0.00% | Actor Loss: -36.9236 | Entropy: 2.0472 | Invalid S/B: 0.00/0.00 | Max Load: 15.1 | Load Gap: 5.2 | LR: 3.00e-04
Epoch [37/2000] | Sampled: 885.06 | Baseline: 552.44 | Improvement: -332.62 | Win Rate: 0.00% | Actor Loss: -50.1661 | Entropy: 2.0442 | Invalid S/B: 0.00/0.00 | Max Load: 15.9 | Load Gap: 6.9 | LR: 3.00e-04
Epoch [38/2000] | Sampled: 941.06 | Baseline: 552.12 | Improvement: -388.94 | Win Rate: 0.00% | Actor Loss: -40.2150 | Entropy: 2.1019 | Invalid S/B: 0.00/0.00 | Max Load: 16.1 | Load Gap: 7.5 | LR: 3.00e-04
Epoch [39/2000] | Sampled: 886.69 | Baseline: 557.06 | Improvement: -329.62 | Win Rate: 0.00% | Actor Loss: -33.2883 | Entropy: 2.2508 | Invalid S/B: 0.00/0.00 | Max Load: 15.6 | Load Gap: 6.6 | LR: 3.00e-04
Epoch [40/2000] | Sampled: 965.94 | Baseline: 567.88 | Improvement: -398.06 | Win Rate: 0.00% | Actor Loss: -53.7876 | Entropy: 2.5774 | Invalid S/B: 0.06/0.00 | Max Load: 16.2 | Load Gap: 7.2 | LR: 3.00e-04
Epoch [41/2000] | Sampled: 854.94 | Baseline: 550.81 | Improvement: -304.12 | Win Rate: 0.00% | Actor Loss: -49.6283 | Entropy: 2.7118 | Invalid S/B: 0.00/0.00 | Max Load: 16.1 | Load Gap: 7.2 | LR: 3.00e-04
Epoch [42/2000] | Sampled: 838.38 | Baseline: 553.38 | Improvement: -285.00 | Win Rate: 0.00% | Actor Loss: -56.1501 | Entropy: 2.7379 | Invalid S/B: 0.00/0.00 | Max Load: 14.9 | Load Gap: 5.9 | LR: 3.00e-04
Epoch [43/2000] | Sampled: 825.00 | Baseline: 556.06 | Improvement: -268.94 | Win Rate: 0.00% | Actor Loss: -54.3519 | Entropy: 2.6424 | Invalid S/B: 0.00/0.00 | Max Load: 14.5 | Load Gap: 5.4 | LR: 3.00e-04
Epoch [44/2000] | Sampled: 865.56 | Baseline: 558.69 | Improvement: -306.88 | Win Rate: 0.00% | Actor Loss: -34.5938 | Entropy: 2.3541 | Invalid S/B: 0.00/0.00 | Max Load: 15.3 | Load Gap: 5.9 | LR: 3.00e-04
Epoch [45/2000] | Sampled: 832.12 | Baseline: 555.69 | Improvement: -276.44 | Win Rate: 0.00% | Actor Loss: -32.9076 | Entropy: 2.2683 | Invalid S/B: 0.00/0.00 | Max Load: 14.6 | Load Gap: 5.0 | LR: 3.00e-04
Epoch [46/2000] | Sampled: 840.50 | Baseline: 553.62 | Improvement: -286.88 | Win Rate: 0.00% | Actor Loss: -47.3810 | Entropy: 2.1435 | Invalid S/B: 0.00/0.00 | Max Load: 14.8 | Load Gap: 5.3 | LR: 3.00e-04
Epoch [47/2000] | Sampled: 826.94 | Baseline: 552.88 | Improvement: -274.06 | Win Rate: 0.00% | Actor Loss: -38.1820 | Entropy: 2.0536 | Invalid S/B: 0.00/0.00 | Max Load: 14.5 | Load Gap: 5.3 | LR: 3.00e-04
Epoch [48/2000] | Sampled: 837.00 | Baseline: 570.06 | Improvement: -266.94 | Win Rate: 0.00% | Actor Loss: -30.5541 | Entropy: 2.0765 | Invalid S/B: 0.00/0.06 | Max Load: 14.6 | Load Gap: 5.2 | LR: 3.00e-04
Epoch [49/2000] | Sampled: 797.56 | Baseline: 559.44 | Improvement: -238.12 | Win Rate: 0.00% | Actor Loss: -24.6321 | Entropy: 2.1116 | Invalid S/B: 0.00/0.00 | Max Load: 13.9 | Load Gap: 3.7 | LR: 3.00e-04
Epoch [50/2000] | Sampled: 821.00 | Baseline: 548.00 | Improvement: -273.00 | Win Rate: 0.00% | Actor Loss: -31.3830 | Entropy: 2.1054 | Invalid S/B: 0.00/0.00 | Max Load: 14.7 | Load Gap: 5.1 | LR: 3.00e-04
   -> Validation | Samples: 50 | Makespan: 576.98 | Invalid Jobs: 0.00 | Score: 576.98
   -> Saved new best model (Val Score: 576.98)
Epoch [51/2000] | Sampled: 783.50 | Baseline: 546.75 | Improvement: -236.75 | Win Rate: 0.00% | Actor Loss: -47.7840 | Entropy: 2.0969 | Invalid S/B: 0.00/0.00 | Max Load: 14.2 | Load Gap: 4.3 | LR: 3.00e-04
Epoch [52/2000] | Sampled: 802.06 | Baseline: 558.00 | Improvement: -244.06 | Win Rate: 0.00% | Actor Loss: -38.6726 | Entropy: 2.1057 | Invalid S/B: 0.00/0.00 | Max Load: 14.1 | Load Gap: 3.9 | LR: 3.00e-04
Epoch [53/2000] | Sampled: 790.56 | Baseline: 559.00 | Improvement: -231.56 | Win Rate: 0.00% | Actor Loss: -31.0205 | Entropy: 2.0890 | Invalid S/B: 0.00/0.00 | Max Load: 13.9 | Load Gap: 3.8 | LR: 3.00e-04
