Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'milk_run+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1065.50 | Baseline: 584.06 | Improvement: -481.44 | Win Rate: 0.00% | Actor Loss: -42.0622 | Entropy: 3.7748 | Invalid S/B: 0.00/0.00 | Max Load: 23.2 | Load Gap: 6.1
   -> Validation | Samples: 50 | Makespan: 1181.44 | Invalid Jobs: 0.00 | Score: 1181.44
   -> Saved new best model (Val Score: 1181.44)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/2000] | Sampled: 1045.62 | Baseline: 584.38 | Improvement: -461.25 | Win Rate: 0.00% | Actor Loss: -41.0959 | Entropy: 3.7707 | Invalid S/B: 0.19/0.00 | Max Load: 22.5 | Load Gap: 5.0
Epoch [3/2000] | Sampled: 999.31 | Baseline: 584.38 | Improvement: -414.94 | Win Rate: 0.00% | Actor Loss: -41.4747 | Entropy: 3.7677 | Invalid S/B: 0.00/0.00 | Max Load: 22.2 | Load Gap: 4.7
Epoch [4/2000] | Sampled: 984.25 | Baseline: 575.62 | Improvement: -408.62 | Win Rate: 0.00% | Actor Loss: -38.2683 | Entropy: 3.6737 | Invalid S/B: 0.06/0.00 | Max Load: 22.3 | Load Gap: 4.7
Epoch [5/2000] | Sampled: 988.62 | Baseline: 597.50 | Improvement: -391.12 | Win Rate: 0.00% | Actor Loss: -47.2122 | Entropy: 3.4923 | Invalid S/B: 0.06/0.00 | Max Load: 22.0 | Load Gap: 3.9
Epoch [6/2000] | Sampled: 1005.00 | Baseline: 592.19 | Improvement: -412.81 | Win Rate: 0.00% | Actor Loss: -49.5312 | Entropy: 3.3022 | Invalid S/B: 0.06/0.00 | Max Load: 21.6 | Load Gap: 3.3
Epoch [7/2000] | Sampled: 985.50 | Baseline: 575.94 | Improvement: -409.56 | Win Rate: 0.00% | Actor Loss: -44.9210 | Entropy: 2.9546 | Invalid S/B: 0.06/0.00 | Max Load: 21.3 | Load Gap: 2.7
Epoch [8/2000] | Sampled: 948.81 | Baseline: 590.44 | Improvement: -358.38 | Win Rate: 0.00% | Actor Loss: -19.0615 | Entropy: 2.6732 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.6
