Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'milk_run+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1051.19 | Baseline: 584.06 | Improvement: -467.12 | Win Rate: 0.00% | Actor Loss: -35.5779 | Entropy: 3.7057 | Invalid S/B: 0.12/0.00 | Max Load: 23.0 | Load Gap: 5.9
   -> Validation | Samples: 50 | Makespan: 1101.56 | Invalid Jobs: 0.02 | Score: 1121.56
   -> Saved new best model (Val Score: 1121.56)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/2000] | Sampled: 1026.62 | Baseline: 584.38 | Improvement: -442.25 | Win Rate: 0.00% | Actor Loss: -33.5186 | Entropy: 3.7421 | Invalid S/B: 0.12/0.00 | Max Load: 22.1 | Load Gap: 4.1
Epoch [3/2000] | Sampled: 1024.06 | Baseline: 584.38 | Improvement: -439.69 | Win Rate: 0.00% | Actor Loss: -52.7658 | Entropy: 3.7403 | Invalid S/B: 0.06/0.00 | Max Load: 22.1 | Load Gap: 4.9
Epoch [4/2000] | Sampled: 1084.19 | Baseline: 575.62 | Improvement: -508.56 | Win Rate: 0.00% | Actor Loss: -57.4499 | Entropy: 3.4905 | Invalid S/B: 0.12/0.00 | Max Load: 22.9 | Load Gap: 5.8
Epoch [5/2000] | Sampled: 1133.62 | Baseline: 597.50 | Improvement: -536.12 | Win Rate: 0.00% | Actor Loss: -86.7469 | Entropy: 3.0075 | Invalid S/B: 0.06/0.00 | Max Load: 22.5 | Load Gap: 4.8
Epoch [6/2000] | Sampled: 1216.50 | Baseline: 592.19 | Improvement: -624.31 | Win Rate: 0.00% | Actor Loss: -115.6838 | Entropy: 2.5164 | Invalid S/B: 0.00/0.00 | Max Load: 22.4 | Load Gap: 4.9
Epoch [7/2000] | Sampled: 1239.50 | Baseline: 575.94 | Improvement: -663.56 | Win Rate: 0.00% | Actor Loss: -133.3461 | Entropy: 2.2539 | Invalid S/B: 0.00/0.00 | Max Load: 22.0 | Load Gap: 4.0
Epoch [8/2000] | Sampled: 1163.38 | Baseline: 590.44 | Improvement: -572.94 | Win Rate: 0.00% | Actor Loss: -112.5466 | Entropy: 2.1387 | Invalid S/B: 0.00/0.00 | Max Load: 22.3 | Load Gap: 4.4
Epoch [9/2000] | Sampled: 1132.06 | Baseline: 576.38 | Improvement: -555.69 | Win Rate: 0.00% | Actor Loss: -105.2126 | Entropy: 2.2310 | Invalid S/B: 0.00/0.00 | Max Load: 21.8 | Load Gap: 3.4
Epoch [10/2000] | Sampled: 1148.81 | Baseline: 583.19 | Improvement: -565.62 | Win Rate: 0.00% | Actor Loss: -109.3261 | Entropy: 2.2147 | Invalid S/B: 0.31/0.00 | Max Load: 22.1 | Load Gap: 4.2
