Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'milk_run+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1030.12 | Baseline: 584.06 | Improvement: -446.06 | Win Rate: 0.00% | Actor Loss: -35.2731 | Entropy: 3.6704 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.3 | LR: 3.00e-04
   -> Validation | Samples: 50 | Makespan: 1387.40 | Invalid Jobs: 0.98 | Score: 2367.40
   -> Saved new best model (Val Score: 2367.40)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/extend_GNN/extend_gnn_training_metrics.png
Epoch [2/2000] | Sampled: 1036.06 | Baseline: 584.38 | Improvement: -451.69 | Win Rate: 0.00% | Actor Loss: -38.4245 | Entropy: 3.7304 | Invalid S/B: 0.12/0.00 | Max Load: 22.8 | Load Gap: 5.2 | LR: 3.00e-04
Epoch [3/2000] | Sampled: 1013.19 | Baseline: 584.38 | Improvement: -428.81 | Win Rate: 0.00% | Actor Loss: -45.6658 | Entropy: 3.7751 | Invalid S/B: 0.12/0.00 | Max Load: 23.8 | Load Gap: 6.8 | LR: 3.00e-04
Epoch [4/2000] | Sampled: 1032.25 | Baseline: 575.62 | Improvement: -456.62 | Win Rate: 0.00% | Actor Loss: -39.6709 | Entropy: 3.8096 | Invalid S/B: 0.19/0.00 | Max Load: 23.1 | Load Gap: 6.0 | LR: 3.00e-04
Epoch [5/2000] | Sampled: 1042.94 | Baseline: 597.50 | Improvement: -445.44 | Win Rate: 0.00% | Actor Loss: -43.2048 | Entropy: 3.8039 | Invalid S/B: 0.06/0.00 | Max Load: 22.4 | Load Gap: 5.0 | LR: 3.00e-04
Epoch [6/2000] | Sampled: 1068.31 | Baseline: 592.19 | Improvement: -476.12 | Win Rate: 0.00% | Actor Loss: -55.4829 | Entropy: 3.7542 | Invalid S/B: 0.00/0.00 | Max Load: 23.6 | Load Gap: 6.8 | LR: 3.00e-04
Epoch [7/2000] | Sampled: 1073.50 | Baseline: 575.94 | Improvement: -497.56 | Win Rate: 0.00% | Actor Loss: -52.4861 | Entropy: 3.7059 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.5 | LR: 3.00e-04
Epoch [8/2000] | Sampled: 1086.38 | Baseline: 590.44 | Improvement: -495.94 | Win Rate: 0.00% | Actor Loss: -59.2428 | Entropy: 3.5982 | Invalid S/B: 0.00/0.00 | Max Load: 23.9 | Load Gap: 7.4 | LR: 3.00e-04
Epoch [9/2000] | Sampled: 1100.50 | Baseline: 576.38 | Improvement: -524.12 | Win Rate: 0.00% | Actor Loss: -70.8276 | Entropy: 3.4871 | Invalid S/B: 0.06/0.00 | Max Load: 23.1 | Load Gap: 6.1 | LR: 3.00e-04
Epoch [10/2000] | Sampled: 1137.62 | Baseline: 583.19 | Improvement: -554.44 | Win Rate: 0.00% | Actor Loss: -74.1858 | Entropy: 3.2899 | Invalid S/B: 0.19/0.00 | Max Load: 23.4 | Load Gap: 6.9 | LR: 3.00e-04
Epoch [11/2000] | Sampled: 1166.19 | Baseline: 579.69 | Improvement: -586.50 | Win Rate: 0.00% | Actor Loss: -87.0528 | Entropy: 3.1135 | Invalid S/B: 0.00/0.00 | Max Load: 23.4 | Load Gap: 6.1 | LR: 3.00e-04
Epoch [12/2000] | Sampled: 1225.69 | Baseline: 606.25 | Improvement: -619.44 | Win Rate: 0.00% | Actor Loss: -87.2942 | Entropy: 2.8815 | Invalid S/B: 0.12/0.00 | Max Load: 23.4 | Load Gap: 6.2 | LR: 3.00e-04
Epoch [13/2000] | Sampled: 1258.62 | Baseline: 586.12 | Improvement: -672.50 | Win Rate: 0.00% | Actor Loss: -111.2446 | Entropy: 2.6448 | Invalid S/B: 0.06/0.00 | Max Load: 23.1 | Load Gap: 6.1 | LR: 3.00e-04
Epoch [14/2000] | Sampled: 1336.81 | Baseline: 592.00 | Improvement: -744.81 | Win Rate: 0.00% | Actor Loss: -156.8941 | Entropy: 2.4706 | Invalid S/B: 0.00/0.00 | Max Load: 24.1 | Load Gap: 8.4 | LR: 3.00e-04
Epoch [15/2000] | Sampled: 1298.44 | Baseline: 589.44 | Improvement: -709.00 | Win Rate: 0.00% | Actor Loss: -143.9656 | Entropy: 2.3254 | Invalid S/B: 0.06/0.00 | Max Load: 22.7 | Load Gap: 4.9 | LR: 3.00e-04
Epoch [16/2000] | Sampled: 1328.69 | Baseline: 578.50 | Improvement: -750.19 | Win Rate: 0.00% | Actor Loss: -146.6444 | Entropy: 2.2298 | Invalid S/B: 0.12/0.00 | Max Load: 22.5 | Load Gap: 5.2 | LR: 3.00e-04
