Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/500] | Sampled: 382.94 | Baseline: 264.84 | Improvement: -118.09 | Win Rate: 0.00% | Actor Loss: 3.0666 | Entropy: 3.2135 | Invalid S/B: 0.00/0.00 | Max Load: 9.0 | Load Gap: 4.4
   -> Validation | Samples: 50 | Makespan: 269.42 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 269.42)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/500] | Sampled: 339.44 | Baseline: 266.44 | Improvement: -73.00 | Win Rate: 0.00% | Actor Loss: 1.4806 | Entropy: 3.2049 | Invalid S/B: 0.00/0.00 | Max Load: 8.2 | Load Gap: 3.2
Epoch [3/500] | Sampled: 327.78 | Baseline: 264.66 | Improvement: -63.12 | Win Rate: 3.12% | Actor Loss: 0.4414 | Entropy: 3.1809 | Invalid S/B: 0.00/0.00 | Max Load: 8.0 | Load Gap: 2.8
Epoch [4/500] | Sampled: 326.16 | Baseline: 262.31 | Improvement: -63.84 | Win Rate: 0.00% | Actor Loss: 0.3794 | Entropy: 3.1417 | Invalid S/B: 0.00/0.00 | Max Load: 7.9 | Load Gap: 2.4
Epoch [5/500] | Sampled: 308.66 | Baseline: 263.25 | Improvement: -45.41 | Win Rate: 3.12% | Actor Loss: -1.0830 | Entropy: 3.0913 | Invalid S/B: 0.00/0.00 | Max Load: 7.7 | Load Gap: 2.2
Epoch [6/500] | Sampled: 293.78 | Baseline: 268.47 | Improvement: -25.31 | Win Rate: 9.38% | Actor Loss: -1.3111 | Entropy: 3.0237 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [7/500] | Sampled: 277.16 | Baseline: 269.00 | Improvement: -8.16 | Win Rate: 34.38% | Actor Loss: -2.3091 | Entropy: 2.9230 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.5
Epoch [8/500] | Sampled: 277.81 | Baseline: 264.09 | Improvement: -13.72 | Win Rate: 18.75% | Actor Loss: -1.1029 | Entropy: 2.7785 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 274.75 | Baseline: 264.66 | Improvement: -10.09 | Win Rate: 25.00% | Actor Loss: -2.8082 | Entropy: 2.5901 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [10/500] | Sampled: 269.81 | Baseline: 264.19 | Improvement: -5.62 | Win Rate: 34.38% | Actor Loss: -1.0203 | Entropy: 2.4045 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [11/500] | Sampled: 269.00 | Baseline: 266.59 | Improvement: -2.41 | Win Rate: 40.62% | Actor Loss: -0.2449 | Entropy: 2.2774 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [12/500] | Sampled: 270.88 | Baseline: 263.88 | Improvement: -7.00 | Win Rate: 25.00% | Actor Loss: 0.0079 | Entropy: 2.2364 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [13/500] | Sampled: 266.06 | Baseline: 264.25 | Improvement: -1.81 | Win Rate: 31.25% | Actor Loss: -0.3743 | Entropy: 2.2187 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [14/500] | Sampled: 272.31 | Baseline: 265.94 | Improvement: -6.38 | Win Rate: 40.62% | Actor Loss: -0.2798 | Entropy: 2.2112 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [15/500] | Sampled: 267.47 | Baseline: 266.25 | Improvement: -1.22 | Win Rate: 40.62% | Actor Loss: -0.4893 | Entropy: 2.2101 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
