Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/500] | Sampled: 382.94 | Baseline: 264.84 | Improvement: -118.09 | Win Rate: 0.00% | Actor Loss: 3.0669 | Entropy: 3.2135 | Invalid S/B: 0.00/0.00 | Max Load: 9.0 | Load Gap: 4.4
   -> Validation | Samples: 50 | Makespan: 268.16 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 268.16)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/500] | Sampled: 337.28 | Baseline: 266.44 | Improvement: -70.84 | Win Rate: 0.00% | Actor Loss: 1.3757 | Entropy: 3.2052 | Invalid S/B: 0.00/0.00 | Max Load: 8.2 | Load Gap: 3.1
Epoch [3/500] | Sampled: 328.28 | Baseline: 264.66 | Improvement: -63.62 | Win Rate: 3.12% | Actor Loss: 0.6306 | Entropy: 3.1811 | Invalid S/B: 0.00/0.00 | Max Load: 8.0 | Load Gap: 2.7
Epoch [4/500] | Sampled: 326.69 | Baseline: 262.31 | Improvement: -64.38 | Win Rate: 0.00% | Actor Loss: 0.5084 | Entropy: 3.1411 | Invalid S/B: 0.00/0.00 | Max Load: 8.0 | Load Gap: 2.4
Epoch [5/500] | Sampled: 310.47 | Baseline: 263.25 | Improvement: -47.22 | Win Rate: 3.12% | Actor Loss: -1.3648 | Entropy: 3.0889 | Invalid S/B: 0.00/0.00 | Max Load: 7.8 | Load Gap: 2.3
Epoch [6/500] | Sampled: 293.91 | Baseline: 268.47 | Improvement: -25.44 | Win Rate: 15.62% | Actor Loss: -1.4007 | Entropy: 3.0188 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.4
Epoch [7/500] | Sampled: 276.12 | Baseline: 269.00 | Improvement: -7.12 | Win Rate: 34.38% | Actor Loss: -1.7750 | Entropy: 2.9221 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [8/500] | Sampled: 280.59 | Baseline: 264.09 | Improvement: -16.50 | Win Rate: 18.75% | Actor Loss: -1.1892 | Entropy: 2.7807 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [9/500] | Sampled: 276.47 | Baseline: 264.66 | Improvement: -11.81 | Win Rate: 18.75% | Actor Loss: -2.5323 | Entropy: 2.5870 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [10/500] | Sampled: 270.16 | Baseline: 264.19 | Improvement: -5.97 | Win Rate: 34.38% | Actor Loss: -2.3227 | Entropy: 2.3978 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [11/500] | Sampled: 268.94 | Baseline: 266.59 | Improvement: -2.34 | Win Rate: 43.75% | Actor Loss: -0.5980 | Entropy: 2.2614 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [12/500] | Sampled: 268.59 | Baseline: 263.88 | Improvement: -4.72 | Win Rate: 31.25% | Actor Loss: -0.7324 | Entropy: 2.2237 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [13/500] | Sampled: 264.34 | Baseline: 264.25 | Improvement: -0.09 | Win Rate: 40.62% | Actor Loss: -0.8647 | Entropy: 2.2009 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [14/500] | Sampled: 270.41 | Baseline: 265.94 | Improvement: -4.47 | Win Rate: 34.38% | Actor Loss: -0.4931 | Entropy: 2.1781 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [15/500] | Sampled: 267.94 | Baseline: 266.25 | Improvement: -1.69 | Win Rate: 43.75% | Actor Loss: -0.5503 | Entropy: 2.1642 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
