Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/500] | Sampled: 366.28 | Baseline: 264.84 | Improvement: -101.44 | Win Rate: 0.00% | Job Loss: 3.0608 | AMR Loss: 0.1750 | Entropy: 3.2127 | Invalid S/B: 0.00/0.00 | Max Load: 9.1 | Load Gap: 4.7
   -> Validation | Samples: 50 | Makespan: 277.52 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 277.52)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/500] | Sampled: 363.41 | Baseline: 266.44 | Improvement: -96.97 | Win Rate: 0.00% | Job Loss: 2.8509 | AMR Loss: -0.5828 | Entropy: 3.1683 | Invalid S/B: 0.03/0.00 | Max Load: 8.7 | Load Gap: 4.1
Epoch [3/500] | Sampled: 344.62 | Baseline: 264.66 | Improvement: -79.97 | Win Rate: 0.00% | Job Loss: 2.0449 | AMR Loss: -0.8776 | Entropy: 3.1413 | Invalid S/B: 0.00/0.00 | Max Load: 8.5 | Load Gap: 3.6
Epoch [4/500] | Sampled: 327.28 | Baseline: 262.31 | Improvement: -64.97 | Win Rate: 6.25% | Job Loss: 2.4587 | AMR Loss: -0.9501 | Entropy: 3.0439 | Invalid S/B: 0.00/0.00 | Max Load: 8.1 | Load Gap: 2.8
Epoch [5/500] | Sampled: 333.41 | Baseline: 263.25 | Improvement: -70.16 | Win Rate: 0.00% | Job Loss: 2.6532 | AMR Loss: -1.4999 | Entropy: 3.1287 | Invalid S/B: 0.06/0.00 | Max Load: 7.9 | Load Gap: 2.6
Epoch [6/500] | Sampled: 328.12 | Baseline: 268.47 | Improvement: -59.66 | Win Rate: 3.12% | Job Loss: 1.7875 | AMR Loss: -1.5214 | Entropy: 3.1241 | Invalid S/B: 0.00/0.00 | Max Load: 8.1 | Load Gap: 3.0
Epoch [7/500] | Sampled: 322.97 | Baseline: 269.00 | Improvement: -53.97 | Win Rate: 0.00% | Job Loss: 2.2911 | AMR Loss: -2.0829 | Entropy: 3.1339 | Invalid S/B: 0.00/0.00 | Max Load: 7.6 | Load Gap: 2.1
Epoch [8/500] | Sampled: 312.94 | Baseline: 264.09 | Improvement: -48.84 | Win Rate: 3.12% | Job Loss: 1.9847 | AMR Loss: -1.9878 | Entropy: 3.1071 | Invalid S/B: 0.03/0.00 | Max Load: 7.6 | Load Gap: 1.9
Epoch [9/500] | Sampled: 313.47 | Baseline: 264.66 | Improvement: -48.81 | Win Rate: 3.12% | Job Loss: 2.1829 | AMR Loss: -2.6507 | Entropy: 3.0714 | Invalid S/B: 0.00/0.00 | Max Load: 7.8 | Load Gap: 2.3
Epoch [10/500] | Sampled: 302.41 | Baseline: 264.19 | Improvement: -38.22 | Win Rate: 3.12% | Job Loss: 0.4463 | AMR Loss: -3.6568 | Entropy: 3.0218 | Invalid S/B: 0.00/0.00 | Max Load: 7.5 | Load Gap: 1.8
Epoch [11/500] | Sampled: 306.75 | Baseline: 266.59 | Improvement: -40.16 | Win Rate: 0.00% | Job Loss: 1.2430 | AMR Loss: -2.5998 | Entropy: 2.9674 | Invalid S/B: 0.00/0.00 | Max Load: 7.7 | Load Gap: 2.0
Epoch [12/500] | Sampled: 301.88 | Baseline: 263.88 | Improvement: -38.00 | Win Rate: 3.12% | Job Loss: 0.2785 | AMR Loss: -3.4105 | Entropy: 2.9157 | Invalid S/B: 0.03/0.00 | Max Load: 7.8 | Load Gap: 2.1
Epoch [13/500] | Sampled: 293.44 | Baseline: 264.25 | Improvement: -29.19 | Win Rate: 12.50% | Job Loss: 0.4042 | AMR Loss: -2.8451 | Entropy: 2.8511 | Invalid S/B: 0.00/0.00 | Max Load: 7.4 | Load Gap: 1.6
Epoch [14/500] | Sampled: 293.75 | Baseline: 265.94 | Improvement: -27.81 | Win Rate: 3.12% | Job Loss: 1.0283 | AMR Loss: -3.7214 | Entropy: 2.7114 | Invalid S/B: 0.00/0.00 | Max Load: 7.4 | Load Gap: 1.6
Epoch [15/500] | Sampled: 290.09 | Baseline: 266.25 | Improvement: -23.84 | Win Rate: 6.25% | Job Loss: 0.8806 | AMR Loss: -3.1138 | Entropy: 2.6556 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.4
Epoch [16/500] | Sampled: 291.41 | Baseline: 264.78 | Improvement: -26.62 | Win Rate: 12.50% | Job Loss: 0.4557 | AMR Loss: -2.6756 | Entropy: 2.6635 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.5
Epoch [17/500] | Sampled: 288.03 | Baseline: 266.62 | Improvement: -21.41 | Win Rate: 12.50% | Job Loss: 0.0071 | AMR Loss: -3.2988 | Entropy: 2.5824 | Invalid S/B: 0.00/0.00 | Max Load: 7.5 | Load Gap: 1.8
Epoch [18/500] | Sampled: 284.22 | Baseline: 266.47 | Improvement: -17.75 | Win Rate: 15.62% | Job Loss: 0.0801 | AMR Loss: -3.0061 | Entropy: 2.4665 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [19/500] | Sampled: 278.03 | Baseline: 262.53 | Improvement: -15.50 | Win Rate: 18.75% | Job Loss: 1.5159 | AMR Loss: -2.8634 | Entropy: 2.3900 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.4
Epoch [20/500] | Sampled: 279.94 | Baseline: 268.94 | Improvement: -11.00 | Win Rate: 15.62% | Job Loss: 0.2532 | AMR Loss: -2.1060 | Entropy: 2.3335 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [21/500] | Sampled: 278.56 | Baseline: 263.69 | Improvement: -14.88 | Win Rate: 12.50% | Job Loss: 0.3380 | AMR Loss: -2.0193 | Entropy: 2.3159 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.4
Epoch [22/500] | Sampled: 274.56 | Baseline: 264.06 | Improvement: -10.50 | Win Rate: 28.12% | Job Loss: -0.1968 | AMR Loss: -1.2850 | Entropy: 2.3424 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [23/500] | Sampled: 268.91 | Baseline: 264.00 | Improvement: -4.91 | Win Rate: 40.62% | Job Loss: 0.4436 | AMR Loss: -1.0515 | Entropy: 2.3496 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [24/500] | Sampled: 272.19 | Baseline: 266.44 | Improvement: -5.75 | Win Rate: 37.50% | Job Loss: 0.3423 | AMR Loss: -1.4665 | Entropy: 2.3715 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 274.59 | Baseline: 266.06 | Improvement: -8.53 | Win Rate: 37.50% | Job Loss: 1.1769 | AMR Loss: -2.4181 | Entropy: 2.4211 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [26/500] | Sampled: 278.50 | Baseline: 265.91 | Improvement: -12.59 | Win Rate: 15.62% | Job Loss: -0.7986 | AMR Loss: -2.8621 | Entropy: 2.4846 | Invalid S/B: 0.03/0.00 | Max Load: 7.3 | Load Gap: 1.3
Epoch [27/500] | Sampled: 273.06 | Baseline: 264.72 | Improvement: -8.34 | Win Rate: 28.12% | Job Loss: -0.3656 | AMR Loss: -3.4697 | Entropy: 2.4802 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [28/500] | Sampled: 275.34 | Baseline: 265.47 | Improvement: -9.88 | Win Rate: 18.75% | Job Loss: -0.0452 | AMR Loss: -3.3496 | Entropy: 2.4528 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
