Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [1/500] | Sampled: 366.28 | Baseline: 264.84 | Improvement: -101.44 | Win Rate: 0.00% | Job Loss: 3.0606 | AMR Loss: 0.1749 | Entropy: 3.2127 | Invalid S/B: 0.00/0.00 | Max Load: 9.1 | Load Gap: 4.7
   -> Validation | Samples: 50 | Makespan: 279.06 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 279.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/500] | Sampled: 362.53 | Baseline: 266.44 | Improvement: -96.09 | Win Rate: 0.00% | Job Loss: 2.8301 | AMR Loss: -0.5671 | Entropy: 3.1683 | Invalid S/B: 0.03/0.00 | Max Load: 8.7 | Load Gap: 4.1
Epoch [3/500] | Sampled: 345.03 | Baseline: 264.66 | Improvement: -80.38 | Win Rate: 0.00% | Job Loss: 2.0434 | AMR Loss: -0.8589 | Entropy: 3.1383 | Invalid S/B: 0.00/0.00 | Max Load: 8.5 | Load Gap: 3.6
Epoch [4/500] | Sampled: 331.59 | Baseline: 262.31 | Improvement: -69.28 | Win Rate: 6.25% | Job Loss: 2.8159 | AMR Loss: -1.0712 | Entropy: 3.0294 | Invalid S/B: 0.00/0.00 | Max Load: 8.1 | Load Gap: 2.8
Epoch [5/500] | Sampled: 332.53 | Baseline: 263.25 | Improvement: -69.28 | Win Rate: 0.00% | Job Loss: 3.2119 | AMR Loss: -1.3778 | Entropy: 3.1013 | Invalid S/B: 0.06/0.00 | Max Load: 8.0 | Load Gap: 2.6
Epoch [6/500] | Sampled: 328.88 | Baseline: 268.47 | Improvement: -60.41 | Win Rate: 3.12% | Job Loss: 1.7644 | AMR Loss: -1.6455 | Entropy: 3.1092 | Invalid S/B: 0.00/0.00 | Max Load: 8.2 | Load Gap: 3.2
Epoch [7/500] | Sampled: 322.69 | Baseline: 269.00 | Improvement: -53.69 | Win Rate: 6.25% | Job Loss: 2.0418 | AMR Loss: -1.9802 | Entropy: 3.1242 | Invalid S/B: 0.00/0.00 | Max Load: 7.6 | Load Gap: 2.2
Epoch [8/500] | Sampled: 312.00 | Baseline: 264.09 | Improvement: -47.91 | Win Rate: 3.12% | Job Loss: 1.9321 | AMR Loss: -2.5327 | Entropy: 3.1086 | Invalid S/B: 0.00/0.00 | Max Load: 7.6 | Load Gap: 2.0
Epoch [9/500] | Sampled: 311.97 | Baseline: 264.66 | Improvement: -47.31 | Win Rate: 3.12% | Job Loss: 1.9245 | AMR Loss: -2.4051 | Entropy: 3.0891 | Invalid S/B: 0.00/0.00 | Max Load: 7.9 | Load Gap: 2.4
Epoch [10/500] | Sampled: 302.09 | Baseline: 264.19 | Improvement: -37.91 | Win Rate: 0.00% | Job Loss: 0.2949 | AMR Loss: -3.6566 | Entropy: 3.0409 | Invalid S/B: 0.00/0.00 | Max Load: 7.5 | Load Gap: 1.8
Epoch [11/500] | Sampled: 307.88 | Baseline: 266.59 | Improvement: -41.28 | Win Rate: 0.00% | Job Loss: 1.9920 | AMR Loss: -2.5519 | Entropy: 2.9895 | Invalid S/B: 0.00/0.00 | Max Load: 7.7 | Load Gap: 2.0
Epoch [12/500] | Sampled: 308.25 | Baseline: 263.88 | Improvement: -44.38 | Win Rate: 3.12% | Job Loss: 1.1657 | AMR Loss: -3.3991 | Entropy: 2.9352 | Invalid S/B: 0.03/0.00 | Max Load: 7.9 | Load Gap: 2.3
Epoch [13/500] | Sampled: 290.06 | Baseline: 264.25 | Improvement: -25.81 | Win Rate: 6.25% | Job Loss: 0.9744 | AMR Loss: -2.8742 | Entropy: 2.9063 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.5
Epoch [14/500] | Sampled: 295.84 | Baseline: 265.94 | Improvement: -29.91 | Win Rate: 6.25% | Job Loss: 0.0089 | AMR Loss: -3.0636 | Entropy: 2.8267 | Invalid S/B: 0.00/0.00 | Max Load: 7.4 | Load Gap: 1.6
Epoch [15/500] | Sampled: 293.66 | Baseline: 266.25 | Improvement: -27.41 | Win Rate: 6.25% | Job Loss: 0.7153 | AMR Loss: -4.0399 | Entropy: 2.7485 | Invalid S/B: 0.00/0.00 | Max Load: 7.4 | Load Gap: 1.6
Epoch [16/500] | Sampled: 287.75 | Baseline: 264.78 | Improvement: -22.97 | Win Rate: 6.25% | Job Loss: 0.4836 | AMR Loss: -2.8980 | Entropy: 2.7149 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.6
Epoch [17/500] | Sampled: 290.66 | Baseline: 266.62 | Improvement: -24.03 | Win Rate: 9.38% | Job Loss: -0.5380 | AMR Loss: -4.5303 | Entropy: 2.6263 | Invalid S/B: 0.00/0.00 | Max Load: 7.6 | Load Gap: 1.9
