Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_latest.pth (optimizers: optimizer)
Starting Attention REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 247.56 | Baseline: 264.94 | Improvement: 17.38 | Win Rate: 96.88% | Actor Loss: 0.1975 | Entropy: 0.1542 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 249.50 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 249.50)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/500] | Sampled: 248.56 | Baseline: 266.16 | Improvement: 17.59 | Win Rate: 93.75% | Actor Loss: -0.1762 | Entropy: 0.2008 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [3/500] | Sampled: 251.12 | Baseline: 263.91 | Improvement: 12.78 | Win Rate: 93.75% | Actor Loss: -0.1389 | Entropy: 0.1799 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [4/500] | Sampled: 247.62 | Baseline: 263.66 | Improvement: 16.03 | Win Rate: 96.88% | Actor Loss: -0.0070 | Entropy: 0.1750 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 252.22 | Baseline: 263.72 | Improvement: 11.50 | Win Rate: 87.50% | Actor Loss: -0.5325 | Entropy: 0.1719 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [6/500] | Sampled: 250.38 | Baseline: 269.53 | Improvement: 19.16 | Win Rate: 93.75% | Actor Loss: -0.0901 | Entropy: 0.1519 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 251.59 | Baseline: 268.59 | Improvement: 17.00 | Win Rate: 93.75% | Actor Loss: 0.0472 | Entropy: 0.1622 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [8/500] | Sampled: 253.25 | Baseline: 265.47 | Improvement: 12.22 | Win Rate: 93.75% | Actor Loss: -0.1174 | Entropy: 0.1769 | Invalid S/B: 0.03/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 249.69 | Baseline: 265.38 | Improvement: 15.69 | Win Rate: 90.62% | Actor Loss: 0.0116 | Entropy: 0.1594 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 250.66 | Baseline: 265.00 | Improvement: 14.34 | Win Rate: 90.62% | Actor Loss: 0.0350 | Entropy: 0.1639 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [11/500] | Sampled: 253.31 | Baseline: 267.25 | Improvement: 13.94 | Win Rate: 90.62% | Actor Loss: -1.0123 | Entropy: 0.1938 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [12/500] | Sampled: 251.38 | Baseline: 265.28 | Improvement: 13.91 | Win Rate: 96.88% | Actor Loss: -0.4537 | Entropy: 0.1498 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [13/500] | Sampled: 250.25 | Baseline: 264.97 | Improvement: 14.72 | Win Rate: 87.50% | Actor Loss: 0.2240 | Entropy: 0.1885 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [14/500] | Sampled: 250.72 | Baseline: 266.12 | Improvement: 15.41 | Win Rate: 87.50% | Actor Loss: -0.0069 | Entropy: 0.1509 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
