Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 249.03 | Baseline: 264.94 | Improvement: 15.91 | Win Rate: 90.62% | Actor Loss: -0.7359 | Entropy: 0.4800 | Invalid S/B: 0.03/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 247.70 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 247.70)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/500] | Sampled: 246.66 | Baseline: 266.16 | Improvement: 19.50 | Win Rate: 96.88% | Actor Loss: 0.5880 | Entropy: 0.5647 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [3/500] | Sampled: 248.62 | Baseline: 263.91 | Improvement: 15.28 | Win Rate: 93.75% | Actor Loss: -1.1447 | Entropy: 0.5681 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [4/500] | Sampled: 247.69 | Baseline: 263.66 | Improvement: 15.97 | Win Rate: 96.88% | Actor Loss: -0.9988 | Entropy: 0.6054 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [5/500] | Sampled: 247.59 | Baseline: 263.72 | Improvement: 16.12 | Win Rate: 84.38% | Actor Loss: -1.0624 | Entropy: 0.6571 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [6/500] | Sampled: 249.06 | Baseline: 269.53 | Improvement: 20.47 | Win Rate: 93.75% | Actor Loss: -0.6392 | Entropy: 0.6833 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [7/500] | Sampled: 247.22 | Baseline: 268.59 | Improvement: 21.38 | Win Rate: 96.88% | Actor Loss: -0.6355 | Entropy: 0.7048 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [8/500] | Sampled: 250.16 | Baseline: 265.47 | Improvement: 15.31 | Win Rate: 96.88% | Actor Loss: -1.0221 | Entropy: 0.7716 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [9/500] | Sampled: 251.25 | Baseline: 265.38 | Improvement: 14.12 | Win Rate: 87.50% | Actor Loss: -2.1685 | Entropy: 0.7659 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 250.59 | Baseline: 265.00 | Improvement: 14.41 | Win Rate: 96.88% | Actor Loss: -1.6904 | Entropy: 0.8061 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [11/500] | Sampled: 251.81 | Baseline: 267.25 | Improvement: 15.44 | Win Rate: 87.50% | Actor Loss: -0.6810 | Entropy: 0.8157 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [12/500] | Sampled: 249.19 | Baseline: 265.28 | Improvement: 16.09 | Win Rate: 93.75% | Actor Loss: -0.2211 | Entropy: 0.7084 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
