Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 262.47 | Baseline: 264.94 | Improvement: 2.47 | Win Rate: 56.25% | Job Loss: 0.0376 | AMR Loss: -0.0003 | Entropy: 1.4198 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 256.28 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 256.28)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/500] | Sampled: 261.66 | Baseline: 266.16 | Improvement: 4.50 | Win Rate: 68.75% | Job Loss: -0.7455 | AMR Loss: -0.6287 | Entropy: 1.5003 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [3/500] | Sampled: 263.97 | Baseline: 263.91 | Improvement: -0.06 | Win Rate: 37.50% | Job Loss: 0.2244 | AMR Loss: -1.1557 | Entropy: 1.4932 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [4/500] | Sampled: 262.53 | Baseline: 263.66 | Improvement: 1.12 | Win Rate: 40.62% | Job Loss: -0.1950 | AMR Loss: -1.2345 | Entropy: 1.4814 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 261.12 | Baseline: 263.72 | Improvement: 2.59 | Win Rate: 59.38% | Job Loss: -0.5347 | AMR Loss: -0.2773 | Entropy: 1.4716 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [6/500] | Sampled: 265.88 | Baseline: 269.53 | Improvement: 3.66 | Win Rate: 71.88% | Job Loss: -0.9680 | AMR Loss: -0.2103 | Entropy: 1.4509 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 263.19 | Baseline: 268.59 | Improvement: 5.41 | Win Rate: 65.62% | Job Loss: -0.4506 | AMR Loss: -0.4352 | Entropy: 1.4154 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 263.25 | Baseline: 265.47 | Improvement: 2.22 | Win Rate: 56.25% | Job Loss: -0.3352 | AMR Loss: -0.4217 | Entropy: 1.3981 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 264.41 | Baseline: 265.38 | Improvement: 0.97 | Win Rate: 46.88% | Job Loss: 0.8668 | AMR Loss: -0.3635 | Entropy: 1.3305 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 263.78 | Baseline: 265.00 | Improvement: 1.22 | Win Rate: 56.25% | Job Loss: -0.7870 | AMR Loss: -0.6482 | Entropy: 1.2998 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [11/500] | Sampled: 268.25 | Baseline: 267.25 | Improvement: -1.00 | Win Rate: 37.50% | Job Loss: -0.3145 | AMR Loss: 0.0699 | Entropy: 1.2949 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [12/500] | Sampled: 265.31 | Baseline: 265.28 | Improvement: -0.03 | Win Rate: 43.75% | Job Loss: -0.8175 | AMR Loss: -0.0762 | Entropy: 1.2772 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [13/500] | Sampled: 263.44 | Baseline: 264.97 | Improvement: 1.53 | Win Rate: 53.12% | Job Loss: -0.5428 | AMR Loss: -0.6675 | Entropy: 1.2943 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [14/500] | Sampled: 265.44 | Baseline: 266.12 | Improvement: 0.69 | Win Rate: 53.12% | Job Loss: -0.3083 | AMR Loss: -0.1811 | Entropy: 1.2682 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
