Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 260.72 | Baseline: 264.94 | Improvement: 4.22 | Win Rate: 71.88% | Job Loss: -0.5311 | AMR Loss: -0.4079 | Entropy: 1.3904 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 256.08 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 256.08)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/500] | Sampled: 257.81 | Baseline: 266.16 | Improvement: 8.34 | Win Rate: 78.12% | Job Loss: -1.1289 | AMR Loss: 0.1004 | Entropy: 1.4235 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [3/500] | Sampled: 258.25 | Baseline: 263.91 | Improvement: 5.66 | Win Rate: 68.75% | Job Loss: -0.2312 | AMR Loss: -0.2182 | Entropy: 1.4389 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [4/500] | Sampled: 257.31 | Baseline: 263.66 | Improvement: 6.34 | Win Rate: 62.50% | Job Loss: -0.8956 | AMR Loss: -1.3262 | Entropy: 1.4489 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 260.88 | Baseline: 263.72 | Improvement: 2.84 | Win Rate: 65.62% | Job Loss: -2.0389 | AMR Loss: -0.5156 | Entropy: 1.4747 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [6/500] | Sampled: 258.22 | Baseline: 269.53 | Improvement: 11.31 | Win Rate: 81.25% | Job Loss: -1.7563 | AMR Loss: -0.0865 | Entropy: 1.4595 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 259.59 | Baseline: 268.59 | Improvement: 9.00 | Win Rate: 81.25% | Job Loss: -1.0193 | AMR Loss: -0.5220 | Entropy: 1.4576 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 260.34 | Baseline: 265.47 | Improvement: 5.12 | Win Rate: 59.38% | Job Loss: -0.9345 | AMR Loss: 0.2496 | Entropy: 1.3805 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 260.16 | Baseline: 265.38 | Improvement: 5.22 | Win Rate: 62.50% | Job Loss: 0.0794 | AMR Loss: 0.0871 | Entropy: 1.3592 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
