Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/attention_latest.pth (optimizers: optimizer)
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 255.72 | Baseline: 250.09 | Improvement: -5.62 | Win Rate: 28.12% | Actor Loss: -0.0403 | Entropy: 0.1618 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 252.02 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 252.02)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/500] | Sampled: 248.78 | Baseline: 250.72 | Improvement: 1.94 | Win Rate: 53.12% | Actor Loss: 0.3360 | Entropy: 0.1927 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [3/500] | Sampled: 251.66 | Baseline: 252.00 | Improvement: 0.34 | Win Rate: 56.25% | Actor Loss: 0.1749 | Entropy: 0.1940 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [4/500] | Sampled: 253.97 | Baseline: 250.22 | Improvement: -3.75 | Win Rate: 34.38% | Actor Loss: 0.3604 | Entropy: 0.1850 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 253.66 | Baseline: 253.06 | Improvement: -0.59 | Win Rate: 53.12% | Actor Loss: -0.0319 | Entropy: 0.1830 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [6/500] | Sampled: 261.59 | Baseline: 253.28 | Improvement: -8.31 | Win Rate: 25.00% | Actor Loss: 0.2812 | Entropy: 0.1775 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [7/500] | Sampled: 256.59 | Baseline: 250.94 | Improvement: -5.66 | Win Rate: 25.00% | Actor Loss: -0.5240 | Entropy: 0.2075 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 259.97 | Baseline: 250.94 | Improvement: -9.03 | Win Rate: 21.88% | Actor Loss: -0.1688 | Entropy: 0.1902 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 255.97 | Baseline: 253.00 | Improvement: -2.97 | Win Rate: 37.50% | Actor Loss: -0.4449 | Entropy: 0.1981 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 257.09 | Baseline: 252.66 | Improvement: -4.44 | Win Rate: 34.38% | Actor Loss: -0.4214 | Entropy: 0.1888 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [11/500] | Sampled: 258.25 | Baseline: 255.44 | Improvement: -2.81 | Win Rate: 31.25% | Actor Loss: -0.3594 | Entropy: 0.2096 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
