Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 248.09 | Baseline: 250.09 | Improvement: 2.00 | Win Rate: 59.38% | Actor Loss: -0.2339 | Entropy: 0.3403 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 249.00 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 249.00)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/500] | Sampled: 246.72 | Baseline: 250.72 | Improvement: 4.00 | Win Rate: 59.38% | Actor Loss: -0.3045 | Entropy: 0.3796 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [3/500] | Sampled: 249.41 | Baseline: 252.00 | Improvement: 2.59 | Win Rate: 53.12% | Actor Loss: -0.2823 | Entropy: 0.3685 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [4/500] | Sampled: 246.66 | Baseline: 250.22 | Improvement: 3.56 | Win Rate: 62.50% | Actor Loss: -0.0495 | Entropy: 0.3595 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [5/500] | Sampled: 247.69 | Baseline: 253.06 | Improvement: 5.38 | Win Rate: 81.25% | Actor Loss: 0.4722 | Entropy: 0.3699 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [6/500] | Sampled: 250.66 | Baseline: 253.28 | Improvement: 2.62 | Win Rate: 59.38% | Actor Loss: 0.2851 | Entropy: 0.3654 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [7/500] | Sampled: 249.81 | Baseline: 250.94 | Improvement: 1.12 | Win Rate: 50.00% | Actor Loss: 0.2930 | Entropy: 0.3672 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [8/500] | Sampled: 252.44 | Baseline: 250.94 | Improvement: -1.50 | Win Rate: 43.75% | Actor Loss: -0.3150 | Entropy: 0.4033 | Invalid S/B: 0.03/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [9/500] | Sampled: 248.16 | Baseline: 253.00 | Improvement: 4.84 | Win Rate: 65.62% | Actor Loss: 0.2989 | Entropy: 0.3686 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [10/500] | Sampled: 249.69 | Baseline: 252.66 | Improvement: 2.97 | Win Rate: 65.62% | Actor Loss: 0.7124 | Entropy: 0.3898 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [11/500] | Sampled: 251.94 | Baseline: 255.44 | Improvement: 3.50 | Win Rate: 56.25% | Actor Loss: 0.4533 | Entropy: 0.4310 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
