Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 259.50 | Baseline: 250.09 | Improvement: -9.41 | Win Rate: 9.38% | Job Loss: -1.4072 | AMR Loss: 0.1109 | Entropy: 0.9950 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 258.14 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 258.14)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [2/500] | Sampled: 257.53 | Baseline: 250.72 | Improvement: -6.81 | Win Rate: 21.88% | Job Loss: -1.0499 | AMR Loss: 0.0119 | Entropy: 1.0225 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [3/500] | Sampled: 258.28 | Baseline: 252.00 | Improvement: -6.28 | Win Rate: 28.12% | Job Loss: -0.3212 | AMR Loss: 0.1567 | Entropy: 0.9902 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [4/500] | Sampled: 260.78 | Baseline: 250.22 | Improvement: -10.56 | Win Rate: 21.88% | Job Loss: -1.0068 | AMR Loss: -0.2318 | Entropy: 1.0391 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [5/500] | Sampled: 260.00 | Baseline: 253.06 | Improvement: -6.94 | Win Rate: 18.75% | Job Loss: -0.5354 | AMR Loss: 0.1212 | Entropy: 1.0473 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [6/500] | Sampled: 259.03 | Baseline: 253.28 | Improvement: -5.75 | Win Rate: 15.62% | Job Loss: -1.1274 | AMR Loss: -0.0316 | Entropy: 1.0240 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 258.16 | Baseline: 250.94 | Improvement: -7.22 | Win Rate: 31.25% | Job Loss: -0.7611 | AMR Loss: -0.4350 | Entropy: 1.0349 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [8/500] | Sampled: 256.59 | Baseline: 250.94 | Improvement: -5.66 | Win Rate: 21.88% | Job Loss: -0.3458 | AMR Loss: -0.2606 | Entropy: 1.0596 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [9/500] | Sampled: 254.88 | Baseline: 253.00 | Improvement: -1.88 | Win Rate: 37.50% | Job Loss: -1.0636 | AMR Loss: -0.0859 | Entropy: 1.0550 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 259.28 | Baseline: 252.66 | Improvement: -6.62 | Win Rate: 15.62% | Job Loss: 1.2489 | AMR Loss: 0.0044 | Entropy: 1.0606 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [11/500] | Sampled: 259.59 | Baseline: 255.44 | Improvement: -4.16 | Win Rate: 28.12% | Job Loss: -1.3151 | AMR Loss: -0.1920 | Entropy: 1.1065 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [12/500] | Sampled: 256.28 | Baseline: 251.75 | Improvement: -4.53 | Win Rate: 34.38% | Job Loss: -2.1977 | AMR Loss: -0.4077 | Entropy: 1.0867 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [13/500] | Sampled: 256.81 | Baseline: 250.19 | Improvement: -6.62 | Win Rate: 21.88% | Job Loss: -2.6593 | AMR Loss: -0.2795 | Entropy: 1.1435 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [14/500] | Sampled: 262.12 | Baseline: 251.00 | Improvement: -11.12 | Win Rate: 9.38% | Job Loss: -0.6358 | AMR Loss: -0.5218 | Entropy: 1.0897 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [15/500] | Sampled: 260.88 | Baseline: 252.94 | Improvement: -7.94 | Win Rate: 12.50% | Job Loss: -0.5924 | AMR Loss: 0.3276 | Entropy: 1.0623 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [16/500] | Sampled: 258.69 | Baseline: 253.84 | Improvement: -4.84 | Win Rate: 31.25% | Job Loss: -1.2103 | AMR Loss: -0.0896 | Entropy: 1.0674 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [17/500] | Sampled: 258.88 | Baseline: 250.47 | Improvement: -8.41 | Win Rate: 25.00% | Job Loss: -0.8616 | AMR Loss: -0.3810 | Entropy: 1.0642 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [18/500] | Sampled: 261.62 | Baseline: 256.00 | Improvement: -5.62 | Win Rate: 21.88% | Job Loss: -1.4233 | AMR Loss: 0.0855 | Entropy: 1.0564 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [19/500] | Sampled: 257.88 | Baseline: 251.75 | Improvement: -6.12 | Win Rate: 25.00% | Job Loss: -0.0709 | AMR Loss: -0.0732 | Entropy: 1.0255 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [20/500] | Sampled: 265.66 | Baseline: 251.00 | Improvement: -14.66 | Win Rate: 3.12% | Job Loss: -0.3520 | AMR Loss: 0.1092 | Entropy: 1.0335 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [21/500] | Sampled: 258.88 | Baseline: 251.50 | Improvement: -7.38 | Win Rate: 21.88% | Job Loss: -0.6019 | AMR Loss: -0.1357 | Entropy: 1.0316 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [22/500] | Sampled: 259.00 | Baseline: 251.12 | Improvement: -7.88 | Win Rate: 12.50% | Job Loss: -2.1944 | AMR Loss: -0.5154 | Entropy: 1.0081 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [23/500] | Sampled: 258.81 | Baseline: 249.56 | Improvement: -9.25 | Win Rate: 15.62% | Job Loss: -0.8966 | AMR Loss: -0.1366 | Entropy: 1.0258 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [24/500] | Sampled: 261.09 | Baseline: 250.97 | Improvement: -10.12 | Win Rate: 3.12% | Job Loss: -1.9381 | AMR Loss: -0.0252 | Entropy: 0.9740 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 256.72 | Baseline: 248.94 | Improvement: -7.78 | Win Rate: 21.88% | Job Loss: -0.4837 | AMR Loss: 0.0159 | Entropy: 0.9032 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [26/500] | Sampled: 260.81 | Baseline: 253.06 | Improvement: -7.75 | Win Rate: 21.88% | Job Loss: -0.0659 | AMR Loss: -0.0198 | Entropy: 0.9061 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 260.97 | Baseline: 255.12 | Improvement: -5.84 | Win Rate: 25.00% | Job Loss: -0.6488 | AMR Loss: -0.2991 | Entropy: 0.8587 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 262.19 | Baseline: 252.22 | Improvement: -9.97 | Win Rate: 12.50% | Job Loss: -0.6218 | AMR Loss: -0.4315 | Entropy: 0.9008 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [29/500] | Sampled: 260.78 | Baseline: 253.47 | Improvement: -7.31 | Win Rate: 21.88% | Job Loss: -0.3419 | AMR Loss: 0.3119 | Entropy: 0.8621 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 258.47 | Baseline: 253.81 | Improvement: -4.66 | Win Rate: 28.12% | Job Loss: 0.5136 | AMR Loss: 0.0994 | Entropy: 0.8879 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
