Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [1/500] | Sampled: 257.12 | Baseline: 250.09 | Improvement: -7.03 | Win Rate: 21.88% | Job Loss: -1.6577 | AMR Loss: -0.3068 | Entropy: 1.2324 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 251.76 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 251.76)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [2/500] | Sampled: 255.75 | Baseline: 250.72 | Improvement: -5.03 | Win Rate: 37.50% | Job Loss: -1.5279 | AMR Loss: -0.0672 | Entropy: 1.2501 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [3/500] | Sampled: 254.69 | Baseline: 252.00 | Improvement: -2.69 | Win Rate: 40.62% | Job Loss: -0.9982 | AMR Loss: -0.1362 | Entropy: 1.2310 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [4/500] | Sampled: 257.12 | Baseline: 250.22 | Improvement: -6.91 | Win Rate: 12.50% | Job Loss: -2.0780 | AMR Loss: -0.3037 | Entropy: 1.2185 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [5/500] | Sampled: 259.50 | Baseline: 253.06 | Improvement: -6.44 | Win Rate: 28.12% | Job Loss: -2.0559 | AMR Loss: 0.2915 | Entropy: 1.2217 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [6/500] | Sampled: 259.41 | Baseline: 253.28 | Improvement: -6.12 | Win Rate: 28.12% | Job Loss: -3.3505 | AMR Loss: -0.2801 | Entropy: 1.1955 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [7/500] | Sampled: 255.56 | Baseline: 250.94 | Improvement: -4.62 | Win Rate: 28.12% | Job Loss: -1.8621 | AMR Loss: -0.6364 | Entropy: 1.1361 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [8/500] | Sampled: 256.84 | Baseline: 250.94 | Improvement: -5.91 | Win Rate: 18.75% | Job Loss: -1.2967 | AMR Loss: -0.7917 | Entropy: 1.0893 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [9/500] | Sampled: 259.09 | Baseline: 253.00 | Improvement: -6.09 | Win Rate: 25.00% | Job Loss: -0.4262 | AMR Loss: -0.6284 | Entropy: 1.0371 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [10/500] | Sampled: 258.28 | Baseline: 252.66 | Improvement: -5.62 | Win Rate: 28.12% | Job Loss: -0.9400 | AMR Loss: -0.2342 | Entropy: 1.0040 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [11/500] | Sampled: 260.38 | Baseline: 255.44 | Improvement: -4.94 | Win Rate: 21.88% | Job Loss: -0.4966 | AMR Loss: 0.1268 | Entropy: 0.9910 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [12/500] | Sampled: 255.12 | Baseline: 251.75 | Improvement: -3.38 | Win Rate: 28.12% | Job Loss: -0.3879 | AMR Loss: -0.6689 | Entropy: 0.9671 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
